date,area_type,area,labor_force,unemployment,percent_unemp,employment
20-Mar,county,  VALLEY,"5,553",248,4.5,"5,305"
20-Mar,county,  WASHINGTON,"4,670",195,4.2,"4,475"
20-Mar,county,  ASOTIN WA (4),"10,220",374,3.7,"9,846"
20-Mar,city,  BOISE,"134,582","3,076",2.3,"131,506"
20-Mar,city,  CALDWELL,"27,173",907,3.3,"26,266"
20-Mar,city,  COEUR D' ALENE,"26,032",996,3.8,"25,036"
20-Mar,city,  EAGLE,"13,971",331,2.4,"13,640"
20-Mar,city,  IDAHO FALLS,"31,275",832,2.7,"30,443"
20-Mar,city,  LEWISTON,"17,626",489,2.8,"17,137"
20-Mar,city,  MERIDIAN,"55,751","1,318",2.4,"54,433"
20-Mar,city,  MOSCOW,"13,443",270,2,"13,173"
20-Mar,city,  NAMPA,"44,773","1,379",3.1,"43,394"
20-Mar,city,  POCATELLO,"29,344",854,2.9,"28,490"
20-Mar,city,  POST FALLS,"18,291",653,3.6,"17,638"
20-Mar,city,  REXBURG,"16,205",268,1.7,"15,937"
20-Mar,city,  TWIN  FALLS,"23,837",743,3.1,"23,094"
20-Feb,state,Idaho,"891,314","27,457",3.1,"863,857"
20-Feb,county,  ADA (1),"260,365","6,231",2.4,"254,134"
20-Feb,county,  ADAMS,"1,658",113,6.8,"1,545"
20-Feb,county,  BANNOCK (5),"43,600","1,323",3,"42,277"
20-Feb,county,  BEAR LAKE ,"2,920",106,3.6,"2,814"
20-Feb,county,  BENEWAH ,"4,140",259,6.3,"3,881"
20-Feb,county,  BINGHAM (7),"23,419",696,3,"22,723"
20-Feb,county,  BLAINE (9),"12,643",398,3.1,"12,245"
20-Feb,county,  BOISE (1),"3,656",195,5.3,"3,461"
20-Feb,county,  BONNER (13),"20,360",998,4.9,"19,362"
20-Feb,county,  BONNEVILLE (3),"58,206","1,502",2.6,"56,704"
20-Feb,county,  BOUNDARY,"5,238",277,5.3,"4,961"
20-Feb,county,  BUTTE (3),"1,384",34,2.5,"1,350"
20-Feb,county,  CAMAS (9),681,20,2.9,661
20-Feb,county,  CANYON (1),"106,260","3,463",3.3,"102,797"
20-Feb,county,  CARIBOU,"4,094",140,3.4,"3,954"
20-Feb,county,  CASSIA (8),"12,030",286,2.4,"11,744"
20-Feb,county,  CLARK,358,16,4.5,342
20-Feb,county,  CLEARWATER,"2,810",187,6.7,"2,623"
20-Feb,county,  CUSTER,"1,983",89,4.5,"1,894"
20-Feb,county,  ELMORE (11),"11,466",416,3.6,"11,050"
20-Feb,county,  FRANKLIN,"6,971",156,2.2,"6,815"
20-Feb,county,  FREMONT (12),"7,787",232,3,"7,555"
20-Feb,county,  GEM (1),"8,441",298,3.5,"8,143"
20-Feb,county,  GOODING,"8,084",254,3.1,"7,830"
20-Feb,county,  IDAHO (14),"6,416",326,5.1,"6,090"
20-Feb,county,  JEFFERSON (3),"14,108",357,2.5,"13,751"
20-Feb,county,  JEROME (6),"12,133",375,3.1,"11,758"
20-Feb,county,  KOOTENAI (2),"80,559","3,317",4.1,"77,242"
20-Feb,county,  LATAH (10),"21,143",524,2.5,"20,619"
20-Feb,county,  LEMHI,"3,460",214,6.2,"3,246"
20-Feb,county,  LEWIS (14),"1,570",98,6.2,"1,472"
20-Feb,county,  LINCOLN (9),"2,725",157,5.8,"2,568"
20-Feb,county,  MADISON (12),"21,984",402,1.8,"21,582"
20-Feb,county,  MINIDOKA (8),"11,264",325,2.9,"10,939"
20-Feb,county,  NEZ PERCE (4),"21,338",635,3,"20,703"
20-Feb,county,  ONEIDA,"2,281",58,2.5,"2,223"
20-Feb,county,  OWYHEE (1),"5,268",202,3.8,"5,066"
20-Feb,county,  PAYETTE,"11,643",453,3.9,"11,190"
20-Feb,county,  POWER,"3,815",144,3.8,"3,671"
20-Feb,county,  SHOSHONE,"5,084",336,6.6,"4,748"
20-Feb,county,  TETON,"6,289",136,2.2,"6,153"
20-Feb,county,  TWIN FALLS (6),"41,444","1,253",3,"40,191"
20-Feb,county,  VALLEY,"5,626",247,4.4,"5,379"
20-Feb,county,  WASHINGTON,"4,613",211,4.6,"4,402"
20-Feb,county,  ASOTIN WA (4),"10,651",439,4.1,"10,212"
20-Feb,city,  BOISE,"135,633","3,244",2.4,"132,389"
20-Feb,city,  CALDWELL,"27,327",979,3.6,"26,348"
20-Feb,city,  COEUR D' ALENE,"26,228","1,043",4,"25,185"
20-Feb,city,  EAGLE,"14,045",313,2.2,"13,732"
20-Feb,city,  IDAHO FALLS,"31,247",866,2.8,"30,381"
20-Feb,city,  LEWISTON,"17,969",474,2.6,"17,495"
20-Feb,city,  MERIDIAN,"56,118","1,319",2.4,"54,799"
20-Feb,city,  MOSCOW,"13,677",283,2.1,"13,394"
20-Feb,city,  NAMPA,"44,987","1,457",3.2,"43,530"
20-Feb,city,  POCATELLO,"29,386",875,3,"28,511"
20-Feb,city,  POST FALLS,"18,462",720,3.9,"17,742"
20-Feb,city,  REXBURG,"15,903",273,1.7,"15,630"
20-Feb,city,  TWIN  FALLS,"24,144",745,3.1,"23,399"
20-Jan,state,Idaho,"886,931","31,053",3.5,"855,878"
20-Jan,county,  ADA (1),"258,097","7,197",2.8,"250,900"
20-Jan,county,  ADAMS,"1,667",125,7.5,"1,542"
20-Jan,county,  BANNOCK (5),"42,944","1,467",3.4,"41,477"
20-Jan,county,  BEAR LAKE ,"2,901",121,4.2,"2,780"
20-Jan,county,  BENEWAH ,"4,132",234,5.7,"3,898"
20-Jan,county,  BINGHAM (7),"23,329",793,3.4,"22,536"
20-Jan,county,  BLAINE (9),"12,656",377,3,"12,279"
20-Jan,county,  BOISE (1),"3,600",186,5.2,"3,414"
20-Jan,county,  BONNER (13),"20,433","1,056",5.2,"19,377"
20-Jan,county,  BONNEVILLE (3),"58,116","1,704",2.9,"56,412"
20-Jan,county,  BOUNDARY,"5,245",293,5.6,"4,952"
20-Jan,county,  BUTTE (3),"1,396",51,3.7,"1,345"
20-Jan,county,  CAMAS (9),685,22,3.2,663
20-Jan,county,  CANYON (1),"105,469","4,103",3.9,"101,366"
20-Jan,county,  CARIBOU,"4,046",149,3.7,"3,897"
20-Jan,county,  CASSIA (8),"12,051",344,2.9,"11,707"
20-Jan,county,  CLARK,357,19,5.3,338
20-Jan,county,  CLEARWATER,"2,804",183,6.5,"2,621"
20-Jan,county,  CUSTER,"1,997",113,5.7,"1,884"
20-Jan,county,  ELMORE (11),"11,431",436,3.8,"10,995"
20-Jan,county,  FRANKLIN,"6,999",184,2.6,"6,815"
20-Jan,county,  FREMONT (12),"7,742",289,3.7,"7,453"
20-Jan,county,  GEM (1),"8,369",336,4,"8,033"
20-Jan,county,  GOODING,"8,118",281,3.5,"7,837"
20-Jan,county,  IDAHO (14),"6,401",355,5.5,"6,046"
20-Jan,county,  JEFFERSON (3),"14,101",425,3,"13,676"
20-Jan,county,  JEROME (6),"12,105",397,3.3,"11,708"
20-Jan,county,  KOOTENAI (2),"80,656","3,755",4.7,"76,901"
20-Jan,county,  LATAH (10),"20,908",600,2.9,"20,308"
20-Jan,county,  LEMHI,"3,459",226,6.5,"3,233"
20-Jan,county,  LEWIS (14),"1,570",109,6.9,"1,461"
20-Jan,county,  LINCOLN (9),"2,718",127,4.7,"2,591"
20-Jan,county,  MADISON (12),"21,741",450,2.1,"21,291"
20-Jan,county,  MINIDOKA (8),"11,236",362,3.2,"10,874"
20-Jan,county,  NEZ PERCE (4),"21,446",776,3.6,"20,670"
20-Jan,county,  ONEIDA,"2,286",67,2.9,"2,219"
20-Jan,county,  OWYHEE (1),"5,196",243,4.7,"4,953"
20-Jan,county,  PAYETTE,"11,497",481,4.2,"11,016"
20-Jan,county,  POWER,"3,802",179,4.7,"3,623"
20-Jan,county,  SHOSHONE,"5,153",366,7.1,"4,787"
20-Jan,county,  TETON,"6,318",144,2.3,"6,174"
20-Jan,county,  TWIN FALLS (6),"41,560","1,470",3.5,"40,090"
20-Jan,county,  VALLEY,"5,624",253,4.5,"5,371"
20-Jan,county,  WASHINGTON,"4,578",210,4.6,"4,368"
20-Jan,county,  ASOTIN WA (4),"10,636",449,4.2,"10,187"
20-Jan,city,  BOISE,"134,432","3,727",2.8,"130,705"
20-Jan,city,  CALDWELL,"27,152","1,171",4.3,"25,981"
20-Jan,city,  COEUR D' ALENE,"26,248","1,175",4.5,"25,073"
20-Jan,city,  EAGLE,"13,937",380,2.7,"13,557"
20-Jan,city,  IDAHO FALLS,"31,200",976,3.1,"30,224"
20-Jan,city,  LEWISTON,"18,083",615,3.4,"17,468"
20-Jan,city,  MERIDIAN,"55,598","1,497",2.7,"54,101"
20-Jan,city,  MOSCOW,"13,536",344,2.5,"13,192"
20-Jan,city,  NAMPA,"44,607","1,683",3.8,"42,924"
20-Jan,city,  POCATELLO,"28,947",976,3.4,"27,971"
20-Jan,city,  POST FALLS,"18,467",803,4.3,"17,664"
20-Jan,city,  REXBURG,"15,734",315,2,"15,419"
20-Jan,city,  TWIN  FALLS,"24,230",890,3.7,"23,340"
20-Jun,county,  ADA (1),"261,764","14,822",5.7,"246,942"
20-Jun,county,  ADAMS,"1,726",154,8.9,"1,572"
20-Jun,county,  BANNOCK (5),"41,016","2,101",5.1,"38,915"
20-Jun,county,  BEAR LAKE ,"2,988",129,4.3,"2,859"
20-Jun,county,  BENEWAH ,"4,103",330,8.0,"3,773"
20-Jun,county,  BINGHAM (7),"23,952",941,3.9,"23,011"
20-Jun,county,  BLAINE (9),"13,001","1,176",9.0,"11,825"
20-Jun,county,  BOISE (1),"3,677",317,8.6,"3,360"
20-Jun,county,  BONNER (13),"20,745","1,728",8.3,"19,017"
20-Jun,county,  BONNEVILLE (3),"59,909","2,384",4.0,"57,525"
20-Jun,county,  BOUNDARY,"5,383",352,6.5,"5,031"
20-Jun,county,  BUTTE (3),"1,456",56,3.8,"1,400"
20-Jun,county,  CAMAS (9),709,37,5.2,672
20-Jun,county,  CANYON (1),"107,140","6,460",6.0,"100,680"
20-Jun,county,  CARIBOU,"4,079",157,3.8,"3,922"
20-Jun,county,  CASSIA (8),"12,169",460,3.8,"11,709"
20-Jun,county,  CLARK,378,15,4.0,363
20-Jun,county,  CLEARWATER,"2,850",264,9.3,"2,586"
20-Jun,county,  CUSTER,"2,174",116,5.3,"2,058"
20-Jun,county,  ELMORE (11),"11,738",586,5.0,"11,152"
20-Jun,county,  FRANKLIN,"6,946",279,4.0,"6,667"
20-Jun,county,  FREMONT (12),"7,670",288,3.8,"7,382"
20-Jun,county,  GEM (1),"8,537",534,6.3,"8,003"
20-Jun,county,  GOODING,"8,277",309,3.7,"7,968"
20-Jun,county,  IDAHO (14),"6,739",481,7.1,"6,258"
20-Jun,county,  JEFFERSON (3),"14,613",497,3.4,"14,116"
20-Jun,county,  JEROME (6),"12,368",463,3.7,"11,905"
20-Jun,county,  KOOTENAI (2),"78,507","5,956",7.6,"72,551"
20-Jun,county,  LATAH (10),"19,866",962,4.8,"18,904"
20-Jun,county,  LEMHI,"3,608",263,7.3,"3,345"
20-Jun,county,  LEWIS (14),"1,670",120,7.2,"1,550"
20-Jun,county,  LINCOLN (9),"2,732",164,6.0,"2,568"
20-Jun,county,  MADISON (12),"21,102",618,2.9,"20,484"
20-Jun,county,  MINIDOKA (8),"11,389",464,4.1,"10,925"
20-Jun,county,  NEZ PERCE (4),"19,766","1,042",5.3,"18,724"
20-Jun,county,  ONEIDA,"2,407",137,5.7,"2,270"
20-Jun,county,  OWYHEE (1),"5,721",353,6.2,"5,368"
20-Jun,county,  PAYETTE,"11,748",670,5.7,"11,078"
20-Jun,county,  POWER,"4,045",176,4.4,"3,869"
20-Jun,county,  SHOSHONE,"5,105",536,10.5,"4,569"
20-Jun,county,  TETON,"6,356",466,7.3,"5,890"
20-Jun,county,  TWIN FALLS (6),"42,330","2,284",5.4,"40,046"
20-Jun,county,  VALLEY,"5,799",479,8.3,"5,320"
20-Jun,county,  WASHINGTON,"4,640",275,5.9,"4,365"
20-Jun,county,  ASOTIN WA (4),"9,817",634,6.5,"9,183"
20-Jun,city,  BOISE,"136,710","8,067",5.9,"128,643"
20-Jun,city,  CALDWELL,"27,504","1,698",6.2,"25,806"
20-Jun,city,  COEUR D' ALENE,"25,736","2,088",8.1,"23,648"
20-Jun,city,  EAGLE,-,-,-,-
20-Jun,city,  IDAHO FALLS,"32,227","1,415",4.4,"30,812"
20-Jun,city,  LEWISTON,"16,700",864,5.2,"15,836"
20-Jun,city,  MERIDIAN,"56,362","3,166",5.6,"53,196"
20-Jun,city,  MOSCOW,"12,953",670,5.2,"12,283"
20-Jun,city,  NAMPA,"45,454","2,825",6.2,"42,629"
20-Jun,city,  POCATELLO,"27,694","1,444",5.2,"26,250"
20-Jun,city,  POST FALLS,"18,019","1,338",7.4,"16,681"
20-Jun,city,  REXBURG,"15,285",447,2.9,"14,838"
20-Jun,city,  TWIN  FALLS,"24,790","1,476",6.0,"23,314"
20-Jun,state,Idaho,"892,165","50,267",5.6,"841,898"
