!Month,!Previous Year,__Id,Area Name,Area Type,Date,Date (Month / Year),Date (Months),Month,Seasonally Adjusted Y N,Status Preliminary Final,Year,Employment,Labor Force,Number of Records,Unemployment,Unemployment Rate
5/1/20,12/31/19,row-vryx~8v5z~vzjb,Placer County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,84800,90900,1,6100,0.067
5/1/20,12/31/19,row-x3uz~qugb~su3z,Plumas County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,7450,9170,1,1720,0.187
5/1/20,12/31/19,row-pb9b~4bgc-myd5,Riverside County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,498300,550100,1,51700,0.094
5/1/20,12/31/19,row-dpvy-4vq3~nwa9,Sacramento County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,489900,524800,1,34900,0.067
5/1/20,12/31/19,row-yww8-x85q.6ruv,San Benito County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,15700,19600,1,4000,0.202
5/1/20,12/31/19,row-ganf~mdr6-epaf,San Bernardino County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,595900,646500,1,50600,0.078
5/1/20,12/31/19,row-9rsn-96xe-fimm,San Diego County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,1138000,1210100,1,72200,0.06
5/1/20,12/31/19,row-nwbg-gz5e.c5k3,San Francisco County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,383000,402600,1,19700,0.049
5/1/20,12/31/19,row-k4ua_dxhe_y4rg,San Joaquin County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,194300,225500,1,31100,0.138
5/1/20,12/31/19,row-6emn~bxqj.qy5e,San Luis Obispo County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,87800,94000,1,6200,0.066
5/1/20,12/31/19,row-xabu.wvun_pqn9,San Mateo County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,351700,364600,1,12900,0.035
5/1/20,12/31/19,row-mna5-apm2~gmv4,Santa Barbara County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,181200,194000,1,12800,0.066
5/1/20,12/31/19,row-h8hy-vcmi.7hq9,Santa Clara County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,800400,846300,1,45900,0.054
5/1/20,12/31/19,row-syyd.wp2s.ifbh,Santa Cruz County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,117500,133000,1,15500,0.117
5/1/20,12/31/19,row-iwvz_kvwk-im6v,Shasta County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,59000,68200,1,9300,0.136
5/1/20,12/31/19,row-sdxp~tej8~s9xx,Sierra County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,1250,1530,1,290,0.186
5/1/20,12/31/19,row-4wiz~p5en_jix8,Siskiyou County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,15440,19120,1,3690,0.193
5/1/20,12/31/19,row-cyu7~2uu8.ncfa,Solano County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,152800,164100,1,11300,0.069
5/1/20,12/31/19,row-rzm3-9r6v.mdvu,Sonoma County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,197600,209700,1,12100,0.058
5/1/20,12/31/19,row-ip38_yiwd.5tqs,Stanislaus County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,151200,180100,1,28900,0.16
5/1/20,12/31/19,row-kde8.sv4f~77h6,Sutter County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,26700,33300,1,6700,0.2
5/1/20,12/31/19,row-sifu_sa9f_ystj,Tehama County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,17650,20680,1,3030,0.146
5/1/20,12/31/19,row-scty~taxi.ib9f,Trinity County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,4000,5210,1,1210,0.232
5/1/20,12/31/19,row-tqg4-4hkx_e6wh,Tulare County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,118200,147700,1,29400,0.199
5/1/20,12/31/19,row-dtx8_zeke-gyef,Tuolumne County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,17790,19850,1,2070,0.104
5/1/20,12/31/19,row-6a4d_tdbq-xzpv,Ventura County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,338000,367100,1,29000,0.079
5/1/20,12/31/19,row-g7ym.u8jb.y44j,Yolo County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,69300,76700,1,7300,0.096
5/1/20,12/31/19,row-d4hv-tyfb~pyvc,Yuba County,County,1/1/91 0:00,Jan-91,Jan-91,January,N,Final,1991,18100,21600,1,3500,0.161
5/1/20,12/31/19,row-23dq~crnz-dsqp,Alameda County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,631700,674200,1,42500,0.063
5/1/20,12/31/19,row-umc8-bqmu_6t74,Alpine County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,530,570,1,40,0.074
5/1/20,12/31/19,row-t8fy~gwxq~rmkp,Amador County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,11420,12730,1,1310,0.103
5/1/20,12/31/19,row-8ckx.uqu7-qjwp,Butte County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,69900,79600,1,9700,0.122
5/1/20,12/31/19,row-pa7e-iyuc.j59i,Calaveras County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,12480,14330,1,1850,0.129
5/1/20,12/31/19,row-62am_fycd.ccuc,Colusa County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,5270,7620,1,2340,0.308
5/1/20,12/31/19,row-wsym~zpsb_ngkc,Contra Costa County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,412400,439700,1,27300,0.062
5/1/20,12/31/19,row-8jey_eakm_jj29,Del Norte County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,8180,9680,1,1500,0.155
5/1/20,12/31/19,row-ja2b~q6wj-c7mp,El Dorado County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,60900,66700,1,5800,0.087
5/1/20,12/31/19,row-aesq.uv6y~x4i2,Fresno County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,280900,337300,1,56300,0.167
5/1/20,12/31/19,row-wnjm.wxnx_v6i6,Glenn County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,8640,10850,1,2210,0.204
5/1/20,12/31/19,row-u5um~khx2.fgyu,Humboldt County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,51400,57900,1,6500,0.112
5/1/20,12/31/19,row-yg2t-hg27_ftym,Imperial County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,37700,49200,1,11500,0.234
5/1/20,12/31/19,row-ury7-hkd3~wyzd,Inyo County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,6220,7050,1,830,0.118
5/1/20,12/31/19,row-bh5g.hi2n~a2w4,Kern County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,225900,266200,1,40400,0.152
5/1/20,12/31/19,row-qg42.56vy~khy9,Kings County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,32100,38900,1,6800,0.175
5/1/20,12/31/19,row-caqr.46n4~6w4a,Lake County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,18370,21300,1,2930,0.137
5/1/20,12/31/19,row-djet~iewd-apsx,Lassen County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,9190,10750,1,1560,0.145
5/1/20,12/31/19,row-fxui.vusg-n5eb,Los Angeles County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,4007700,4427600,1,419900,0.095
5/1/20,12/31/19,row-hse4-gcn7_qk2x,Los Angeles County,County,1/1/92 0:00,Jan-92,Jan-92,January,Y,Final,1992,4062800,4464600,1,401800,0.09
5/1/20,12/31/19,row-u2g4_q5bg.p89v,Madera County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,36800,44100,1,7200,0.164
5/1/20,12/31/19,row-4t6x-66i8~nd4d,Marin County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,124300,130300,1,6000,0.046
5/1/20,12/31/19,row-gq6d.v9tz-ptv9,Mariposa County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,5760,6520,1,760,0.117
5/1/20,12/31/19,row-35dz~q6de~8n2w,Mendocino County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,33130,38700,1,5570,0.144
5/1/20,12/31/19,row-3ehe_7hd7~qqsh,Merced County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,65200,80700,1,15500,0.192
5/1/20,12/31/19,row-vr8a~2tp8~xqs8,Modoc County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,3370,4000,1,630,0.156
5/1/20,12/31/19,row-6kxw~736f-f94r,Mono County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,6050,6500,1,460,0.07
5/1/20,12/31/19,row-rutd_tzga~fm5e,Monterey County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,142500,173300,1,30900,0.178
5/1/20,12/31/19,row-jbfx_km9s~ect5,Napa County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,51900,55900,1,4000,0.071
5/1/20,12/31/19,row-ntrk-8pg5_n5py,Nevada County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,35590,39030,1,3440,0.088
5/1/20,12/31/19,row-36kj_fwzq.vzch,Orange County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,1239900,1318300,1,78400,0.059
5/1/20,12/31/19,row-ug29_efvz-ugrg,Placer County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,84600,92500,1,7900,0.085
5/1/20,12/31/19,row-vn8c_bi9x.kvne,Plumas County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,7370,9290,1,1930,0.208
5/1/20,12/31/19,row-c7dk-27qy.pqrd,Riverside County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,510400,570400,1,60000,0.105
5/1/20,12/31/19,row-2sv6_i6ye~vj92,Sacramento County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,480000,524300,1,44300,0.085
5/1/20,12/31/19,row-669q_z57d_dijz,San Benito County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,16300,20500,1,4200,0.205
5/1/20,12/31/19,row-g4mz~fkce~nbvm,San Bernardino County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,607500,667500,1,60000,0.09
5/1/20,12/31/19,row-pyib~87c3~kmem,San Diego County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,1125400,1207000,1,81600,0.068
5/1/20,12/31/19,row-bxbk.ay8m-g6zr,San Francisco County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,378300,404100,1,25800,0.064
5/1/20,12/31/19,row-57qm-4mwq_3kpf,San Joaquin County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,196600,232000,1,35300,0.152
5/1/20,12/31/19,row-t7h4_pdcj_w5wj,San Luis Obispo County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,90800,98200,1,7400,0.075
5/1/20,12/31/19,row-mnjv_v6ej.4z2b,San Mateo County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,350500,367600,1,17100,0.047
5/1/20,12/31/19,row-263r~diw2-w72i,Santa Barbara County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,178200,193100,1,14900,0.077
5/1/20,12/31/19,row-yjgd_3dny_ix85,Santa Clara County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,785100,840700,1,55700,0.066
5/1/20,12/31/19,row-rrf5-qu5a-pf66,Santa Cruz County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,116900,133400,1,16500,0.124
5/1/20,12/31/19,row-r99e-pv8g_h5zz,Shasta County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,60800,71000,1,10100,0.142
5/1/20,12/31/19,row-8c7c.5n9b.qgy9,Sierra County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,1330,1610,1,280,0.171
5/1/20,12/31/19,row-g2t5-hx95.xckw,Siskiyou County,County,1/1/92 0:00,Jan-92,Jan-92,January,N,Final,1992,15560,19120,1,3560,0.186
