Area,Time Period,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
Deuel County,"May, 2020","2,142","1,967",175,8.20%,Yes
Dewey County,"May, 2020","2,069","1,894",175,8.50%,
Douglas County,"January, 2020","1,574","1,518",56,3.60%,No
Edmunds County,"January, 2020","2,013","1,944",69,3.40%,No
Fall River County,"January, 2020","2,868","2,721",147,5.10%,No
Faulk County,"January, 2020","1,028",989,39,3.80%,No
Grant County,"January, 2020","4,428","4,196",232,5.20%,No
Gregory County,"January, 2020","1,984","1,899",85,4.30%,No
Haakon County,"January, 2020","1,036","1,002",34,3.30%,No
Hamlin County,"January, 2020","3,285","3,160",125,3.80%,No
Hand County,"January, 2020","1,756","1,703",53,3.00%,No
Hanson County,"January, 2020","1,745","1,635",110,6.30%,No
Harding County,"January, 2020",717,697,20,2.80%,No
Hughes County,"January, 2020","9,984","9,664",320,3.20%,No
Hutchinson County,"January, 2020","3,622","3,475",147,4.10%,No
Hyde County,"January, 2020",687,660,27,3.90%,No
Jackson County,"January, 2020","1,134","1,059",75,6.60%,No
Jerauld County,"January, 2020","1,084","1,059",25,2.30%,No
Jones County,"January, 2020",506,487,19,3.80%,No
Kingsbury County,"January, 2020","2,598","2,503",95,3.70%,No
Lake County,"January, 2020","6,585","6,336",249,3.80%,No
Douglas County,"February, 2020","1,566","1,506",60,3.80%,No
Edmunds County,"February, 2020","2,013","1,951",62,3.10%,No
Fall River County,"February, 2020","2,882","2,745",137,4.80%,No
Faulk County,"February, 2020","1,021",982,39,3.80%,No
Grant County,"February, 2020","4,423","4,185",238,5.40%,No
Gregory County,"February, 2020","1,978","1,904",74,3.70%,No
Haakon County,"February, 2020","1,029",996,33,3.20%,No
Hamlin County,"February, 2020","3,282","3,167",115,3.50%,No
Hand County,"February, 2020","1,741","1,693",48,2.80%,No
Hanson County,"February, 2020","1,736","1,628",108,6.20%,No
Harding County,"February, 2020",706,688,18,2.50%,No
Hughes County,"February, 2020","9,926","9,611",315,3.20%,No
Hutchinson County,"February, 2020","3,598","3,446",152,4.20%,No
Hyde County,"February, 2020",683,658,25,3.70%,No
Jackson County,"February, 2020","1,116","1,047",69,6.20%,No
Jerauld County,"February, 2020","1,089","1,063",26,2.40%,No
Jones County,"February, 2020",502,483,19,3.80%,No
Kingsbury County,"February, 2020","2,615","2,516",99,3.80%,No
Lake County,"February, 2020","6,738","6,507",231,3.40%,No
Douglas County,"March, 2020","1,584","1,534",50,3.20%,No
Edmunds County,"March, 2020","2,067","2,007",60,2.90%,No
Fall River County,"March, 2020","2,979","2,835",144,4.80%,No
Faulk County,"March, 2020","1,077","1,040",37,3.40%,No
Grant County,"March, 2020","4,504","4,294",210,4.70%,No
Gregory County,"March, 2020","2,015","1,945",70,3.50%,No
Haakon County,"March, 2020","1,070","1,038",32,3.00%,No
Hamlin County,"March, 2020","3,359","3,247",112,3.30%,No
Hand County,"March, 2020","1,781","1,736",45,2.50%,No
Hanson County,"March, 2020","1,766","1,666",100,5.70%,No
Harding County,"March, 2020",739,721,18,2.40%,No
Hughes County,"March, 2020","9,874","9,590",284,2.90%,No
Hutchinson County,"March, 2020","3,737","3,592",145,3.90%,No
Hyde County,"March, 2020",705,685,20,2.80%,No
Jackson County,"March, 2020","1,172","1,110",62,5.30%,No
Jerauld County,"March, 2020","1,159","1,132",27,2.30%,No
Jones County,"March, 2020",520,503,17,3.30%,No
Kingsbury County,"March, 2020","2,691","2,599",92,3.40%,No
Lake County,"March, 2020","6,732","6,518",214,3.20%,No
Douglas County,"April, 2020","1,492","1,429",63,4.20%,No
Edmunds County,"April, 2020","1,959","1,868",91,4.60%,No
Fall River County,"April, 2020","2,982","2,670",312,10.50%,No
Faulk County,"April, 2020","1,004",949,55,5.50%,No
Grant County,"April, 2020","4,407","4,016",391,8.90%,No
Gregory County,"April, 2020","1,990","1,847",143,7.20%,No
Haakon County,"April, 2020","1,000",956,44,4.40%,No
Hamlin County,"April, 2020","3,176","2,937",239,7.50%,No
Hand County,"April, 2020","1,688","1,606",82,4.90%,No
Hanson County,"April, 2020","1,704","1,548",156,9.20%,No
Harding County,"April, 2020",704,655,49,7.00%,No
Hughes County,"April, 2020","9,768","9,012",756,7.70%,No
Hutchinson County,"April, 2020","3,509","3,264",245,7.00%,No
Hyde County,"April, 2020",644,617,27,4.20%,No
Jackson County,"April, 2020","1,172","1,107",65,5.50%,No
Jerauld County,"April, 2020","1,058","1,010",48,4.50%,No
Jones County,"April, 2020",508,478,30,5.90%,No
Kingsbury County,"April, 2020","2,625","2,446",179,6.80%,No
Lake County,"April, 2020","6,624","6,151",473,7.10%,No
Douglas County,"May, 2020","1,507","1,444",63,4.20%,Yes
Edmunds County,"May, 2020","1,942","1,859",83,4.30%,Yes
Fall River County,"May, 2020","3,085","2,756",329,10.70%,Yes
Faulk County,"May, 2020",995,942,53,5.30%,Yes
Grant County,"May, 2020","4,329","4,053",276,6.40%,Yes
Gregory County,"May, 2020","2,008","1,871",137,6.80%,Yes
Haakon County,"May, 2020",985,949,36,3.70%,Yes
Hamlin County,"May, 2020","3,195","2,992",203,6.40%,Yes
Hand County,"May, 2020","1,711","1,637",74,4.30%,Yes
Hanson County,"May, 2020","1,696","1,554",142,8.40%,Yes
Harding County,"May, 2020",688,648,40,5.80%,Yes
Hughes County,"May, 2020","9,957","9,284",673,6.80%,Yes
Hutchinson County,"May, 2020","3,478","3,252",226,6.50%,Yes
Hyde County,"May, 2020",633,603,30,4.70%,Yes
Jackson County,"May, 2020","1,248","1,187",61,4.90%,Yes
Jerauld County,"May, 2020","1,052","1,007",45,4.30%,Yes
Jones County,"May, 2020",537,499,38,7.10%,Yes
Kingsbury County,"May, 2020","2,612","2,450",162,6.20%,Yes
Lake County,"May, 2020","6,530","6,140",390,6.00%,Yes
Lawrence County,"January, 2020","13,270","12,835",435,3.30%,No
Lincoln County,"January, 2020","34,643","33,635","1,008",2.90%,No
Lyman County,"January, 2020","1,618","1,532",86,5.30%,No
Marshall County,"January, 2020","2,322","2,205",117,5.00%,No
McCook County,"January, 2020","3,073","2,966",107,3.50%,No
McPherson County,"January, 2020","1,008",955,53,5.30%,No
Meade County,"January, 2020","14,010","13,458",552,3.90%,No
Mellette County,"January, 2020",739,688,51,6.90%,No
Miner County,"January, 2020","1,168","1,131",37,3.20%,No
Minnehaha County,"January, 2020","113,605","109,661","3,944",3.50%,No
Moody County,"January, 2020","3,955","3,806",149,3.80%,No
Oglala Lakota County,"January, 2020","3,550","3,225",325,9.20%,No
Pennington County,"January, 2020","56,372","54,234","2,138",3.80%,No
Perkins County,"January, 2020","1,393","1,351",42,3.00%,No
Potter County,"January, 2020",986,950,36,3.70%,No
Roberts County,"January, 2020","4,873","4,570",303,6.20%,No
Sanborn County,"January, 2020","1,144","1,102",42,3.70%,No
Spink County,"January, 2020","3,137","2,993",144,4.60%,No
Stanley County,"January, 2020","1,847","1,771",76,4.10%,No
Sully County,"January, 2020",786,762,24,3.10%,No
Lawrence County,"February, 2020","13,399","12,997",402,3.00%,No
Lincoln County,"February, 2020","34,894","33,933",961,2.80%,No
Lyman County,"February, 2020","1,602","1,519",83,5.20%,No
Marshall County,"February, 2020","2,327","2,198",129,5.50%,No
McCook County,"February, 2020","3,090","2,984",106,3.40%,No
McPherson County,"February, 2020",989,938,51,5.20%,No
Meade County,"February, 2020","14,086","13,568",518,3.70%,No
Mellette County,"February, 2020",727,683,44,6.10%,No
Miner County,"February, 2020","1,159","1,124",35,3.00%,No
Minnehaha County,"February, 2020","114,408","110,654","3,754",3.30%,No
Moody County,"February, 2020","3,979","3,822",157,3.90%,No
Oglala Lakota County,"February, 2020","3,543","3,250",293,8.30%,No
Pennington County,"February, 2020","56,748","54,656","2,092",3.70%,No
Perkins County,"February, 2020","1,397","1,351",46,3.30%,No
Potter County,"February, 2020",983,950,33,3.40%,No
Roberts County,"February, 2020","4,874","4,566",308,6.30%,No
Sanborn County,"February, 2020","1,142","1,100",42,3.70%,No
Spink County,"February, 2020","3,145","2,995",150,4.80%,No
Stanley County,"February, 2020","1,834","1,756",78,4.30%,No
Sully County,"February, 2020",775,754,21,2.70%,No
Lawrence County,"March, 2020","13,665","13,276",389,2.80%,No
Lincoln County,"March, 2020","34,646","33,758",888,2.60%,No
Lyman County,"March, 2020","1,648","1,570",78,4.70%,No
Marshall County,"March, 2020","2,388","2,271",117,4.90%,No
McCook County,"March, 2020","3,120","3,020",100,3.20%,No
McPherson County,"March, 2020","1,013",965,48,4.70%,No
Meade County,"March, 2020","14,028","13,545",483,3.40%,No
Mellette County,"March, 2020",759,717,42,5.50%,No
Miner County,"March, 2020","1,184","1,152",32,2.70%,No
Minnehaha County,"March, 2020","113,477","109,947","3,530",3.10%,No
Moody County,"March, 2020","4,092","3,945",147,3.60%,No
Oglala Lakota County,"March, 2020","3,521","3,252",269,7.60%,No
Pennington County,"March, 2020","56,328","54,369","1,959",3.50%,No
Perkins County,"March, 2020","1,450","1,410",40,2.80%,No
Potter County,"March, 2020","1,014",981,33,3.30%,No
Roberts County,"March, 2020","4,969","4,683",286,5.80%,No
Sanborn County,"March, 2020","1,198","1,153",45,3.80%,No
Spink County,"March, 2020","3,222","3,082",140,4.30%,No
Stanley County,"March, 2020","1,850","1,782",68,3.70%,No
Sully County,"March, 2020",810,787,23,2.80%,No
Lawrence County,"April, 2020","15,217","11,884","3,333",21.90%,No
Lincoln County,"April, 2020","34,415","31,299","3,116",9.10%,No
Lyman County,"April, 2020","1,633","1,468",165,10.10%,No
Marshall County,"April, 2020","2,353","2,076",277,11.80%,No
McCook County,"April, 2020","3,030","2,792",238,7.90%,No
McPherson County,"April, 2020",988,895,93,9.40%,No
Meade County,"April, 2020","14,189","12,329","1,860",13.10%,No
Mellette County,"April, 2020",720,659,61,8.50%,No
Miner County,"April, 2020","1,141","1,054",87,7.60%,No
Minnehaha County,"April, 2020","114,719","101,951","12,768",11.10%,No
Moody County,"April, 2020","4,076","3,591",485,11.90%,No
Oglala Lakota County,"April, 2020","3,375","3,020",355,10.50%,No
Pennington County,"April, 2020","57,388","49,339","8,049",14.00%,No
Perkins County,"April, 2020","1,366","1,299",67,4.90%,No
Potter County,"April, 2020",985,932,53,5.40%,No
Roberts County,"April, 2020","5,159","4,258",901,17.50%,No
Sanborn County,"April, 2020","1,129","1,042",87,7.70%,No
Spink County,"April, 2020","3,113","2,868",245,7.90%,No
Stanley County,"April, 2020","1,825","1,660",165,9.00%,No
Sully County,"April, 2020",766,722,44,5.70%,No
Lawrence County,"May, 2020","14,026","12,049","1,977",14.10%,Yes
Lincoln County,"May, 2020","34,829","31,997","2,832",8.10%,Yes
Lyman County,"May, 2020","1,672","1,507",165,9.90%,Yes
Marshall County,"May, 2020","2,362","2,185",177,7.50%,Yes
McCook County,"May, 2020","3,062","2,822",240,7.80%,Yes
McPherson County,"May, 2020",970,884,86,8.90%,Yes
Meade County,"May, 2020","14,010","12,575","1,435",10.20%,Yes
Mellette County,"May, 2020",725,654,71,9.80%,Yes
Miner County,"May, 2020","1,133","1,064",69,6.10%,Yes
Minnehaha County,"May, 2020","115,856","104,310","11,546",10.00%,Yes
Moody County,"May, 2020","4,121","3,673",448,10.90%,Yes
Oglala Lakota County,"May, 2020","3,373","3,014",359,10.60%,Yes
Pennington County,"May, 2020","56,785","50,521","6,264",11.00%,Yes
Perkins County,"May, 2020","1,384","1,305",79,5.70%,Yes
Potter County,"May, 2020",996,948,48,4.80%,Yes
Roberts County,"May, 2020","4,781","4,305",476,10.00%,Yes
Sanborn County,"May, 2020","1,114","1,031",83,7.50%,Yes
Spink County,"May, 2020","3,094","2,902",192,6.20%,Yes
Stanley County,"May, 2020","1,843","1,693",150,8.10%,Yes
Sully County,"May, 2020",760,724,36,4.70%,Yes
Todd County,"January, 2020","3,149","2,929",220,7.00%,No
Tripp County,"January, 2020","3,005","2,908",97,3.20%,No
Turner County,"January, 2020","4,708","4,511",197,4.20%,No
Union County,"January, 2020","8,541","8,217",324,3.80%,No
Walworth County,"January, 2020","2,109","1,958",151,7.20%,No
Yankton County,"January, 2020","11,875","11,497",378,3.20%,No
Ziebach County,"January, 2020",908,871,37,4.10%,No
Todd County,"February, 2020","3,138","2,939",199,6.30%,No
Tripp County,"February, 2020","2,967","2,877",90,3.00%,No
Turner County,"February, 2020","4,726","4,544",182,3.90%,No
Union County,"February, 2020","8,587","8,268",319,3.70%,No
Walworth County,"February, 2020","2,105","1,953",152,7.20%,No
Yankton County,"February, 2020","11,964","11,590",374,3.10%,No
Ziebach County,"February, 2020",902,869,33,3.70%,No
Todd County,"March, 2020","3,177","2,992",185,5.80%,No
Tripp County,"March, 2020","3,098","3,015",83,2.70%,No
Turner County,"March, 2020","4,771","4,606",165,3.50%,No
Union County,"March, 2020","8,503","8,232",271,3.20%,No
Walworth County,"March, 2020","2,158","2,016",142,6.60%,No
Yankton County,"March, 2020","11,852","11,505",347,2.90%,No
Ziebach County,"March, 2020",936,903,33,3.50%,No
Todd County,"April, 2020","3,090","2,816",274,8.90%,No
Tripp County,"April, 2020","2,920","2,762",158,5.40%,No
Turner County,"April, 2020","4,657","4,283",374,8.00%,No
Union County,"April, 2020","8,763","7,689","1,074",12.30%,No
Walworth County,"April, 2020","2,077","1,843",234,11.30%,No
Yankton County,"April, 2020","12,408","10,939","1,469",11.80%,No
Ziebach County,"April, 2020",872,826,46,5.30%,No
Todd County,"May, 2020","3,069","2,798",271,8.80%,Yes
Tripp County,"May, 2020","2,919","2,747",172,5.90%,Yes
Turner County,"May, 2020","4,686","4,312",374,8.00%,Yes
Union County,"May, 2020","8,712","7,816",896,10.30%,Yes
Walworth County,"May, 2020","2,071","1,881",190,9.20%,Yes
Yankton County,"May, 2020","12,040","11,040","1,000",8.30%,Yes
Ziebach County,"May, 2020",864,809,55,6.40%,Yes
South Dakota,"January, 2020","461,820","444,256","17,564",3.80%,No
South Dakota,"February, 2020","464,194","447,445","16,749",3.60%,No
South Dakota,"March, 2020","465,585","449,860","15,725",3.40%,No
South Dakota,"April, 2020","467,575","416,227","51,348",11.00%,No
South Dakota,"May, 2020","464,600","421,779","42,821",9.20%,Yes
