period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
April,Webster Parish,"13,005","11,478","1,527",11.7%,Yes
April,West Baton Rouge Parish,"12,463","10,931","1,532",12.3%,Yes
April,West Carroll Parish,"3,189","2,747",442,13.9%,Yes
April,West Feliciana Parish,"4,755","4,327",428,9.0%,Yes
April,Winn Parish,"4,171","3,798",373,8.9%,Yes
March,Acadia Parish,"24,036","22,364","1,672",7.00%,No
March,Allen Parish,"9,076","8,376",700,7.70%,No
March,Ascension Parish,"66,163","62,681","3,482",5.30%,No
March,Assumption Parish,"9,122","8,412",710,7.80%,No
March,Avoyelles Parish,"15,532","14,340","1,192",7.70%,No
March,Beauregard Parish,"14,961","13,851","1,110",7.40%,No
March,Bienville Parish,"5,697","5,225",472,8.30%,No
March,Bossier Parish,"58,383","55,121","3,262",5.60%,No
March,Caddo Parish,"105,143","97,807","7,336",7.00%,No
March,Calcasieu Parish,"103,917","97,696","6,221",6.00%,No
March,Caldwell Parish,"3,894","3,535",359,9.20%,No
March,Cameron Parish,"3,844","3,639",205,5.30%,No
March,Catahoula Parish,"3,484","3,217",267,7.70%,No
March,Claiborne Parish,"6,017","5,537",480,8.00%,No
March,Concordia Parish,"7,357","6,719",638,8.70%,No
March,De Soto Parish,"11,101","10,211",890,8.00%,No
March,East Baton Rouge Parish,"238,382","225,204","13,178",5.50%,No
March,East Carroll Parish,"1,953","1,666",287,14.70%,No
March,East Feliciana Parish,"8,236","7,767",469,5.70%,No
March,Evangeline Parish,"12,061","11,158",903,7.50%,No
March,Franklin Parish,"7,629","6,908",721,9.50%,No
March,Grant Parish,"8,341","7,695",646,7.70%,No
March,Iberia Parish,"28,430","26,271","2,159",7.60%,No
March,Iberville Parish,"14,654","13,528","1,126",7.70%,No
March,Jackson Parish,"7,043","6,584",459,6.50%,No
March,Jefferson Davis Parish,"13,302","12,461",841,6.30%,No
March,Jefferson Parish,"214,778","202,921","11,857",5.50%,No
March,La Salle Parish,"6,935","6,548",387,5.60%,No
March,Lafayette Parish,"113,977","107,302","6,675",5.90%,No
March,Lafourche Parish,"42,141","39,684","2,457",5.80%,No
March,Lincoln Parish,"22,835","21,355","1,480",6.50%,No
March,Livingston Parish,"71,038","67,338","3,700",5.20%,No
March,Madison Parish,"3,609","3,245",364,10.10%,No
March,Morehouse Parish,"10,502","9,289","1,213",11.60%,No
March,Natchitoches Parish,"17,148","15,943","1,205",7.00%,No
March,Orleans Parish,"179,911","168,498","11,413",6.30%,No
March,Ouachita Parish,"71,948","66,873","5,075",7.10%,No
March,Plaquemines Parish,"10,115","9,564",551,5.40%,No
March,Pointe Coupee Parish,"10,225","9,551",674,6.60%,No
March,Rapides Parish,"55,880","52,305","3,575",6.40%,No
March,Red River Parish,"3,877","3,592",285,7.40%,No
March,Richland Parish,"8,437","7,683",754,8.90%,No
March,Sabine Parish,"9,432","8,829",603,6.40%,No
March,St. Bernard Parish,"19,991","18,709","1,282",6.40%,No
March,St. Charles Parish,"25,269","23,836","1,433",5.70%,No
March,St. Helena Parish,"4,428","4,102",326,7.40%,No
March,St. James Parish,"9,343","8,615",728,7.80%,No
March,St. John the Baptist Parish,"19,852","18,388","1,464",7.40%,No
March,St. Landry Parish,"32,771","30,079","2,692",8.20%,No
March,St. Martin Parish,"22,375","20,849","1,526",6.80%,No
March,St. Mary Parish,"20,320","18,758","1,562",7.70%,No
March,St. Tammany Parish,"119,673","113,214","6,459",5.40%,No
March,Tangipahoa Parish,"55,524","51,596","3,928",7.10%,No
March,Tensas Parish,"1,449","1,267",182,12.60%,No
March,Terrebonne Parish,"46,567","43,716","2,851",6.10%,No
March,Union Parish,"9,418","8,662",756,8.00%,No
March,Vermilion Parish,"24,246","22,582","1,664",6.90%,No
March,Vernon Parish,"16,808","15,236","1,572",9.40%,No
March,Washington Parish,"17,093","15,824","1,269",7.40%,No
March,Webster Parish,"14,838","13,610","1,228",8.30%,No
March,West Baton Rouge Parish,"14,113","13,318",795,5.60%,No
March,West Carroll Parish,"3,851","3,233",618,16.00%,No
March,West Feliciana Parish,"5,566","5,274",292,5.20%,No
March,Winn Parish,"5,036","4,603",433,8.60%,No
February,Acadia Parish,"23,574","22,483","1,091",4.60%,No
February,Allen Parish,"8,924","8,425",499,5.60%,No
February,Ascension Parish,"64,725","62,402","2,323",3.60%,No
February,Assumption Parish,"8,869","8,366",503,5.70%,No
February,Avoyelles Parish,"14,913","14,132",781,5.20%,No
February,Beauregard Parish,"14,582","13,874",708,4.90%,No
February,Bienville Parish,"5,514","5,197",317,5.70%,No
February,Bossier Parish,"57,407","55,279","2,128",3.70%,No
February,Caddo Parish,"103,033","98,110","4,923",4.80%,No
February,Calcasieu Parish,"103,480","99,332","4,148",4.00%,No
February,Caldwell Parish,"3,761","3,510",251,6.70%,No
February,Cameron Parish,"3,841","3,697",144,3.70%,No
February,Catahoula Parish,"3,357","3,171",186,5.50%,No
February,Claiborne Parish,"5,854","5,508",346,5.90%,No
February,Concordia Parish,"7,090","6,648",442,6.20%,No
February,De Soto Parish,"10,842","10,230",612,5.60%,No
February,East Baton Rouge Parish,"232,932","224,223","8,709",3.70%,No
February,East Carroll Parish,"1,866","1,655",211,11.30%,No
February,East Feliciana Parish,"8,030","7,726",304,3.80%,No
February,Evangeline Parish,"11,639","11,038",601,5.20%,No
February,Franklin Parish,"7,300","6,803",497,6.80%,No
February,Grant Parish,"8,150","7,706",444,5.40%,No
February,Iberia Parish,"27,889","26,431","1,458",5.20%,No
February,Iberville Parish,"14,225","13,446",779,5.50%,No
February,Jackson Parish,"6,823","6,515",308,4.50%,No
February,Jefferson Davis Parish,"13,044","12,489",555,4.30%,No
February,Jefferson Parish,"215,129","207,311","7,818",3.60%,No
February,La Salle Parish,"6,754","6,503",251,3.70%,No
February,Lafayette Parish,"112,611","108,221","4,390",3.90%,No
February,Lafourche Parish,"41,727","40,139","1,588",3.80%,No
February,Lincoln Parish,"22,095","21,170",925,4.20%,No
February,Livingston Parish,"69,409","67,015","2,394",3.40%,No
February,Madison Parish,"3,445","3,196",249,7.20%,No
February,Morehouse Parish,"10,082","9,201",881,8.70%,No
February,Natchitoches Parish,"16,482","15,705",777,4.70%,No
February,Orleans Parish,"179,631","172,117","7,514",4.20%,No
February,Ouachita Parish,"70,222","66,784","3,438",4.90%,No
February,Plaquemines Parish,"10,093","9,731",362,3.60%,No
February,Pointe Coupee Parish,"9,924","9,478",446,4.50%,No
February,Rapides Parish,"54,814","52,398","2,416",4.40%,No
February,Red River Parish,"3,735","3,542",193,5.20%,No
February,Richland Parish,"8,133","7,605",528,6.50%,No
February,Sabine Parish,"9,075","8,676",399,4.40%,No
February,St. Bernard Parish,"19,971","19,082",889,4.50%,No
February,St. Charles Parish,"25,300","24,351",949,3.80%,No
February,St. Helena Parish,"4,307","4,078",229,5.30%,No
February,St. James Parish,"9,311","8,796",515,5.50%,No
February,St. John the Baptist Parish,"19,800","18,793","1,007",5.10%,No
February,St. Landry Parish,"31,700","29,870","1,830",5.80%,No
February,St. Martin Parish,"22,025","21,002","1,023",4.60%,No
February,St. Mary Parish,"19,607","18,587","1,020",5.20%,No
February,St. Tammany Parish,"119,820","115,612","4,208",3.50%,No
February,Tangipahoa Parish,"54,463","51,887","2,576",4.70%,No
February,Tensas Parish,"1,361","1,241",120,8.80%,No
February,Terrebonne Parish,"46,027","44,184","1,843",4.00%,No
February,Union Parish,"9,123","8,619",504,5.50%,No
February,Vermilion Parish,"23,807","22,729","1,078",4.50%,No
February,Vernon Parish,"16,129","15,142",987,6.10%,No
February,Washington Parish,"16,680","15,841",839,5.00%,No
February,Webster Parish,"14,470","13,647",823,5.70%,No
February,West Baton Rouge Parish,"13,786","13,262",524,3.80%,No
February,West Carroll Parish,"3,591","3,167",424,11.80%,No
February,West Feliciana Parish,"5,443","5,243",200,3.70%,No
February,Winn Parish,"4,831","4,543",288,6.00%,No
January,Acadia Parish,"23,619","22,161","1,458",6.20%,No
January,Allen Parish,"8,968","8,322",646,7.20%,No
January,Ascension Parish,"64,241","61,136","3,105",4.80%,No
January,Assumption Parish,"8,921","8,251",670,7.50%,No
January,Avoyelles Parish,"14,984","13,897","1,087",7.30%,No
January,Beauregard Parish,"14,567","13,630",937,6.40%,No
January,Bienville Parish,"5,493","5,112",381,6.90%,No
January,Bossier Parish,"57,460","54,562","2,898",5.00%,No
January,Caddo Parish,"103,314","96,887","6,427",6.20%,No
January,Calcasieu Parish,"103,482","98,016","5,466",5.30%,No
January,Caldwell Parish,"3,781","3,462",319,8.40%,No
January,Cameron Parish,"3,832","3,643",189,4.90%,No
January,Catahoula Parish,"3,355","3,110",245,7.30%,No
January,Claiborne Parish,"5,863","5,447",416,7.10%,No
January,Concordia Parish,"7,099","6,546",553,7.80%,No
January,De Soto Parish,"10,880","10,081",799,7.30%,No
January,East Baton Rouge Parish,"231,590","219,712","11,878",5.10%,No
January,East Carroll Parish,"1,862","1,627",235,12.60%,No
January,East Feliciana Parish,"7,976","7,563",413,5.20%,No
January,Evangeline Parish,"11,712","10,890",822,7.00%,No
January,Franklin Parish,"7,319","6,675",644,8.80%,No
January,Grant Parish,"8,181","7,602",579,7.10%,No
January,Iberia Parish,"27,913","26,100","1,813",6.50%,No
January,Iberville Parish,"14,119","13,131",988,7.00%,No
January,Jackson Parish,"6,782","6,403",379,5.60%,No
January,Jefferson Davis Parish,"13,064","12,310",754,5.80%,No
January,Jefferson Parish,"215,328","205,031","10,297",4.80%,No
January,La Salle Parish,"6,808","6,468",340,5.00%,No
January,Lafayette Parish,"113,183","107,282","5,901",5.20%,No
January,Lafourche Parish,"41,763","39,552","2,211",5.30%,No
January,Lincoln Parish,"21,986","20,617","1,369",6.20%,No
January,Livingston Parish,"68,910","65,622","3,288",4.80%,No
January,Madison Parish,"3,453","3,121",332,9.60%,No
January,Morehouse Parish,"10,109","9,028","1,081",10.70%,No
January,Natchitoches Parish,"16,000","14,874","1,126",7.00%,No
January,Orleans Parish,"180,237","170,249","9,988",5.50%,No
January,Ouachita Parish,"70,168","65,733","4,435",6.30%,No
January,Plaquemines Parish,"10,078","9,564",514,5.10%,No
January,Pointe Coupee Parish,"9,836","9,233",603,6.10%,No
January,Rapides Parish,"55,019","51,708","3,311",6.00%,No
January,Red River Parish,"3,722","3,479",243,6.50%,No
January,Richland Parish,"8,142","7,457",685,8.40%,No
January,Sabine Parish,"9,067","8,525",542,6.00%,No
January,St. Bernard Parish,"19,997","18,843","1,154",5.80%,No
January,St. Charles Parish,"25,369","24,079","1,290",5.10%,No
January,St. Helena Parish,"4,285","3,988",297,6.90%,No
January,St. James Parish,"9,363","8,681",682,7.30%,No
January,St. John the Baptist Parish,"19,928","18,589","1,339",6.70%,No
January,St. Landry Parish,"31,903","29,464","2,439",7.60%,No
January,St. Martin Parish,"22,096","20,761","1,335",6.00%,No
January,St. Mary Parish,"19,761","18,426","1,335",6.80%,No
January,St. Tammany Parish,"120,112","114,340","5,772",4.80%,No
January,Tangipahoa Parish,"54,687","51,077","3,610",6.60%,No
January,Tensas Parish,"1,327","1,185",142,10.70%,No
January,Terrebonne Parish,"46,005","43,469","2,536",5.50%,No
January,Union Parish,"9,077","8,429",648,7.10%,No
January,Vermilion Parish,"23,921","22,472","1,449",6.10%,No
January,Vernon Parish,"16,167","15,015","1,152",7.10%,No
January,Washington Parish,"16,749","15,629","1,120",6.70%,No
January,Webster Parish,"14,518","13,467","1,051",7.20%,No
January,West Baton Rouge Parish,"13,712","12,999",713,5.20%,No
January,West Carroll Parish,"3,654","3,090",564,15.40%,No
January,West Feliciana Parish,"5,392","5,121",271,5.00%,No
January,Winn Parish,"4,834","4,468",366,7.60%,No
January,Louisiana,"2,097,045","1,977,412","119,633",5.70%,No
February,Louisiana,"2,096,578","2,006,863","89,715",4.30%,No
March,Louisiana,"2,129,078","1,993,963","135,115",6.30%,No
April,Louisiana,"1,929,961","1,649,341","280,620",14.50%,No
May,Louisiana,"2,041,451","1,774,794","266,657",13.10%,Yes
