county,Jan,Feb,Mar,Apr,May,Jun
Stephens,182,47,548,2839,1789,"1,007"
Stewart,39,15,59,229,157,172
Sumter,246,106,373,2231,1266,"1,311"
Talbot,30,20,102,410,302,319
Taliaferro,9,4,29,106,73,55
Tattnall,60,29,275,1090,643,496
Taylor,100,23,97,570,258,292
Telfair,65,36,87,518,328,319
Terrell,93,37,121,629,393,339
Thomas,92,52,870,3590,2313,"1,664"
Tift,138,67,1138,4152,2385,"1,818"
Toombs,271,78,389,2899,1424,"1,111"
Towns,17,9,302,1042,604,289
Treutlen,45,22,72,429,264,233
Troup,424,152,1783,12224,7032,"7,268"
Turner,38,23,212,693,371,330
Twiggs,25,29,95,468,348,252
Union,44,37,679,2110,1162,764
Upson,175,120,499,3058,1828,"1,547"
Walker,518,92,810,6311,3548,"1,782"
Walton,198,124,2770,11880,7385,"4,234"
Ware,127,59,569,3025,1497,"1,356"
Warren,81,22,98,510,331,269
Washington,57,35,203,1158,757,846
Wayne,91,69,416,2520,1765,"1,048"
Webster,9,3,15,90,63,58
Wheeler,34,14,24,260,177,115
White,241,85,954,3331,1755,868
Whitfield,3528,413,2661,21259,11043,"6,993"
Wilcox,34,17,48,323,203,183
Wilkes,57,18,94,566,378,330
Wilkinson,39,21,127,605,458,280
Worth,70,38,322,1322,824,632
