STFIPS,AREATYNAME,AREANAME,YEAR,MONTH,ADJUSTED,PRELIM,LABORFORCE,EMP,UNEMP,UNEMPRATE,LABFORCE_PARTRATE
19,County,Buchanan County,2011,January,0,0,11180,10350,830,7.4,
19,County,Buchanan County,2011,February,0,0,11170,10330,840,7.5,
19,County,Buchanan County,2011,March,0,0,11190,10430,770,6.8,
19,County,Buchanan County,2011,April,0,0,11120,10510,610,5.5,
19,County,Buchanan County,2011,May,0,0,11160,10590,570,5.1,
19,County,Buchanan County,2011,June,0,0,11340,10730,610,5.4,
19,County,Buchanan County,2011,July,0,0,11400,10840,560,4.9,
19,County,Buchanan County,2011,August,0,0,11170,10600,570,5.1,
19,County,Buchanan County,2011,September,0,0,11100,10530,570,5.1,
19,County,Buchanan County,2011,October,0,0,11110,10560,550,4.9,
19,County,Buchanan County,2011,November,0,0,11020,10500,530,4.8,
19,County,Buchanan County,2011,December,0,0,11020,10420,590,5.4,
19,County,Buchanan County,2012,January,0,0,10900,10220,670,6.2,
19,County,Buchanan County,2012,February,0,0,10930,10240,680,6.2,
19,County,Buchanan County,2012,March,0,0,10940,10330,610,5.6,
19,County,Buchanan County,2012,April,0,0,10980,10500,480,4.4,
19,County,Buchanan County,2012,May,0,0,11010,10540,470,4.2,
19,County,Buchanan County,2012,June,0,0,11140,10650,490,4.4,
19,County,Buchanan County,2012,July,0,0,11260,10750,510,4.5,
19,County,Buchanan County,2012,August,0,0,10980,10480,500,4.6,
19,County,Buchanan County,2012,September,0,0,11020,10550,470,4.2,
19,County,Buchanan County,2012,October,0,0,11070,10610,450,4.1,
19,County,Buchanan County,2012,November,0,0,11030,10560,470,4.3,
19,County,Buchanan County,2012,December,0,0,11030,10470,560,5,
19,County,Buchanan County,2013,January,0,0,10940,10270,670,6.1,
19,County,Buchanan County,2013,February,0,0,10960,10310,640,5.9,
19,County,Buchanan County,2013,March,0,0,10990,10370,630,5.7,
19,County,Buchanan County,2013,April,0,0,11130,10560,570,5.1,
19,County,Buchanan County,2013,May,0,0,11080,10600,480,4.3,
19,County,Buchanan County,2013,June,0,0,11280,10780,500,4.5,
19,County,Buchanan County,2013,July,0,0,11440,10950,500,4.3,
19,County,Buchanan County,2013,August,0,0,11270,10790,480,4.3,
19,County,Buchanan County,2013,September,0,0,11290,10800,490,4.3,
19,County,Buchanan County,2013,October,0,0,11210,10760,450,4,
19,County,Buchanan County,2013,November,0,0,11150,10710,440,4,
19,County,Buchanan County,2013,December,0,0,11260,10760,500,4.5,
19,County,Buchanan County,2014,January,0,0,11250,10580,670,5.9,
19,County,Buchanan County,2014,February,0,0,11300,10670,630,5.6,
19,County,Buchanan County,2014,March,0,0,11330,10720,610,5.4,
19,County,Buchanan County,2014,April,0,0,11410,10920,490,4.3,
19,County,Buchanan County,2014,May,0,0,11390,10920,470,4.1,
19,County,Buchanan County,2014,June,0,0,11540,11050,490,4.2,
19,County,Buchanan County,2014,July,0,0,11730,11230,500,4.2,
19,County,Buchanan County,2014,August,0,0,11800,11160,640,5.4,
19,County,Buchanan County,2014,September,0,0,11650,11200,440,3.8,
19,County,Buchanan County,2014,October,0,0,11510,11070,440,3.8,
19,County,Buchanan County,2014,November,0,0,11480,11000,480,4.2,
19,County,Buchanan County,2014,December,0,0,11430,10880,550,4.8,
19,County,Buchanan County,2015,January,0,0,11340,10690,650,5.7,
19,County,Buchanan County,2015,February,0,0,11260,10650,610,5.4,
19,County,Buchanan County,2015,March,0,0,11260,10660,600,5.3,
19,County,Buchanan County,2015,April,0,0,11290,10830,460,4.1,
19,County,Buchanan County,2015,May,0,0,11320,10870,450,4,
19,County,Buchanan County,2015,June,0,0,11430,10960,480,4.2,
19,County,Buchanan County,2015,July,0,0,11460,11010,450,3.9,
19,County,Buchanan County,2015,August,0,0,11330,10890,440,3.9,
19,County,Buchanan County,2015,September,0,0,11220,10790,420,3.8,
19,County,Buchanan County,2015,October,0,0,11250,10870,380,3.4,
19,County,Buchanan County,2015,November,0,0,11180,10790,390,3.4,
19,County,Buchanan County,2015,December,0,0,11230,10770,460,4.1,
19,County,Buchanan County,2016,January,0,0,11180,10570,610,5.4,
19,County,Buchanan County,2016,February,0,0,11200,10620,580,5.2,
19,County,Buchanan County,2016,March,0,0,11180,10630,550,4.9,
19,County,Buchanan County,2016,April,0,0,11200,10760,440,3.9,
19,County,Buchanan County,2016,May,0,0,11210,10810,410,3.6,
19,County,Buchanan County,2016,June,0,0,11420,10970,450,3.9,
19,County,Buchanan County,2016,July,0,0,11470,10940,530,4.6,
19,County,Buchanan County,2016,August,0,0,11220,10780,450,4,
19,County,Buchanan County,2016,September,0,0,11120,10720,400,3.6,
19,County,Buchanan County,2016,October,0,0,11020,10660,360,3.3,
19,County,Buchanan County,2016,November,0,0,10890,10540,350,3.2,
19,County,Buchanan County,2016,December,0,0,10950,10540,410,3.7,
19,County,Buchanan County,2017,January,0,0,11040,10420,620,5.6,
19,County,Buchanan County,2017,February,0,0,10930,10460,480,4.3,
19,County,Buchanan County,2017,March,0,0,10950,10500,450,4.1,
19,County,Buchanan County,2017,April,0,0,10960,10630,330,3,
19,County,Buchanan County,2017,May,0,0,11000,10690,310,2.8,
19,County,Buchanan County,2017,June,0,0,11250,10930,330,2.9,
19,County,Buchanan County,2017,July,0,0,11330,11010,320,2.8,
19,County,Buchanan County,2017,August,0,0,11130,10800,330,2.9,
19,County,Buchanan County,2017,September,0,0,10990,10700,290,2.6,
19,County,Buchanan County,2017,October,0,0,10940,10710,240,2.2,
19,County,Buchanan County,2017,November,0,0,10950,10700,250,2.3,
19,County,Buchanan County,2017,December,0,0,11020,10700,320,2.9,
19,County,Buchanan County,2018,January,0,0,11010,10560,450,4.1,
19,County,Buchanan County,2018,February,0,0,11070,10650,420,3.8,
19,County,Buchanan County,2018,March,0,0,11040,10650,390,3.5,
19,County,Buchanan County,2018,April,0,0,11100,10800,310,2.8,
19,County,Buchanan County,2018,May,0,0,11190,10960,240,2.1,
19,County,Buchanan County,2018,June,0,0,11420,11140,280,2.5,
19,County,Buchanan County,2018,July,0,0,11490,11220,260,2.3,
19,County,Buchanan County,2018,August,0,0,11260,11000,260,2.3,
19,County,Buchanan County,2018,September,0,0,11210,10980,230,2,
19,County,Buchanan County,2018,October,0,0,11230,11020,210,1.9,
19,County,Buchanan County,2018,November,0,0,11290,11080,210,1.8,
19,County,Buchanan County,2018,December,0,0,11360,11050,310,2.7,
19,County,Buchanan County,2019,January,0,0,11360,10930,420,3.7,
19,County,Buchanan County,2019,February,0,0,11410,11010,400,3.5,
19,County,Buchanan County,2019,March,0,0,11340,10940,400,3.6,
19,County,Buchanan County,2019,April,0,0,11350,11060,280,2.5,
19,County,Buchanan County,2019,May,0,0,11360,11100,260,2.3,
19,County,Buchanan County,2019,June,0,0,11580,11290,280,2.4,
19,County,Buchanan County,2019,July,0,0,11730,11420,300,2.6,
19,County,Buchanan County,2019,August,0,0,11590,11290,310,2.6,
19,County,Buchanan County,2019,September,0,0,11570,11330,240,2.1,
19,County,Buchanan County,2019,October,0,0,11480,11210,270,2.3,
19,County,Buchanan County,2019,November,0,0,11490,11220,270,2.4,
19,County,Buchanan County,2019,December,0,0,11530,11160,370,3.2,
19,County,Buchanan County,2020,January,0,0,11420,10960,470,4.1,
19,County,Buchanan County,2020,February,0,0,11400,11000,400,3.5,
19,County,Buchanan County,2020,March,0,0,11200,10760,450,4,
19,County,Buchanan County,2020,April,0,0,11010,10010,1010,9.1,
19,County,Buchanan County,2020,May,0,1,10930,10020,920,8.4,
19,County,Buena Vista County,2000,January,0,0,10010,9730,280,2.8,
19,County,Buena Vista County,2000,February,0,0,10200,9920,280,2.7,
19,County,Buena Vista County,2000,March,0,0,10410,10140,270,2.6,
19,County,Buena Vista County,2000,April,0,0,10460,10220,240,2.3,
19,County,Buena Vista County,2000,May,0,0,10270,10050,210,2.1,
19,County,Buena Vista County,2000,June,0,0,10280,10040,240,2.3,
19,County,Buena Vista County,2000,July,0,0,10060,9860,200,2,
19,County,Buena Vista County,2000,August,0,0,9890,9660,230,2.3,
19,County,Buena Vista County,2000,September,0,0,9970,9760,210,2.1,
19,County,Buena Vista County,2000,October,0,0,10430,10220,210,2,
19,County,Buena Vista County,2000,November,0,0,10510,10270,240,2.3,
19,County,Buena Vista County,2000,December,0,0,10500,10250,260,2.4,
19,County,Buena Vista County,2001,January,0,0,10310,9990,320,3.1,
19,County,Buena Vista County,2001,February,0,0,10540,10240,310,2.9,
19,County,Buena Vista County,2001,March,0,0,10710,10400,310,2.9,
19,County,Buena Vista County,2001,April,0,0,10570,10300,270,2.6,
19,County,Buena Vista County,2001,May,0,0,10580,10350,230,2.2,
19,County,Buena Vista County,2001,June,0,0,10600,10290,310,2.9,
19,County,Buena Vista County,2001,July,0,0,10520,10250,270,2.5,
19,County,Buena Vista County,2001,August,0,0,10360,10090,280,2.7,
19,County,Buena Vista County,2001,September,0,0,10380,10120,260,2.5,
19,County,Buena Vista County,2001,October,0,0,11020,10760,260,2.3,
19,County,Buena Vista County,2001,November,0,0,10960,10690,270,2.4,
19,County,Buena Vista County,2001,December,0,0,10900,10590,320,2.9,
19,County,Buena Vista County,2002,January,0,0,10770,10400,380,3.5,
19,County,Buena Vista County,2002,February,0,0,10960,10590,370,3.3,
19,County,Buena Vista County,2002,March,0,0,10930,10550,380,3.5,
19,County,Buena Vista County,2002,April,0,0,10650,10310,340,3.2,
19,County,Buena Vista County,2002,May,0,0,10590,10290,300,2.9,
19,County,Buena Vista County,2002,June,0,0,10660,10270,390,3.7,
19,County,Buena Vista County,2002,July,0,0,10470,10130,340,3.2,
19,County,Buena Vista County,2002,August,0,0,10270,9930,340,3.3,
19,County,Buena Vista County,2002,September,0,0,10390,10080,310,3,
19,County,Buena Vista County,2002,October,0,0,10830,10540,280,2.6,
19,County,Buena Vista County,2002,November,0,0,10680,10360,320,3,
19,County,Buena Vista County,2002,December,0,0,10610,10260,340,3.2,
19,County,Buena Vista County,2003,January,0,0,10380,9950,430,4.1,
19,County,Buena Vista County,2003,February,0,0,10520,10100,420,4,
19,County,Buena Vista County,2003,March,0,0,10640,10250,390,3.7,
19,County,Buena Vista County,2003,April,0,0,10460,10090,370,3.5,
19,County,Buena Vista County,2003,May,0,0,10390,10050,340,3.2,
19,County,Buena Vista County,2003,June,0,0,10460,10010,440,4.2,
19,County,Buena Vista County,2003,July,0,0,10250,9830,410,4,
19,County,Buena Vista County,2003,August,0,0,10110,9730,380,3.8,
19,County,Buena Vista County,2003,September,0,0,10090,9740,350,3.5,
19,County,Buena Vista County,2003,October,0,0,10480,10180,300,2.9,
19,County,Buena Vista County,2003,November,0,0,10470,10130,340,3.2,
19,County,Buena Vista County,2003,December,0,0,10350,9990,360,3.5,
19,County,Buena Vista County,2004,January,0,0,10140,9730,420,4.1,
19,County,Buena Vista County,2004,February,0,0,10360,9970,390,3.8,
19,County,Buena Vista County,2004,March,0,0,10580,10180,400,3.8,
19,County,Buena Vista County,2004,April,0,0,10320,9960,360,3.5,
19,County,Buena Vista County,2004,May,0,0,10240,9860,380,3.7,
19,County,Buena Vista County,2004,June,0,0,10360,9880,480,4.6,
19,County,Buena Vista County,2004,July,0,0,10170,9730,440,4.3,
19,County,Buena Vista County,2004,August,0,0,10130,9680,440,4.4,
19,County,Buena Vista County,2004,September,0,0,10090,9710,390,3.8,
19,County,Buena Vista County,2004,October,0,0,10420,10050,360,3.5,
19,County,Buena Vista County,2004,November,0,0,10440,10060,380,3.7,
19,County,Buena Vista County,2004,December,0,0,10370,9950,410,4,
19,County,Buena Vista County,2005,January,0,0,10190,9710,490,4.8,
19,County,Buena Vista County,2005,February,0,0,10360,9920,440,4.2,
19,County,Buena Vista County,2005,March,0,0,10490,10060,430,4.1,
19,County,Buena Vista County,2005,April,0,0,10210,9840,370,3.6,
19,County,Buena Vista County,2005,May,0,0,10200,9840,370,3.6,
19,County,Buena Vista County,2005,June,0,0,10210,9780,430,4.2,
19,County,Buena Vista County,2005,July,0,0,10110,9730,380,3.8,
19,County,Buena Vista County,2005,August,0,0,9900,9540,360,3.7,
19,County,Buena Vista County,2005,September,0,0,10110,9760,350,3.4,
19,County,Buena Vista County,2005,October,0,0,10500,10170,330,3.1,
19,County,Buena Vista County,2005,November,0,0,10610,10230,380,3.6,
19,County,Buena Vista County,2005,December,0,0,10520,10130,390,3.7,
19,County,Buena Vista County,2006,January,0,0,10310,9910,400,3.8,
19,County,Buena Vista County,2006,February,0,0,10530,10140,390,3.7,
19,County,Buena Vista County,2006,March,0,0,10610,10260,350,3.3,
19,County,Buena Vista County,2006,April,0,0,10490,10170,320,3.1,
19,County,Buena Vista County,2006,May,0,0,10380,10070,310,3,
19,County,Buena Vista County,2006,June,0,0,10520,10130,390,3.7,
19,County,Buena Vista County,2006,July,0,0,10370,10010,350,3.4,
19,County,Buena Vista County,2006,August,0,0,10370,9990,380,3.6,
19,County,Buena Vista County,2006,September,0,0,10390,10070,330,3.1,
19,County,Buena Vista County,2006,October,0,0,10750,10450,300,2.8,
19,County,Buena Vista County,2006,November,0,0,10700,10390,310,2.9,
19,County,Buena Vista County,2006,December,0,0,10700,10390,310,2.9,
19,County,Buena Vista County,2007,January,0,0,10220,9840,390,3.8,
19,County,Buena Vista County,2007,February,0,0,10260,9900,360,3.5,
19,County,Buena Vista County,2007,March,0,0,10510,10160,340,3.3,
19,County,Buena Vista County,2007,April,0,0,10240,9920,320,3.1,
19,County,Buena Vista County,2007,May,0,0,10310,10020,290,2.8,
19,County,Buena Vista County,2007,June,0,0,10460,10090,370,3.5,
19,County,Buena Vista County,2007,July,0,0,10130,9810,310,3.1,
19,County,Buena Vista County,2007,August,0,0,10110,9790,310,3.1,
19,County,Buena Vista County,2007,September,0,0,10290,9970,310,3.1,
19,County,Buena Vista County,2007,October,0,0,10710,10430,280,2.6,
19,County,Buena Vista County,2007,November,0,0,10730,10440,290,2.7,
19,County,Buena Vista County,2007,December,0,0,10700,10340,360,3.4,
19,County,Buena Vista County,2008,January,0,0,10410,10040,370,3.5,
19,County,Buena Vista County,2008,February,0,0,10500,10140,350,3.4,
19,County,Buena Vista County,2008,March,0,0,10780,10430,350,3.2,
19,County,Buena Vista County,2008,April,0,0,10610,10290,320,3,
19,County,Buena Vista County,2008,May,0,0,10600,10260,340,3.2,
19,County,Buena Vista County,2008,June,0,0,10770,10350,420,3.9,
19,County,Buena Vista County,2008,July,0,0,10540,10120,410,3.9,
19,County,Buena Vista County,2008,August,0,0,10460,10050,410,3.9,
19,County,Buena Vista County,2008,September,0,0,10450,10070,390,3.7,
19,County,Buena Vista County,2008,October,0,0,10850,10470,380,3.5,
19,County,Buena Vista County,2008,November,0,0,10820,10420,400,3.7,
19,County,Buena Vista County,2008,December,0,0,10780,10310,480,4.4,
19,County,Buena Vista County,2009,January,0,0,10580,10050,530,5,
19,County,Buena Vista County,2009,February,0,0,10690,10140,550,5.1,
19,County,Buena Vista County,2009,March,0,0,10980,10400,580,5.2,
19,County,Buena Vista County,2009,April,0,0,10800,10280,530,4.9,
19,County,Buena Vista County,2009,May,0,0,10720,10180,540,5.1,
19,County,Buena Vista County,2009,June,0,0,11010,10350,670,6,
19,County,Buena Vista County,2009,July,0,0,10840,10190,650,6,
19,County,Buena Vista County,2009,August,0,0,10510,9910,610,5.8,
19,County,Buena Vista County,2009,September,0,0,10400,9860,540,5.2,
19,County,Buena Vista County,2009,October,0,0,10910,10390,510,4.7,
19,County,Buena Vista County,2009,November,0,0,10940,10420,510,4.7,
19,County,Buena Vista County,2009,December,0,0,10950,10380,570,5.2,
19,County,Buena Vista County,2010,January,0,0,11250,10630,610,5.5,
19,County,Buena Vista County,2010,February,0,0,11420,10820,600,5.3,
19,County,Buena Vista County,2010,March,0,0,11630,11040,590,5.1,
19,County,Buena Vista County,2010,April,0,0,11400,10870,520,4.6,
19,County,Buena Vista County,2010,May,0,0,11380,10880,510,4.4,
19,County,Buena Vista County,2010,June,0,0,11640,11060,570,4.9,
19,County,Buena Vista County,2010,July,0,0,11400,10860,540,4.8,
19,County,Buena Vista County,2010,August,0,0,11150,10630,520,4.7,
19,County,Buena Vista County,2010,September,0,0,11160,10660,510,4.6,
19,County,Buena Vista County,2010,October,0,0,11600,11100,490,4.3,
19,County,Buena Vista County,2010,November,0,0,11550,11060,500,4.3,
19,County,Buena Vista County,2010,December,0,0,11470,10960,510,4.4,
19,County,Buena Vista County,2011,January,0,0,11340,10760,570,5,
19,County,Buena Vista County,2011,February,0,0,11400,10850,550,4.8,
19,County,Buena Vista County,2011,March,0,0,11550,11020,530,4.6,
19,County,Buena Vista County,2011,April,0,0,11220,10740,490,4.3,
19,County,Buena Vista County,2011,May,0,0,11260,10800,470,4.2,
19,County,Buena Vista County,2011,June,0,0,11510,10960,560,4.8,
19,County,Buena Vista County,2011,July,0,0,11190,10660,530,4.7,
19,County,Buena Vista County,2011,August,0,0,10950,10420,530,4.9,
19,County,Buena Vista County,2011,September,0,0,10960,10480,490,4.4,
19,County,Buena Vista County,2011,October,0,0,11550,11070,480,4.1,
19,County,Buena Vista County,2011,November,0,0,11570,11110,460,4,
19,County,Buena Vista County,2011,December,0,0,11520,11030,490,4.3,
19,County,Buena Vista County,2012,January,0,0,11260,10750,520,4.6,
19,County,Buena Vista County,2012,February,0,0,11270,10750,520,4.6,
19,County,Buena Vista County,2012,March,0,0,11370,10890,480,4.2,
19,County,Buena Vista County,2012,April,0,0,11090,10650,440,3.9,
19,County,Buena Vista County,2012,May,0,0,11200,10770,430,3.9,
19,County,Buena Vista County,2012,June,0,0,11350,10830,520,4.6,
19,County,Buena Vista County,2012,July,0,0,11180,10660,520,4.6,
19,County,Buena Vista County,2012,August,0,0,10940,10450,490,4.5,
19,County,Buena Vista County,2012,September,0,0,11020,10590,420,3.8,
19,County,Buena Vista County,2012,October,0,0,11380,10960,420,3.7,
19,County,Buena Vista County,2012,November,0,0,11410,11010,400,3.5,
19,County,Buena Vista County,2012,December,0,0,11230,10790,440,3.9,
19,County,Buena Vista County,2013,January,0,0,11080,10580,500,4.5,
19,County,Buena Vista County,2013,February,0,0,11080,10600,480,4.3,
19,County,Buena Vista County,2013,March,0,0,11220,10750,470,4.2,
19,County,Buena Vista County,2013,April,0,0,11170,10740,420,3.8,
19,County,Buena Vista County,2013,May,0,0,11230,10810,420,3.8,
19,County,Buena Vista County,2013,June,0,0,11530,11010,520,4.5,
19,County,Buena Vista County,2013,July,0,0,11370,10850,520,4.6,
19,County,Buena Vista County,2013,August,0,0,11100,10650,450,4.1,
19,County,Buena Vista County,2013,September,0,0,11220,10820,400,3.6,
19,County,Buena Vista County,2013,October,0,0,11550,11180,370,3.2,
19,County,Buena Vista County,2013,November,0,0,11620,11230,390,3.4,
19,County,Buena Vista County,2013,December,0,0,11510,11110,410,3.5,
19,County,Buena Vista County,2014,January,0,0,11260,10780,480,4.3,
19,County,Buena Vista County,2014,February,0,0,11250,10780,470,4.2,
19,County,Buena Vista County,2014,March,0,0,11380,10910,470,4.1,
19,County,Buena Vista County,2014,April,0,0,11400,10950,450,4,
19,County,Buena Vista County,2014,May,0,0,11510,11070,440,3.8,
19,County,Buena Vista County,2014,June,0,0,11760,11240,520,4.4,
19,County,Buena Vista County,2014,July,0,0,11550,11030,510,4.5,
19,County,Buena Vista County,2014,August,0,0,11370,10900,470,4.1,
19,County,Buena Vista County,2014,September,0,0,11470,11060,410,3.6,
19,County,Buena Vista County,2014,October,0,0,11790,11380,410,3.5,
19,County,Buena Vista County,2014,November,0,0,11730,11340,390,3.3,
19,County,Buena Vista County,2014,December,0,0,11530,11110,420,3.6,
19,County,Buena Vista County,2015,January,0,0,11290,10840,450,4,
19,County,Buena Vista County,2015,February,0,0,11500,11090,420,3.6,
19,County,Buena Vista County,2015,March,0,0,11540,11160,380,3.3,
19,County,Buena Vista County,2015,April,0,0,11600,11230,380,3.2,
19,County,Buena Vista County,2015,May,0,0,11720,11320,390,3.4,
19,County,Buena Vista County,2015,June,0,0,11940,11410,530,4.5,
19,County,Buena Vista County,2015,July,0,0,11680,11140,540,4.6,
19,County,Buena Vista County,2015,August,0,0,11430,10910,520,4.6,
19,County,Buena Vista County,2015,September,0,0,11390,11000,380,3.4,
19,County,Buena Vista County,2015,October,0,0,11660,11300,360,3.1,
