Month,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary,
May,Houston County,"65,950","61,218","4,732",7.20%,Yes,
May,Irwin County,"3,391","3,184",207,6.10%,Yes,
May,Jackson County,"36,419","33,665","2,754",7.60%,Yes,
May,Jasper County,"6,409","5,969",440,6.90%,Yes,
May,Jeff Davis County,"5,829","5,475",354,6.10%,Yes,
May,Jefferson County,"6,495","6,023",472,7.30%,Yes,
May,Jenkins County,"3,083","2,836",247,8.00%,Yes,
May,Johnson County,"3,934","3,720",214,5.40%,Yes,
May,Jones County,"12,706","11,891",815,6.40%,Yes,
May,Lamar County,"7,623","6,984",639,8.40%,Yes,
May,Lanier County,"3,537","3,325",212,6.00%,Yes,
May,Laurens County,"19,033","17,404","1,629",8.60%,Yes,
May,Lee County,"13,806","12,885",921,6.70%,Yes,
May,Liberty County,"25,273","23,230","2,043",8.10%,Yes,
May,Lincoln County,"3,379","3,146",233,6.90%,Yes,
May,Long County,"7,706","7,287",419,5.40%,Yes,
May,Lowndes County,"49,686","45,590","4,096",8.20%,Yes,
May,Lumpkin County,"15,899","14,677","1,222",7.70%,Yes,
May,Macon County,"4,522","4,224",298,6.60%,Yes,
May,Madison County,"12,777","11,821",956,7.50%,Yes,
May,Marion County,"2,991","2,806",185,6.20%,Yes,
May,McDuffie County,"8,505","7,665",840,9.90%,Yes,
May,McIntosh County,"5,313","4,886",427,8.00%,Yes,
May,Meriwether County,"8,609","7,550","1,059",12.30%,Yes,
May,Miller County,"2,684","2,581",103,3.80%,Yes,
May,Mitchell County,"8,202","7,656",546,6.70%,Yes,
May,Monroe County,"12,105","11,265",840,6.90%,Yes,
May,Montgomery County,"3,853","3,593",260,6.70%,Yes,
May,Morgan County,"8,702","7,967",735,8.40%,Yes,
May,Murray County,"15,289","13,585","1,704",11.10%,Yes,
May,Muscogee County,"73,085","65,295","7,790",10.70%,Yes,
May,Newton County,"49,517","44,424","5,093",10.30%,Yes,
May,Oconee County,"18,561","17,455","1,106",6.00%,Yes,
May,Oglethorpe County,"6,655","6,207",448,6.70%,Yes,
May,Paulding County,"80,472","73,800","6,672",8.30%,Yes,
May,Peach County,"11,080","10,271",809,7.30%,Yes,
May,Pickens County,"14,103","13,098","1,005",7.10%,Yes,
May,Pierce County,"8,406","7,947",459,5.50%,Yes,
May,Pike County,"8,232","7,641",591,7.20%,Yes,
May,Polk County,"18,057","16,383","1,674",9.30%,Yes,
May,Pulaski County,"3,724","3,533",191,5.10%,Yes,
May,Putnam County,"7,963","7,254",709,8.90%,Yes,
May,Quitman County,766,724,42,5.50%,Yes,
May,Rabun County,"7,124","6,545",579,8.10%,Yes,
May,Randolph County,"2,506","2,367",139,5.50%,Yes,
May,Richmond County,"82,127","74,039","8,088",9.80%,Yes,
May,Rockdale County,"42,649","38,055","4,594",10.80%,Yes,
May,Schley County,"2,231","2,094",137,6.10%,Yes,
May,Screven County,"5,175","4,582",593,11.50%,Yes,
May,Seminole County,"2,994","2,829",165,5.50%,Yes,
May,Spalding County,"27,077","24,362","2,715",10.00%,Yes,
May,Stephens County,"10,804","9,831",973,9.00%,Yes,
May,Stewart County,"2,565","2,393",172,6.70%,Yes,
May,Sumter County,"12,948","12,005",943,7.30%,Yes,
May,Talbot County,"2,665","2,423",242,9.10%,Yes,
May,Taliaferro County,567,522,45,7.90%,Yes,
May,Tattnall County,"9,242","8,816",426,4.60%,Yes,
May,Taylor County,"2,799","2,618",181,6.50%,Yes,
May,Telfair County,"3,627","3,256",371,10.20%,Yes,
May,Terrell County,"3,272","3,018",254,7.80%,Yes,
May,Thomas County,"16,579","15,345","1,234",7.40%,Yes,
May,Tift County,"19,986","18,761","1,225",6.10%,Yes,
May,Toombs County,"12,021","10,994","1,027",8.50%,Yes,
May,Towns County,"3,653","3,290",363,9.90%,Yes,
May,Treutlen County,"2,636","2,455",181,6.90%,Yes,
May,Troup County,"39,000","34,913","4,087",10.50%,Yes,
May,Turner County,"3,127","2,900",227,7.30%,Yes,
May,Twiggs County,"2,712","2,447",265,9.80%,Yes,
May,Union County,"10,215","9,563",652,6.40%,Yes,
May,Upson County,"11,126","10,128",998,9.00%,Yes,
May,Walker County,"30,300","28,132","2,168",7.20%,Yes,
May,Walton County,"42,963","39,469","3,494",8.10%,Yes,
May,Ware County,"15,193","14,180","1,013",6.70%,Yes,
May,Warren County,"2,786","2,547",239,8.60%,Yes,
May,Washington County,"6,598","6,108",490,7.40%,Yes,
May,Wayne County,"10,990","10,202",788,7.20%,Yes,
May,Webster County,994,938,56,5.60%,Yes,
May,Wheeler County,"1,600","1,481",119,7.40%,Yes,
May,White County,"16,519","15,372","1,147",6.90%,Yes,
May,Whitfield County,"43,151","38,339","4,812",11.20%,Yes,
May,Wilcox County,"2,624","2,470",154,5.90%,Yes,
May,Wilkes County,"3,831","3,555",276,7.20%,Yes,
May,Wilkinson County,"3,931","3,683",248,6.30%,Yes,
May,Worth County,"8,317","7,786",531,6.40%,Yes,
April,Appling County,"9,393","8,725",668,7.10%,No,
April,Atkinson County,"4,350","4,020",330,7.60%,No,
April,Bacon County,"4,816","4,452",364,7.60%,No,
April,Baker County,"1,089","1,001",88,8.10%,No,
April,Baldwin County,"17,850","15,996","1,854",10.40%,No,
April,Banks County,"9,692","8,817",875,9.00%,No,
April,Barrow County,"38,050","33,633","4,417",11.60%,No,
April,Bartow County,"48,992","41,919","7,073",14.40%,No,
April,Ben Hill County,"5,307","4,728",579,10.90%,No,
April,Berrien County,"7,577","6,550","1,027",13.60%,No,
April,Bibb County,"64,477","56,725","7,752",12.00%,No,
April,Bleckley County,"4,279","3,879",400,9.30%,No,
April,Brantley County,"6,106","5,408",698,11.40%,No,
April,Brooks County,"6,461","5,975",486,7.50%,No,
April,Bryan County,"16,729","14,639","2,090",12.50%,No,
April,Bulloch County,"36,706","32,639","4,067",11.10%,No,
April,Burke County,"8,541","7,666",875,10.20%,No,
April,Butts County,"10,047","8,903","1,144",11.40%,No,
April,Calhoun County,"2,238","2,104",134,6.00%,No,
April,Camden County,"20,102","18,201","1,901",9.50%,No,
April,Candler County,"5,519","5,150",369,6.70%,No,
April,Carroll County,"52,340","45,690","6,650",12.70%,No,
April,Catoosa County,"32,266","29,179","3,087",9.60%,No,
April,Charlton County,"4,509","4,252",257,5.70%,No,
April,Chatham County,"133,316","111,354","21,962",16.50%,No,
April,Chattahoochee County,"1,835","1,642",193,10.50%,No,
April,Chattooga County,"10,231","8,546","1,685",16.50%,No,
April,Cherokee County,"126,937","113,034","13,903",11.00%,No,
April,Clarke County,"56,619","49,728","6,891",12.20%,No,
April,Clay County,942,781,161,17.10%,No,
April,Clayton County,"134,689","113,083","21,606",16.00%,No,
April,Clinch County,"2,523","2,346",177,7.00%,No,
April,Cobb County,"398,408","353,043","45,365",11.40%,No,
April,Coffee County,"18,924","17,115","1,809",9.60%,No,
April,Colquitt County,"21,144","19,583","1,561",7.40%,No,
April,Columbia County,"69,694","63,778","5,916",8.50%,No,
April,Cook County,"7,980","7,359",621,7.80%,No,
April,Coweta County,"71,269","62,036","9,233",13.00%,No,
April,Crawford County,"5,213","4,722",491,9.40%,No,
April,Crisp County,"9,542","8,607",935,9.80%,No,
April,Dade County,"7,658","7,075",583,7.60%,No,
April,Dawson County,"11,607","10,251","1,356",11.70%,No,
April,Decatur County,"11,151","10,360",791,7.10%,No,
April,DeKalb County,"380,756","330,081","50,675",13.30%,No,
April,Dodge County,"6,518","5,942",576,8.80%,No,
April,Dooly County,"5,244","4,471",773,14.70%,No,
April,Dougherty County,"36,462","31,847","4,615",12.70%,No,
April,Douglas County,"69,230","60,452","8,778",12.70%,No,
April,Early County,"4,233","3,995",238,5.60%,No,
April,Echols County,"1,793","1,686",107,6.00%,No,
April,Effingham County,"28,030","24,759","3,271",11.70%,No,
April,Elbert County,"7,888","6,903",985,12.50%,No,
April,Emanuel County,"8,109","7,375",734,9.10%,No,
April,Evans County,"4,757","4,383",374,7.90%,No,
April,Fannin County,"12,402","11,278","1,124",9.10%,No,
April,Fayette County,"53,715","48,173","5,542",10.30%,No,
April,Floyd County,"44,151","38,302","5,849",13.20%,No,
April,Forsyth County,"113,375","101,689","11,686",10.30%,No,
April,Franklin County,"10,190","9,043","1,147",11.30%,No,
April,Fulton County,"534,045","460,274","73,771",13.80%,No,
April,Gilmer County,"11,241","10,039","1,202",10.70%,No,
April,Glascock County,"1,194","1,115",79,6.60%,No,
April,Glynn County,"35,107","28,917","6,190",17.60%,No,
April,Gordon County,"29,018","25,451","3,567",12.30%,No,
April,Grady County,"10,175","9,326",849,8.30%,No,
April,Greene County,"7,095","6,378",717,10.10%,No,
April,Gwinnett County,"464,061","406,247","57,814",12.50%,No,
April,Habersham County,"18,815","16,816","1,999",10.60%,No,
April,Hall County,"96,843","86,528","10,315",10.70%,No,
April,Hancock County,"2,527","2,230",297,11.80%,No,
April,Haralson County,"11,813","10,385","1,428",12.10%,No,
April,Harris County,"15,403","13,827","1,576",10.20%,No,
April,Hart County,"11,070","9,967","1,103",10.00%,No,
April,Heard County,"5,094","4,356",738,14.50%,No,
April,Henry County,"110,213","95,487","14,726",13.40%,No,
April,Houston County,"65,089","58,511","6,578",10.10%,No,
April,Irwin County,"3,349","3,064",285,8.50%,No,
April,Jackson County,"36,555","32,660","3,895",10.70%,No,
April,Jasper County,"6,368","5,776",592,9.30%,No,
April,Jeff Davis County,"5,832","5,341",491,8.40%,No,
April,Jefferson County,"6,465","5,861",604,9.30%,No,
April,Jenkins County,"3,004","2,747",257,8.60%,No,
April,Johnson County,"3,922","3,628",294,7.50%,No,
April,Jones County,"12,574","11,553","1,021",8.10%,No,
April,Lamar County,"7,559","6,767",792,10.50%,No,
April,Lanier County,"3,534","3,189",345,9.80%,No,
April,Laurens County,"19,177","17,000","2,177",11.40%,No,
April,Lee County,"13,731","12,450","1,281",9.30%,No,
April,Liberty County,"24,924","22,247","2,677",10.70%,No,
April,Lincoln County,"3,316","3,022",294,8.90%,No,
April,Long County,"7,529","6,973",556,7.40%,No,
April,Lowndes County,"48,736","43,727","5,009",10.30%,No,
April,Lumpkin County,"16,159","14,414","1,745",10.80%,No,
April,Macon County,"4,494","4,091",403,9.00%,No,
April,Madison County,"12,540","11,222","1,318",10.50%,No,
April,Marion County,"2,943","2,714",229,7.80%,No,
April,McDuffie County,"8,524","7,370","1,154",13.50%,No,
April,McIntosh County,"5,231","4,613",618,11.80%,No,
April,Meriwether County,"8,679","7,308","1,371",15.80%,No,
April,Miller County,"2,648","2,501",147,5.60%,No,
April,Mitchell County,"8,137","7,459",678,8.30%,No,
April,Monroe County,"12,061","10,945","1,116",9.30%,No,
April,Montgomery County,"3,822","3,499",323,8.50%,No,
April,Morgan County,"8,710","7,706","1,004",11.50%,No,
April,Murray County,"15,611","12,576","3,035",19.40%,No,
April,Muscogee County,"72,942","63,212","9,730",13.30%,No,
April,Newton County,"49,150","43,017","6,133",12.50%,No,
April,Oconee County,"18,154","16,570","1,584",8.70%,No,
April,Oglethorpe County,"6,546","5,887",659,10.10%,No,
April,Paulding County,"80,421","71,468","8,953",11.10%,No,
April,Peach County,"11,014","9,812","1,202",10.90%,No,
April,Pickens County,"14,163","12,686","1,477",10.40%,No,
April,Pierce County,"8,385","7,698",687,8.20%,No,
April,Pike County,"8,214","7,398",816,9.90%,No,
April,Polk County,"18,033","15,906","2,127",11.80%,No,
April,Pulaski County,"3,636","3,375",261,7.20%,No,
April,Putnam County,"8,037","7,091",946,11.80%,No,
April,Quitman County,730,693,37,5.10%,No,
April,Rabun County,"7,167","6,294",873,12.20%,No,
April,Randolph County,"2,470","2,302",168,6.80%,No,
April,Richmond County,"81,080","71,215","9,865",12.20%,No,
April,Rockdale County,"42,224","36,860","5,364",12.70%,No,
April,Schley County,"2,156","2,033",123,5.70%,No,
April,Screven County,"5,114","4,448",666,13.00%,No,
April,Seminole County,"2,972","2,760",212,7.10%,No,
April,Spalding County,"27,020","23,590","3,430",12.70%,No,
April,Stephens County,"10,929","9,653","1,276",11.70%,No,
April,Stewart County,"2,490","2,317",173,6.90%,No,
April,Sumter County,"12,841","11,642","1,199",9.30%,No,
April,Talbot County,"2,650","2,327",323,12.20%,No,
April,Taliaferro County,567,510,57,10.10%,No,
April,Tattnall County,"9,087","8,516",571,6.30%,No,
April,Taylor County,"2,764","2,477",287,10.40%,No,
April,Telfair County,"3,641","3,201",440,12.10%,No,
April,Terrell County,"3,217","2,915",302,9.40%,No,
April,Thomas County,"16,587","14,873","1,714",10.30%,No,
April,Tift County,"19,954","18,193","1,761",8.80%,No,
April,Toombs County,"12,143","10,708","1,435",11.80%,No,
April,Towns County,"3,798","3,268",530,14.00%,No,
April,Treutlen County,"2,646","2,375",271,10.20%,No,
April,Troup County,"39,923","33,908","6,015",15.10%,No,
April,Turner County,"3,150","2,825",325,10.30%,No,
April,Twiggs County,"2,687","2,377",310,11.50%,No,
April,Union County,"10,284","9,342",942,9.20%,No,
April,Upson County,"11,123","9,777","1,346",12.10%,No,
April,Walker County,"30,305","27,166","3,139",10.40%,No,
April,Walton County,"43,414","38,221","5,193",12.00%,No,
April,Ware County,"15,325","13,739","1,586",10.30%,No,
April,Warren County,"2,762","2,475",287,10.40%,No,
April,Washington County,"6,582","5,982",600,9.10%,No,
April,Wayne County,"11,082","9,947","1,135",10.20%,No,
April,Webster County,974,914,60,6.20%,No,
April,Wheeler County,"1,591","1,438",153,9.60%,No,
April,White County,"16,714","14,953","1,761",10.50%,No,
April,Whitfield County,"44,319","35,475","8,844",20.00%,No,
April,Wilcox County,"2,611","2,424",187,7.20%,No,
April,Wilkes County,"3,783","3,464",319,8.40%,No,
April,Wilkinson County,"3,833","3,566",267,7.00%,No,
April,Worth County,"8,252","7,511",741,9.00%,No,
March,Appling County,"9,805","9,359",446,4.50%,No,
March,Atkinson County,"4,511","4,324",187,4.10%,No,
March,Bacon County,"5,016","4,766",250,5.00%,No,
March,Baker County,"1,200","1,138",62,5.20%,No,
March,Baldwin County,"17,914","16,905","1,009",5.60%,No,
March,Banks County,"9,946","9,566",380,3.80%,No,
March,Barrow County,"40,754","39,256","1,498",3.70%,No,
March,Bartow County,"51,088","48,912","2,176",4.30%,No,
March,Ben Hill County,"5,457","5,063",394,7.20%,No,
March,Berrien County,"7,618","7,200",418,5.50%,No,
March,Bibb County,"68,109","64,833","3,276",4.80%,No,
March,Bleckley County,"4,573","4,289",284,6.20%,No,
March,Brantley County,"7,192","6,853",339,4.70%,No,
March,Brooks County,"7,030","6,685",345,4.90%,No,
March,Bryan County,"18,342","17,589",753,4.10%,No,
March,Bulloch County,"37,219","35,257","1,962",5.30%,No,
March,Burke County,"9,278","8,755",523,5.60%,No,
March,Butts County,"10,878","10,387",491,4.50%,No,
March,Calhoun County,"2,403","2,287",116,4.80%,No,
March,Camden County,"21,059","20,138",921,4.40%,No,
March,Candler County,"5,707","5,498",209,3.70%,No,
March,Carroll County,"55,870","53,298","2,572",4.60%,No,
March,Catoosa County,"33,959","32,751","1,208",3.60%,No,
March,Charlton County,"4,936","4,725",211,4.30%,No,
March,Chatham County,"140,403","133,907","6,496",4.60%,No,
March,Chattahoochee County,"2,020","1,900",120,5.90%,No,
March,Chattooga County,"10,178","9,603",575,5.60%,No,
March,Cherokee County,"136,789","131,930","4,859",3.60%,No,
March,Clarke County,"58,994","56,209","2,785",4.70%,No,
March,Clay County,924,856,68,7.40%,No,
March,Clayton County,"140,670","132,018","8,652",6.20%,No,
March,Clinch County,"2,647","2,515",132,5.00%,No,
March,Cobb County,"429,199","412,109","17,090",4.00%,No,
March,Coffee County,"19,514","18,484","1,030",5.30%,No,
March,Colquitt County,"21,885","20,941",944,4.30%,No,
March,Columbia County,"75,779","72,964","2,815",3.70%,No,
March,Cook County,"8,244","7,914",330,4.00%,No,
March,Coweta County,"75,371","72,408","2,963",3.90%,No,
March,Crawford County,"5,623","5,389",234,4.20%,No,
March,Crisp County,"9,659","9,198",461,4.80%,No,
March,Dade County,"8,268","7,950",318,3.80%,No,
March,Dawson County,"12,391","11,948",443,3.60%,No,
March,Decatur County,"11,802","11,279",523,4.40%,No,
March,DeKalb County,"404,856","385,386","19,470",4.80%,No,
March,Dodge County,"7,046","6,589",457,6.50%,No,
March,Dooly County,"5,126","4,894",232,4.50%,No,
March,Dougherty County,"38,894","36,572","2,322",6.00%,No,
March,Douglas County,"74,107","70,573","3,534",4.80%,No,
March,Early County,"4,537","4,310",227,5.00%,No,
March,Echols County,"1,956","1,883",73,3.70%,No,
March,Effingham County,"30,956","29,778","1,178",3.80%,No,
March,Elbert County,"7,921","7,482",439,5.50%,No,
March,Emanuel County,"8,418","7,882",536,6.40%,No,
March,Evans County,"5,049","4,817",232,4.60%,No,
March,Fannin County,"12,461","11,963",498,4.00%,No,
March,Fayette County,"58,605","56,242","2,363",4.00%,No,
March,Floyd County,"44,435","42,457","1,978",4.50%,No,
March,Forsyth County,"123,004","118,677","4,327",3.50%,No,
March,Franklin County,"10,238","9,719",519,5.10%,No,
March,Fulton County,"565,140","537,282","27,858",4.90%,No,
March,Gilmer County,"11,735","11,217",518,4.40%,No,
March,Glascock County,"1,291","1,229",62,4.80%,No,
March,Glynn County,"38,975","37,342","1,633",4.20%,No,
March,Gordon County,"28,602","27,476","1,126",3.90%,No,
March,Grady County,"10,549","10,122",427,4.00%,No,
March,Greene County,"7,207","6,850",357,5.00%,No,
March,Gwinnett County,"493,978","474,164","19,814",4.00%,No,
March,Habersham County,"18,909","18,013",896,4.70%,No,
March,Hall County,"102,986","99,428","3,558",3.50%,No,
March,Hancock County,"2,553","2,369",184,7.20%,No,
March,Haralson County,"12,680","12,119",561,4.40%,No,
March,Harris County,"16,652","16,018",634,3.80%,No,
March,Hart County,"11,247","10,665",582,5.20%,No,
March,Heard County,"5,323","5,078",245,4.60%,No,
March,Henry County,"117,048","111,511","5,537",4.70%,No,
March,Houston County,"70,926","68,031","2,895",4.10%,No,
March,Irwin County,"3,461","3,259",202,5.80%,No,
March,Jackson County,"37,235","35,916","1,319",3.50%,No,
March,Jasper County,"7,012","6,730",282,4.00%,No,
March,Jeff Davis County,"6,143","5,800",343,5.60%,No,
March,Jefferson County,"6,718","6,320",398,5.90%,No,
March,Jenkins County,"3,200","2,998",202,6.30%,No,
March,Johnson County,"4,051","3,862",189,4.70%,No,
March,Jones County,"13,738","13,195",543,4.00%,No,
March,Lamar County,"8,337","7,896",441,5.30%,No,
March,Lanier County,"3,751","3,572",179,4.80%,No,
March,Laurens County,"19,292","18,080","1,212",6.30%,No,
March,Lee County,"14,870","14,295",575,3.90%,No,
March,Liberty County,"26,606","25,337","1,269",4.80%,No,
March,Lincoln County,"3,627","3,447",180,5.00%,No,
March,Long County,"8,296","7,928",368,4.40%,No,
March,Lowndes County,"51,286","48,981","2,305",4.50%,No,
March,Lumpkin County,"16,856","16,190",666,4.00%,No,
March,Macon County,"4,806","4,529",277,5.80%,No,
March,Madison County,"13,219","12,687",532,4.00%,No,
March,Marion County,"3,322","3,140",182,5.50%,No,
March,McDuffie County,"8,990","8,431",559,6.20%,No,
March,McIntosh County,"6,153","5,885",268,4.40%,No,
March,Meriwether County,"8,999","8,512",487,5.40%,No,
March,Miller County,"2,844","2,723",121,4.30%,No,
March,Mitchell County,"8,737","8,232",505,5.80%,No,
March,Monroe County,"13,051","12,499",552,4.20%,No,
March,Montgomery County,"3,913","3,706",207,5.30%,No,
March,Morgan County,"9,334","8,961",373,4.00%,No,
March,Murray County,"15,418","14,540",878,5.70%,No,
March,Muscogee County,"77,482","73,309","4,173",5.40%,No,
March,Newton County,"52,914","50,199","2,715",5.10%,No,
March,Oconee County,"19,369","18,732",637,3.30%,No,
March,Oglethorpe County,"6,911","6,647",264,3.80%,No,
March,Paulding County,"86,815","83,423","3,392",3.90%,No,
March,Peach County,"11,937","11,375",562,4.70%,No,
March,Pickens County,"15,437","14,809",628,4.10%,No,
March,Pierce County,"8,677","8,332",345,4.00%,No,
March,Pike County,"8,993","8,625",368,4.10%,No,
March,Polk County,"18,564","17,682",882,4.80%,No,
March,Pulaski County,"4,096","3,909",187,4.60%,No,
March,Putnam County,"8,193","7,740",453,5.50%,No,
March,Quitman County,818,770,48,5.90%,No,
March,Rabun County,"7,032","6,693",339,4.80%,No,
March,Randolph County,"2,659","2,514",145,5.50%,No,
March,Richmond County,"86,091","81,482","4,609",5.40%,No,
March,Rockdale County,"45,319","43,029","2,290",5.10%,No,
March,Schley County,"2,279","2,183",96,4.20%,No,
March,Screven County,"5,125","4,813",312,6.10%,No,
March,Seminole County,"3,166","3,000",166,5.20%,No,
March,Spalding County,"29,063","27,528","1,535",5.30%,No,
March,Stephens County,"10,867","10,346",521,4.80%,No,
March,Stewart County,"2,648","2,527",121,4.60%,No,
March,Sumter County,"13,293","12,508",785,5.90%,No,
March,Talbot County,"2,797","2,660",137,4.90%,No,
March,Taliaferro County,587,548,39,6.60%,No,
March,Tattnall County,"9,736","9,234",502,5.20%,No,
March,Taylor County,"2,910","2,778",132,4.50%,No,
March,Telfair County,"3,947","3,499",448,11.40%,No,
March,Terrell County,"3,530","3,344",186,5.30%,No,
March,Thomas County,"16,797","15,976",821,4.90%,No,
March,Tift County,"20,259","19,399",860,4.20%,No,
March,Toombs County,"12,058","11,360",698,5.80%,No,
March,Towns County,"3,765","3,522",243,6.50%,No,
March,Treutlen County,"2,681","2,519",162,6.00%,No,
March,Troup County,"37,860","36,364","1,496",4.00%,No,
March,Turner County,"3,251","3,069",182,5.60%,No,
March,Twiggs County,"2,915","2,715",200,6.90%,No,
March,Union County,"10,423","10,007",416,4.00%,No,
March,Upson County,"11,458","10,947",511,4.50%,No,
March,Walker County,"31,745","30,488","1,257",4.00%,No,
March,Walton County,"46,497","44,610","1,887",4.10%,No,
March,Ware County,"15,604","14,858",746,4.80%,No,
March,Warren County,"2,888","2,743",145,5.00%,No,
March,Washington County,"6,929","6,561",368,5.30%,No,
March,Wayne County,"11,502","10,856",646,5.60%,No,
March,Webster County,"1,060",998,62,5.80%,No,
March,Wheeler County,"1,694","1,546",148,8.70%,No,
March,White County,"16,699","16,122",577,3.50%,No,
March,Whitfield County,"43,194","41,052","2,142",5.00%,No,
March,Wilcox County,"2,758","2,597",161,5.80%,No,
March,Wilkes County,"3,972","3,726",246,6.20%,No,
March,Wilkinson County,"4,040","3,856",184,4.60%,No,
March,Worth County,"9,087","8,607",480,5.30%,No,
February,Appling County,"9,897","9,534",363,3.70%,No,
February,Atkinson County,"5,148","4,994",154,3.00%,No,
February,Bacon County,"5,057","4,867",190,3.80%,No,
February,Baker County,"1,229","1,172",57,4.60%,No,
February,Baldwin County,"17,810","17,013",797,4.50%,No,
February,Banks County,"9,899","9,617",282,2.80%,No,
February,Barrow County,"41,097","39,891","1,206",2.90%,No,
February,Bartow County,"51,489","49,717","1,772",3.40%,No,
February,Ben Hill County,"5,358","5,060",298,5.60%,No,
February,Berrien County,"7,710","7,365",345,4.50%,No,
February,Bibb County,"68,555","65,858","2,697",3.90%,No,
February,Bleckley County,"4,579","4,353",226,4.90%,No,
February,Brantley County,"7,252","6,967",285,3.90%,No,
February,Brooks County,"7,131","6,870",261,3.70%,No,
February,Bryan County,"18,388","17,812",576,3.10%,No,
