IDWD Research and Analysis,,,,,,,,,
,,,,,,,,,
Local Area Unemployment Statistics,,,,,,,,,
,,,,,,,,,
Geography,State Fips,County Fips,Year,Month,Month Code,Labor Force,Employed,Unemployed,Rate
"Delaware County, IN",18,35,2020,May,5,"52,374","46,095","6,279",12
"Delaware County, IN",18,35,2020,June,6,"52,819","46,805","6,014",11.4
"Dubois County, IN",18,37,2020,January,1,"22,959","22,345",614,2.7
"Dubois County, IN",18,37,2020,February,2,"22,932","22,373",559,2.4
"Dubois County, IN",18,37,2020,March,3,"22,288","21,787",501,2.2
"Dubois County, IN",18,37,2020,April,4,"20,556","18,378","2,178",10.6
"Dubois County, IN",18,37,2020,May,5,"22,049","20,799","1,250",5.7
"Dubois County, IN",18,37,2020,June,6,"23,337","21,675","1,662",7.1
"Elkhart County, IN",18,39,2020,January,1,"111,926","108,538","3,388",3
"Elkhart County, IN",18,39,2020,February,2,"112,571","109,482","3,089",2.7
"Elkhart County, IN",18,39,2020,March,3,"108,468","105,585","2,883",2.7
"Elkhart County, IN",18,39,2020,April,4,"114,091","81,412","32,679",28.6
"Elkhart County, IN",18,39,2020,May,5,"108,353","95,554","12,799",11.8
"Elkhart County, IN",18,39,2020,June,6,"110,293","98,297","11,996",10.9
"Fayette County, IN",18,41,2020,January,1,"8,546","8,115",431,5
"Fayette County, IN",18,41,2020,February,2,"8,498","8,116",382,4.5
"Fayette County, IN",18,41,2020,March,3,"8,216","7,841",375,4.6
"Fayette County, IN",18,41,2020,April,4,"8,761","6,551","2,210",25.2
"Fayette County, IN",18,41,2020,May,5,"8,967","7,304","1,663",18.5
"Fayette County, IN",18,41,2020,June,6,"8,889","7,505","1,384",15.6
"Floyd County, IN",18,43,2020,January,1,"41,909","40,511","1,398",3.3
"Floyd County, IN",18,43,2020,February,2,"42,027","40,719","1,308",3.1
"Floyd County, IN",18,43,2020,March,3,"40,508","39,316","1,192",2.9
"Floyd County, IN",18,43,2020,April,4,"37,707","31,459","6,248",16.6
"Floyd County, IN",18,43,2020,May,5,"38,972","34,479","4,493",11.5
"Floyd County, IN",18,43,2020,June,6,"41,424","36,977","4,447",10.7
"Fountain County, IN",18,45,2020,January,1,"7,905","7,601",304,3.8
"Fountain County, IN",18,45,2020,February,2,"7,902","7,625",277,3.5
"Fountain County, IN",18,45,2020,March,3,"7,588","7,335",253,3.3
"Fountain County, IN",18,45,2020,April,4,"7,630","6,231","1,399",18.3
"Fountain County, IN",18,45,2020,May,5,"8,120","7,006","1,114",13.7
"Fountain County, IN",18,45,2020,June,6,"8,019","7,219",800,10
"Franklin County, IN",18,47,2020,January,1,"11,161","10,730",431,3.9
"Franklin County, IN",18,47,2020,February,2,"11,186","10,748",438,3.9
"Franklin County, IN",18,47,2020,March,3,"10,886","10,498",388,3.6
"Franklin County, IN",18,47,2020,April,4,"10,819","8,882","1,937",17.9
"Franklin County, IN",18,47,2020,May,5,"11,248","10,149","1,099",9.8
"Franklin County, IN",18,47,2020,June,6,"11,496","10,528",968,8.4
"Fulton County, IN",18,49,2020,January,1,"9,555","9,153",402,4.2
"Fulton County, IN",18,49,2020,February,2,"9,528","9,160",368,3.9
"Fulton County, IN",18,49,2020,March,3,"9,141","8,805",336,3.7
"Fulton County, IN",18,49,2020,April,4,"9,155","7,584","1,571",17.2
"Fulton County, IN",18,49,2020,May,5,"9,713","8,680","1,033",10.6
"Fulton County, IN",18,49,2020,June,6,"10,153","9,085","1,068",10.5
"Gibson County, IN",18,51,2020,January,1,"19,652","19,091",561,2.9
"Gibson County, IN",18,51,2020,February,2,"19,782","19,263",519,2.6
"Gibson County, IN",18,51,2020,March,3,"19,350","18,870",480,2.5
"Gibson County, IN",18,51,2020,April,4,"19,795","16,068","3,727",18.8
"Gibson County, IN",18,51,2020,May,5,"20,557","17,870","2,687",13.1
"Gibson County, IN",18,51,2020,June,6,"20,213","18,385","1,828",9
"Grant County, IN",18,53,2020,January,1,"30,661","29,410","1,251",4.1
"Grant County, IN",18,53,2020,February,2,"32,177","31,012","1,165",3.6
"Grant County, IN",18,53,2020,March,3,"31,282","30,177","1,105",3.5
"Grant County, IN",18,53,2020,April,4,"29,806","25,313","4,493",15.1
"Grant County, IN",18,53,2020,May,5,"31,474","28,161","3,313",10.5
"Grant County, IN",18,53,2020,June,6,"31,186","28,009","3,177",10.2
"Greene County, IN",18,55,2020,January,1,"13,699","13,061",638,4.7
"Greene County, IN",18,55,2020,February,2,"13,756","13,135",621,4.5
"Greene County, IN",18,55,2020,March,3,"13,161","12,602",559,4.2
"Greene County, IN",18,55,2020,April,4,"12,411","10,821","1,590",12.8
"Greene County, IN",18,55,2020,May,5,"13,328","12,136","1,192",8.9
"Greene County, IN",18,55,2020,June,6,"13,599","12,353","1,246",9.2
"Hamilton County, IN",18,57,2020,January,1,"184,725","179,840","4,885",2.6
"Hamilton County, IN",18,57,2020,February,2,"184,920","180,514","4,406",2.4
"Hamilton County, IN",18,57,2020,March,3,"178,797","174,723","4,074",2.3
"Hamilton County, IN",18,57,2020,April,4,"165,810","148,841","16,969",10.2
"Hamilton County, IN",18,57,2020,May,5,"176,109","162,882","13,227",7.5
"Hamilton County, IN",18,57,2020,June,6,"183,860","169,499","14,361",7.8
"Hancock County, IN",18,59,2020,January,1,"40,457","39,212","1,245",3.1
"Hancock County, IN",18,59,2020,February,2,"40,452","39,318","1,134",2.8
"Hancock County, IN",18,59,2020,March,3,"39,091","38,023","1,068",2.7
"Hancock County, IN",18,59,2020,April,4,"37,753","32,432","5,321",14.1
"Hancock County, IN",18,59,2020,May,5,"39,513","35,583","3,930",9.9
"Hancock County, IN",18,59,2020,June,6,"40,833","37,063","3,770",9.2
"Harrison County, IN",18,61,2020,January,1,"20,448","19,729",719,3.5
"Harrison County, IN",18,61,2020,February,2,"20,502","19,812",690,3.4
"Harrison County, IN",18,61,2020,March,3,"19,736","19,119",617,3.1
"Harrison County, IN",18,61,2020,April,4,"18,394","15,315","3,079",16.7
"Harrison County, IN",18,61,2020,May,5,"19,029","16,812","2,217",11.7
"Harrison County, IN",18,61,2020,June,6,"20,104","18,048","2,056",10.2
"Hendricks County, IN",18,63,2020,January,1,"90,451","87,898","2,553",2.8
"Hendricks County, IN",18,63,2020,February,2,"90,613","88,293","2,320",2.6
"Hendricks County, IN",18,63,2020,March,3,"87,649","85,487","2,162",2.5
"Hendricks County, IN",18,63,2020,April,4,"81,566","72,810","8,756",10.7
"Hendricks County, IN",18,63,2020,May,5,"86,633","79,622","7,011",8.1
"Hendricks County, IN",18,63,2020,June,6,"90,517","82,764","7,753",8.6
"Henry County, IN",18,65,2020,January,1,"22,040","21,229",811,3.7
"Henry County, IN",18,65,2020,February,2,"22,074","21,322",752,3.4
"Henry County, IN",18,65,2020,March,3,"21,442","20,755",687,3.2
"Henry County, IN",18,65,2020,April,4,"21,237","17,585","3,652",17.2
"Henry County, IN",18,65,2020,May,5,"22,354","19,557","2,797",12.5
"Henry County, IN",18,65,2020,June,6,"22,619","20,333","2,286",10.1
"Howard County, IN",18,67,2020,January,1,"37,113","35,559","1,554",4.2
"Howard County, IN",18,67,2020,February,2,"37,021","35,596","1,425",3.8
"Howard County, IN",18,67,2020,March,3,"35,710","34,323","1,387",3.9
"Howard County, IN",18,67,2020,April,4,"40,783","27,131","13,652",33.5
"Howard County, IN",18,67,2020,May,5,"41,547","32,225","9,322",22.4
"Howard County, IN",18,67,2020,June,6,"39,549","32,911","6,638",16.8
"Huntington County, IN",18,69,2020,January,1,"18,088","17,447",641,3.5
"Huntington County, IN",18,69,2020,February,2,"18,231","17,634",597,3.3
"Huntington County, IN",18,69,2020,March,3,"17,579","17,018",561,3.2
"Huntington County, IN",18,69,2020,April,4,"17,941","14,429","3,512",19.6
"Huntington County, IN",18,69,2020,May,5,"18,629","16,111","2,518",13.5
"Huntington County, IN",18,69,2020,June,6,"18,268","16,425","1,843",10.1
"Jackson County, IN",18,71,2020,January,1,"22,973","22,323",650,2.8
"Jackson County, IN",18,71,2020,February,2,"22,990","22,418",572,2.5
"Jackson County, IN",18,71,2020,March,3,"22,092","21,548",544,2.5
"Jackson County, IN",18,71,2020,April,4,"23,435","18,268","5,167",22
"Jackson County, IN",18,71,2020,May,5,"24,445","20,409","4,036",16.5
"Jackson County, IN",18,71,2020,June,6,"23,871","21,176","2,695",11.3
"Jasper County, IN",18,73,2020,January,1,"16,285","15,495",790,4.9
"Jasper County, IN",18,73,2020,February,2,"16,326","15,568",758,4.6
"Jasper County, IN",18,73,2020,March,3,"15,696","15,014",682,4.3
"Jasper County, IN",18,73,2020,April,4,"15,359","12,881","2,478",16.1
"Jasper County, IN",18,73,2020,May,5,"16,179","14,278","1,901",11.7
"Jasper County, IN",18,73,2020,June,6,"16,379","14,653","1,726",10.5
"Jay County, IN",18,75,2020,January,1,"9,329","9,003",326,3.5
"Jay County, IN",18,75,2020,February,2,"9,306","9,011",295,3.2
"Jay County, IN",18,75,2020,March,3,"8,855","8,577",278,3.1
"Jay County, IN",18,75,2020,April,4,"9,083","7,279","1,804",19.9
"Jay County, IN",18,75,2020,May,5,"9,591","8,224","1,367",14.3
"Jay County, IN",18,75,2020,June,6,"9,330","8,451",879,9.4
"Jefferson County, IN",18,77,2020,January,1,"14,997","14,427",570,3.8
"Jefferson County, IN",18,77,2020,February,2,"15,036","14,526",510,3.4
"Jefferson County, IN",18,77,2020,March,3,"14,636","14,160",476,3.3
"Jefferson County, IN",18,77,2020,April,4,"15,222","11,903","3,319",21.8
"Jefferson County, IN",18,77,2020,May,5,"15,639","13,363","2,276",14.6
"Jefferson County, IN",18,77,2020,June,6,"15,321","13,732","1,589",10.4
"Jennings County, IN",18,79,2020,January,1,"13,601","13,075",526,3.9
"Jennings County, IN",18,79,2020,February,2,"13,658","13,175",483,3.5
"Jennings County, IN",18,79,2020,March,3,"13,213","12,768",445,3.4
"Jennings County, IN",18,79,2020,April,4,"14,063","10,875","3,188",22.7
"Jennings County, IN",18,79,2020,May,5,"14,310","12,087","2,223",15.5
"Jennings County, IN",18,79,2020,June,6,"13,928","12,471","1,457",10.5
"Johnson County, IN",18,81,2020,January,1,"83,411","80,968","2,443",2.9
"Johnson County, IN",18,81,2020,February,2,"83,466","81,260","2,206",2.6
"Johnson County, IN",18,81,2020,March,3,"80,675","78,623","2,052",2.5
"Johnson County, IN",18,81,2020,April,4,"77,511","67,028","10,483",13.5
"Johnson County, IN",18,81,2020,May,5,"81,468","73,444","8,024",9.8
"Johnson County, IN",18,81,2020,June,6,"84,272","76,405","7,867",9.3
"Knox County, IN",18,83,2020,January,1,"18,274","17,651",623,3.4
"Knox County, IN",18,83,2020,February,2,"18,484","17,895",589,3.2
"Knox County, IN",18,83,2020,March,3,"17,720","17,204",516,2.9
"Knox County, IN",18,83,2020,April,4,"17,198","14,432","2,766",16.1
"Knox County, IN",18,83,2020,May,5,"18,177","16,122","2,055",11.3
"Knox County, IN",18,83,2020,June,6,"18,514","16,791","1,723",9.3
"Kosciusko County, IN",18,85,2020,January,1,"41,858","40,566","1,292",3.1
"Kosciusko County, IN",18,85,2020,February,2,"42,028","40,831","1,197",2.8
"Kosciusko County, IN",18,85,2020,March,3,"40,980","39,874","1,106",2.7
"Kosciusko County, IN",18,85,2020,April,4,"42,016","34,260","7,756",18.5
"Kosciusko County, IN",18,85,2020,May,5,"41,486","37,811","3,675",8.9
"Kosciusko County, IN",18,85,2020,June,6,"42,901","39,040","3,861",9
"LaGrange County, IN",18,87,2020,January,1,"19,642","19,104",538,2.7
"LaGrange County, IN",18,87,2020,February,2,"19,687","19,204",483,2.5
"LaGrange County, IN",18,87,2020,March,3,"18,714","18,265",449,2.4
"LaGrange County, IN",18,87,2020,April,4,"21,346","15,270","6,076",28.5
"LaGrange County, IN",18,87,2020,May,5,"19,663","17,664","1,999",10.2
"LaGrange County, IN",18,87,2020,June,6,"20,027","18,448","1,579",7.9
"Lake County, IN",18,89,2020,January,1,"230,994","218,654","12,340",5.3
"Lake County, IN",18,89,2020,February,2,"232,192","220,245","11,947",5.1
"Lake County, IN",18,89,2020,March,3,"224,502","213,299","11,203",5
"Lake County, IN",18,89,2020,April,4,"227,905","181,594","46,311",20.3
"Lake County, IN",18,89,2020,May,5,"236,937","198,764","38,173",16.1
"Lake County, IN",18,89,2020,June,6,"242,180","204,014","38,166",15.8
"LaPorte County, IN",18,91,2020,January,1,"47,539","45,262","2,277",4.8
"LaPorte County, IN",18,91,2020,February,2,"47,772","45,523","2,249",4.7
"LaPorte County, IN",18,91,2020,March,3,"46,104","44,110","1,994",4.3
"LaPorte County, IN",18,91,2020,April,4,"47,989","37,928","10,061",21
"LaPorte County, IN",18,91,2020,May,5,"49,631","42,183","7,448",15
"LaPorte County, IN",18,91,2020,June,6,"51,798","43,710","8,088",15.6
"Lawrence County, IN",18,93,2020,January,1,"21,292","20,397",895,4.2
"Lawrence County, IN",18,93,2020,February,2,"21,342","20,550",792,3.7
"Lawrence County, IN",18,93,2020,March,3,"20,641","19,932",709,3.4
"Lawrence County, IN",18,93,2020,April,4,"20,401","16,859","3,542",17.4
"Lawrence County, IN",18,93,2020,May,5,"21,190","18,777","2,413",11.4
"Lawrence County, IN",18,93,2020,June,6,"21,377","19,248","2,129",10
"Madison County, IN",18,95,2020,January,1,"59,676","57,103","2,573",4.3
"Madison County, IN",18,95,2020,February,2,"59,703","57,278","2,425",4.1
"Madison County, IN",18,95,2020,March,3,"57,621","55,395","2,226",3.9
"Madison County, IN",18,95,2020,April,4,"57,941","47,254","10,687",18.4
"Madison County, IN",18,95,2020,May,5,"60,051","51,836","8,215",13.7
"Madison County, IN",18,95,2020,June,6,"61,378","53,955","7,423",12.1
"Marion County, IN",18,97,2020,January,1,"493,512","476,853","16,659",3.4
"Marion County, IN",18,97,2020,February,2,"494,260","478,724","15,536",3.1
"Marion County, IN",18,97,2020,March,3,"478,180","463,519","14,661",3.1
"Marion County, IN",18,97,2020,April,4,"459,340","394,608","64,732",14.1
"Marion County, IN",18,97,2020,May,5,"486,707","431,380","55,327",11.4
"Marion County, IN",18,97,2020,June,6,"512,150","448,968","63,182",12.3
"Marshall County, IN",18,99,2020,January,1,"22,762","21,956",806,3.5
"Marshall County, IN",18,99,2020,February,2,"22,783","22,031",752,3.3
"Marshall County, IN",18,99,2020,March,3,"22,122","21,459",663,3
"Marshall County, IN",18,99,2020,April,4,"22,121","18,040","4,081",18.4
"Marshall County, IN",18,99,2020,May,5,"22,650","20,387","2,263",10
"Marshall County, IN",18,99,2020,June,6,"24,139","21,413","2,726",11.3
"Martin County, IN",18,101,2020,January,1,"5,380","5,223",157,2.9
"Martin County, IN",18,101,2020,February,2,"5,363","5,231",132,2.5
"Martin County, IN",18,101,2020,March,3,"5,194","5,063",131,2.5
"Martin County, IN",18,101,2020,April,4,"4,691","4,281",410,8.7
"Martin County, IN",18,101,2020,May,5,"5,167","4,863",304,5.9
"Martin County, IN",18,101,2020,June,6,"5,455","5,094",361,6.6
"Miami County, IN",18,103,2020,January,1,"15,051","14,401",650,4.3
"Miami County, IN",18,103,2020,February,2,"15,122","14,490",632,4.2
"Miami County, IN",18,103,2020,March,3,"14,675","14,071",604,4.1
"Miami County, IN",18,103,2020,April,4,"15,219","11,724","3,495",23
"Miami County, IN",18,103,2020,May,5,"15,720","13,420","2,300",14.6
"Miami County, IN",18,103,2020,June,6,"15,786","13,829","1,957",12.4
"Monroe County, IN",18,105,2020,January,1,"71,425","68,947","2,478",3.5
"Monroe County, IN",18,105,2020,February,2,"72,352","70,036","2,316",3.2
"Monroe County, IN",18,105,2020,March,3,"68,913","66,784","2,129",3.1
"Monroe County, IN",18,105,2020,April,4,"65,651","59,012","6,639",10.1
"Monroe County, IN",18,105,2020,May,5,"70,513","64,996","5,517",7.8
"Monroe County, IN",18,105,2020,June,6,"70,328","64,019","6,309",9
"Montgomery County, IN",18,107,2020,January,1,"18,662","18,046",616,3.3
"Montgomery County, IN",18,107,2020,February,2,"18,657","18,100",557,3
"Montgomery County, IN",18,107,2020,March,3,"18,176","17,656",520,2.9
"Montgomery County, IN",18,107,2020,April,4,"16,869","14,880","1,989",11.8
"Montgomery County, IN",18,107,2020,May,5,"18,347","16,648","1,699",9.3
"Montgomery County, IN",18,107,2020,June,6,"18,722","17,110","1,612",8.6
"Morgan County, IN",18,109,2020,January,1,"36,615","35,326","1,289",3.5
"Morgan County, IN",18,109,2020,February,2,"36,593","35,387","1,206",3.3
"Morgan County, IN",18,109,2020,March,3,"35,247","34,214","1,033",2.9
"Morgan County, IN",18,109,2020,April,4,"33,068","29,176","3,892",11.8
"Morgan County, IN",18,109,2020,May,5,"34,998","32,020","2,978",8.5
"Morgan County, IN",18,109,2020,June,6,"36,521","33,412","3,109",8.5
"Newton County, IN",18,111,2020,January,1,"6,930","6,596",334,4.8
"Newton County, IN",18,111,2020,February,2,"6,950","6,604",346,5
"Newton County, IN",18,111,2020,March,3,"6,666","6,358",308,4.6
"Newton County, IN",18,111,2020,April,4,"6,470","5,462","1,008",15.6
"Newton County, IN",18,111,2020,May,5,"6,856","6,079",777,11.3
"Newton County, IN",18,111,2020,June,6,"6,998","6,271",727,10.4
"Noble County, IN",18,113,2020,January,1,"23,218","22,415",803,3.5
"Noble County, IN",18,113,2020,February,2,"23,270","22,564",706,3
"Noble County, IN",18,113,2020,March,3,"22,418","21,736",682,3
"Noble County, IN",18,113,2020,April,4,"25,675","18,457","7,218",28.1
"Noble County, IN",18,113,2020,May,5,"24,759","20,764","3,995",16.1
"Noble County, IN",18,113,2020,June,6,"24,351","21,431","2,920",12
"Ohio County, IN",18,115,2020,January,1,"3,208","3,078",130,4.1
"Ohio County, IN",18,115,2020,February,2,"3,188","3,081",107,3.4
"Ohio County, IN",18,115,2020,March,3,"3,063","2,960",103,3.4
"Ohio County, IN",18,115,2020,April,4,"2,981","2,453",528,17.7
"Ohio County, IN",18,115,2020,May,5,"3,189","2,732",457,14.3
"Ohio County, IN",18,115,2020,June,6,"3,335","2,849",486,14.6
"Orange County, IN",18,117,2020,January,1,"8,814","8,476",338,3.8
"Orange County, IN",18,117,2020,February,2,"8,839","8,506",333,3.8
"Orange County, IN",18,117,2020,March,3,"8,497","8,204",293,3.4
"Orange County, IN",18,117,2020,April,4,"9,165","6,833","2,332",25.4
"Orange County, IN",18,117,2020,May,5,"9,438","7,697","1,741",18.4
"Orange County, IN",18,117,2020,June,6,"9,926","7,916","2,010",20.2
"Owen County, IN",18,119,2020,January,1,"9,526","9,113",413,4.3
"Owen County, IN",18,119,2020,February,2,"9,615","9,227",388,4
"Owen County, IN",18,119,2020,March,3,"9,127","8,781",346,3.8
"Owen County, IN",18,119,2020,April,4,"8,833","7,777","1,056",12
"Owen County, IN",18,119,2020,May,5,"9,460","8,625",835,8.8
"Owen County, IN",18,119,2020,June,6,"9,416","8,534",882,9.4
"Parke County, IN",18,121,2020,January,1,"6,851","6,556",295,4.3
"Parke County, IN",18,121,2020,February,2,"6,818","6,556",262,3.8
"Parke County, IN",18,121,2020,March,3,"6,535","6,305",230,3.5
"Parke County, IN",18,121,2020,April,4,"6,163","5,427",736,11.9
"Parke County, IN",18,121,2020,May,5,"6,823","6,223",600,8.8
"Parke County, IN",18,121,2020,June,6,"7,094","6,495",599,8.4
"Perry County, IN",18,123,2020,January,1,"9,195","8,861",334,3.6
"Perry County, IN",18,123,2020,February,2,"9,231","8,913",318,3.4
"Perry County, IN",18,123,2020,March,3,"8,787","8,522",265,3
"Perry County, IN",18,123,2020,April,4,"8,694","7,168","1,526",17.6
"Perry County, IN",18,123,2020,May,5,"9,118","8,049","1,069",11.7
"Perry County, IN",18,123,2020,June,6,"9,378","8,392",986,10.5
"Pike County, IN",18,125,2020,January,1,"6,177","5,927",250,4
"Pike County, IN",18,125,2020,February,2,"6,186","5,953",233,3.8
