Area,Time Period,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
Pennsylvania,"April, 2020","6,402,000","5,403,000","1,000,000",15.60%,No
Pennsylvania,"May, 2020","6,463,000","5,628,000","835,000",12.90%,Yes
Pennsylvania,"June, 2020","6,328,000","5,507,000","821,000",13.00%,
Adams County,"June, 2020","56,500","50,100","6,400",11.30%,Yes
Allegheny County,"June, 2020","637,500","554,100","83,400",13.10%,Yes
Armstrong County,"June, 2020","31,500","27,400","4,100",13.00%,Yes
Beaver County,"June, 2020","83,900","71,600","12,400",14.80%,Yes
Bedford County,"June, 2020","23,800","20,800","3,000",12.70%,Yes
Berks County,"June, 2020","227,200","196,800","30,400",13.40%,Yes
Blair County,"June, 2020","60,800","52,800","8,000",13.10%,Yes
Bradford County,"June, 2020","28,800","25,900","2,900",10.10%,Yes
Bucks County,"June, 2020","337,400","295,300","42,100",12.50%,Yes
Butler County,"June, 2020","97,000","85,700","11,300",11.60%,Yes
Cambria County,"June, 2020","57,200","49,600","7,600",13.30%,Yes
Cameron County,"June, 2020","2,200","1,800",400,19.80%,Yes
Carbon County,"June, 2020","32,100","27,500","4,600",14.20%,Yes
Centre County,"June, 2020","80,400","73,900","6,600",8.20%,Yes
Chester County,"June, 2020","276,000","249,500","26,500",9.60%,Yes
Clarion County,"June, 2020","17,000","15,100","1,900",11.20%,Yes
Clearfield County,"June, 2020","36,500","31,900","4,600",12.50%,Yes
Clinton County,"June, 2020","18,000","15,900","2,000",11.40%,Yes
Columbia County,"June, 2020","33,900","29,900","4,000",11.80%,Yes
Crawford County,"June, 2020","38,400","33,500","4,900",12.70%,Yes
Cumberland County,"June, 2020","133,300","120,100","13,100",9.90%,Yes
Dauphin County,"June, 2020","148,800","130,000","18,900",12.70%,Yes
Delaware County,"June, 2020","297,700","259,200","38,400",12.90%,Yes
Elk County,"June, 2020","16,500","13,300","3,200",19.20%,Yes
Erie County,"June, 2020","127,100","109,800","17,300",13.60%,Yes
Fayette County,"June, 2020","57,300","48,100","9,200",16.10%,Yes
Forest County,"June, 2020","1,800","1,600",200,12.80%,Yes
Franklin County,"June, 2020","79,700","71,100","8,600",10.80%,Yes
Fulton County,"June, 2020","8,500","7,200","1,300",15.10%,Yes
Greene County,"June, 2020","16,600","14,500","2,100",12.50%,Yes
Huntingdon County,"June, 2020","20,000","17,300","2,600",13.10%,Yes
Indiana County,"June, 2020","39,000","34,200","4,800",12.40%,Yes
Jefferson County,"June, 2020","20,400","18,000","2,400",11.90%,Yes
Juniata County,"June, 2020","12,300","11,200","1,100",8.80%,Yes
Lackawanna County,"June, 2020","102,400","87,700","14,800",14.40%,Yes
Lancaster County,"June, 2020","288,500","256,200","32,300",11.20%,Yes
Lawrence County,"June, 2020","40,700","35,100","5,500",13.60%,Yes
Lebanon County,"June, 2020","75,300","66,900","8,400",11.20%,Yes
Lehigh County,"June, 2020","192,700","166,100","26,600",13.80%,Yes
Luzerne County,"June, 2020","155,100","130,300","24,700",16.00%,Yes
Lycoming County,"June, 2020","52,500","45,800","6,700",12.70%,Yes
McKean County,"June, 2020","17,600","15,000","2,600",14.70%,Yes
Mercer County,"June, 2020","48,200","41,700","6,500",13.60%,Yes
Mifflin County,"June, 2020","21,100","18,800","2,300",10.90%,Yes
Monroe County,"June, 2020","82,700","67,900","14,800",17.80%,Yes
Montgomery County,"June, 2020","441,300","391,200","50,100",11.40%,Yes
Montour County,"June, 2020","9,000","8,200",800,8.90%,Yes
Northampton County,"June, 2020","160,300","139,100","21,200",13.20%,Yes
Northumberland County,"June, 2020","42,800","37,300","5,500",12.80%,Yes
Perry County,"June, 2020","24,800","22,400","2,400",9.70%,Yes
Philadelphia County,"June, 2020","738,100","621,600","116,500",15.80%,Yes
Pike County,"June, 2020","25,000","21,000","3,900",15.70%,Yes
Potter County,"June, 2020","7,200","6,400",800,11.50%,Yes
Schuylkill County,"June, 2020","67,400","58,700","8,600",12.80%,Yes
Snyder County,"June, 2020","20,200","18,200","2,000",10.10%,Yes
Somerset County,"June, 2020","32,800","28,600","4,100",12.70%,Yes
Sullivan County,"June, 2020","2,500","2,200",300,10.60%,Yes
Susquehanna County,"June, 2020","19,800","17,900","1,900",9.70%,Yes
Tioga County,"June, 2020","19,000","16,800","2,200",11.50%,Yes
Union County,"June, 2020","19,500","17,600","1,900",9.90%,Yes
Venango County,"June, 2020","22,000","19,400","2,600",11.70%,Yes
Warren County,"June, 2020","18,700","16,700","2,000",10.50%,Yes
Washington County,"June, 2020","105,700","91,300","14,400",13.60%,Yes
Wayne County,"June, 2020","21,600","18,800","2,800",13.00%,Yes
Westmoreland County,"June, 2020","178,800","154,500","24,300",13.60%,Yes
Wyoming County,"June, 2020","13,000","11,500","1,500",11.80%,Yes
York County,"June, 2020","241,300","212,200","29,100",12.10%,Yes
