Year,Period Type,Period,Period Name,Area Type,Area Name,Labor Force,Employed,Unemployed,Unemployment Rate,Last Period Unemp Rate,Last Year Unemp Rate,Last Period % Change,Last Year % Change
2019,Monthly,1,January,County,Floyd County,"7,977","7,702",275,3.4,2.6,3.6,30.77,-5.56
2019,Monthly,1,January,County,Fluvanna County,"13,656","13,276",380,2.8,2.2,3,27.27,-6.67
2019,Monthly,1,January,County,Franklin County,"26,233","25,338",895,3.4,2.8,3.7,21.43,-8.11
2019,Monthly,1,January,County,Frederick County,"47,624","46,216","1,408",3,2.4,3.1,25,-3.23
2019,Monthly,1,January,County,Giles County,"7,696","7,383",313,4.1,2.9,4.2,41.38,-2.38
2019,Monthly,1,January,County,Gloucester County,"19,422","18,804",618,3.2,2.6,3.3,23.08,-3.03
2019,Monthly,1,January,County,Goochland County,"11,177","10,792",385,3.4,2.8,3.5,21.43,-2.86
2019,Monthly,1,January,County,Grayson County,"7,913","7,620",293,3.7,2.8,4.1,32.14,-9.76
2019,Monthly,1,January,County,Greene County,"10,289","10,011",278,2.7,2.2,3,22.73,-10
2019,Monthly,1,January,County,Greensville County,"4,339","4,157",182,4.2,3.7,4.5,13.51,-6.67
2019,Monthly,1,January,County,Halifax County,"15,682","14,985",697,4.4,4.1,4.9,7.32,-10.2
2019,Monthly,1,January,County,Hanover County,"58,912","57,209","1,703",2.9,2.4,3.1,20.83,-6.45
2019,Monthly,1,January,County,Henrico County,"181,268","175,238","6,030",3.3,2.8,3.5,17.86,-5.71
2019,Monthly,1,January,County,Henry County,"23,944","22,992",952,4,3.3,4.7,21.21,-14.89
2019,Monthly,1,January,County,Highland County,"1,237","1,200",37,3,2.9,3.8,3.45,-21.05
2019,Monthly,1,January,County,Isle of Wight County,"19,263","18,625",638,3.3,2.7,3.6,22.22,-8.33
2019,Monthly,1,January,County,James City County,"36,348","35,156","1,192",3.3,2.6,3.6,26.92,-8.33
2019,Monthly,1,January,County,King and Queen County,"3,851","3,723",128,3.3,2.8,3.7,17.86,-10.81
2019,Monthly,1,January,County,King George County,"13,310","12,853",457,3.4,2.7,3.7,25.93,-8.11
2019,Monthly,1,January,County,King William County,"9,141","8,814",327,3.6,3,3.4,20,5.88
2019,Monthly,1,January,County,Lancaster County,"5,369","4,966",403,7.5,4.4,7.2,70.45,4.17
2019,Monthly,1,January,County,Lee County,"8,246","7,874",372,4.5,3.8,4.8,18.42,-6.25
2019,Monthly,1,January,County,Loudoun County,"220,495","214,339","6,156",2.8,2.3,2.9,21.74,-3.45
2019,Monthly,1,January,County,Louisa County,"19,571","18,899",672,3.4,2.7,3.3,25.93,3.03
2019,Monthly,1,January,County,Lunenburg County,"5,378","5,190",188,3.5,3,4.2,16.67,-16.67
2019,Monthly,1,January,County,Madison County,"7,282","7,087",195,2.7,2,3,35,-10
2019,Monthly,1,January,County,Mathews County,"4,121","3,966",155,3.8,2.9,3.5,31.03,8.57
2019,Monthly,1,January,County,Mecklenburg County,"12,785","12,190",595,4.7,3.8,5.2,23.68,-9.62
2019,Monthly,1,January,County,Middlesex County,"5,216","5,041",175,3.4,2.8,3.5,21.43,-2.86
2019,Monthly,1,January,County,Montgomery County,"48,766","47,119","1,647",3.4,2.7,3.5,25.93,-2.86
2019,Monthly,1,January,County,Nelson County,"7,329","7,072",257,3.5,2.8,3.8,25,-7.89
2019,Monthly,1,January,County,New Kent County,"12,427","12,055",372,3,2.5,3.1,20,-3.23
2019,Monthly,1,January,County,Northampton County,"5,307","4,955",352,6.6,5.4,7.7,22.22,-14.29
2019,Monthly,1,January,County,Northumberland County,"5,599","5,181",418,7.5,3.9,7.5,92.31,0
2019,Monthly,1,January,County,Nottoway County,"7,251","7,006",245,3.4,2.9,3.8,17.24,-10.53
2019,Monthly,1,January,County,Orange County,"17,100","16,495",605,3.5,2.8,3.6,25,-2.78
2019,Monthly,1,January,County,Page County,"11,893","11,150",743,6.2,5.2,6.6,19.23,-6.06
2019,Monthly,1,January,County,Patrick County,"7,467","7,135",332,4.4,3.3,5.5,33.33,-20
2019,Monthly,1,January,County,Pittsylvania County,"30,383","29,233","1,150",3.8,3.2,4.2,18.75,-9.52
2019,Monthly,1,January,County,Powhatan County,"14,083","13,648",435,3.1,2.4,3.2,29.17,-3.13
2019,Monthly,1,January,County,Prince Edward County,"10,435","9,980",455,4.4,3.7,4.9,18.92,-10.2
2019,Monthly,1,January,County,Prince George County,"15,015","14,430",585,3.9,3.4,4.2,14.71,-7.14
2019,Monthly,1,January,County,Prince William County,"243,944","236,033","7,911",3.2,2.6,3.3,23.08,-3.03
2019,Monthly,1,January,County,Pulaski County,"15,642","15,022",620,4,3.1,4.5,29.03,-11.11
2019,Monthly,1,January,County,Rappahannock County,"3,664","3,546",118,3.2,2.6,3.3,23.08,-3.03
2019,Monthly,1,January,County,Richmond County,"4,047","3,880",167,4.1,3.1,4.2,32.26,-2.38
2019,Monthly,1,January,County,Roanoke County,"49,133","47,665","1,468",3,2.5,3.2,20,-6.25
2019,Monthly,1,January,County,Rockbridge County,"10,562","10,194",368,3.5,2.7,4.1,29.63,-14.63
2019,Monthly,1,January,County,Rockingham County,"42,013","40,801","1,212",2.9,2.3,3.1,26.09,-6.45
2019,Monthly,1,January,County,Russell County,"11,252","10,642",610,5.4,4.4,5.1,22.73,5.88
2019,Monthly,1,January,County,Scott County,"9,105","8,752",353,3.9,3.2,4,21.88,-2.5
2019,Monthly,1,January,County,Shenandoah County,"22,177","21,480",697,3.1,2.6,3.3,19.23,-6.06
2019,Monthly,1,January,County,Smyth County,"13,681","13,053",628,4.6,3.8,4.5,21.05,2.22
2019,Monthly,1,January,County,Southampton County,"8,998","8,720",278,3.1,2.5,3.5,24,-11.43
2019,Monthly,1,January,County,Spotsylvania County,"66,606","64,181","2,425",3.6,2.9,3.7,24.14,-2.7
2019,Monthly,1,January,County,Stafford County,"71,605","69,075","2,530",3.5,2.8,3.5,25,0
2019,Monthly,1,January,County,Surry County,"3,669","3,512",157,4.3,3.4,4.5,26.47,-4.44
2019,Monthly,1,January,County,Sussex County,"3,768","3,566",202,5.4,4.5,6.1,20,-11.48
2019,Monthly,1,January,County,Tazewell County,"15,784","14,952",832,5.3,4.4,5.4,20.45,-1.85
2019,Monthly,1,January,County,Warren County,"20,277","19,572",705,3.5,2.9,3.7,20.69,-5.41
2019,Monthly,1,January,County,Washington County,"26,742","25,609","1,133",4.2,3.5,4.1,20,2.44
2019,Monthly,1,January,County,Westmoreland County,"9,270","8,827",443,4.8,3.7,5,29.73,-4
2019,Monthly,1,January,County,Wise County,"13,355","12,618",737,5.5,4.7,6,17.02,-8.33
2019,Monthly,1,January,County,Wythe County,"13,671","13,094",577,4.2,3.4,4.7,23.53,-10.64
2019,Monthly,1,January,County,York County,"32,575","31,478","1,097",3.4,2.7,3.4,25.93,0
2019,Monthly,1,January,County,Alexandria city,"100,621","97,819","2,802",2.8,2,2.7,40,3.7
2019,Monthly,1,January,County,Bristol city,"7,200","6,872",328,4.6,3.9,4.1,17.95,12.2
2019,Monthly,1,January,County,Buena Vista city,"3,332","3,220",112,3.4,2.9,3.8,17.24,-10.53
2019,Monthly,1,January,County,Charlottesville city,"25,987","25,197",790,3,2.2,3.2,36.36,-6.25
2019,Monthly,1,January,County,Chesapeake city,"121,803","117,577","4,226",3.5,3,3.5,16.67,0
2019,Monthly,1,January,County,Colonial Heights city,"8,779","8,442",337,3.8,3.3,3.8,15.15,0
2019,Monthly,1,January,County,Covington city,"2,421","2,303",118,4.9,4.2,6.8,16.67,-27.94
2019,Monthly,1,January,County,Danville city,"19,349","18,359",990,5.1,4.5,5.4,13.33,-5.56
2019,Monthly,1,January,County,Emporia city,"2,329","2,187",142,6.1,5.7,5.5,7.02,10.91
2019,Monthly,1,January,County,Fairfax city,"13,346","12,986",360,2.7,2.1,2.7,28.57,0
2019,Monthly,1,January,County,Falls Church city,"8,517","8,310",207,2.4,2,2.5,20,-4
2019,Monthly,1,January,County,Franklin city,"3,559","3,397",162,4.6,4.3,4.9,6.98,-6.12
2019,Monthly,1,January,County,Fredericksburg city,"14,080","13,488",592,4.2,3.3,4.2,27.27,0
2019,Monthly,1,January,County,Galax city,"2,910","2,795",115,4,3.5,3.6,14.29,11.11
2019,Monthly,1,January,County,Hampton city,"64,174","61,121","3,053",4.8,4,4.8,20,0
2019,Monthly,1,January,County,Harrisonburg city,"25,140","24,212",928,3.7,3.2,3.9,15.63,-5.13
2019,Monthly,1,January,County,Hopewell city,"9,679","9,174",505,5.2,4.5,5.7,15.56,-8.77
2019,Monthly,1,January,County,Lexington city,"2,077","1,964",113,5.4,4.6,5.7,17.39,-5.26
2019,Monthly,1,January,County,Lynchburg city,"36,455","34,820","1,635",4.5,3.5,4.9,28.57,-8.16
2019,Monthly,1,January,County,Manassas city,"21,933","21,205",728,3.3,2.4,3.5,37.5,-5.71
2019,Monthly,1,January,County,Manassas Park city,"9,347","9,022",325,3.5,2.6,3.5,34.62,0
2019,Monthly,1,January,County,Martinsville city,"5,474","5,242",232,4.2,4,5.8,5,-27.59
2019,Monthly,1,January,County,Newport News city,"88,403","84,612","3,791",4.3,3.6,4.4,19.44,-2.27
2019,Monthly,1,January,County,Norfolk city,"110,928","106,353","4,575",4.1,3.6,4.3,13.89,-4.65
2019,Monthly,1,January,County,Norton city,"1,685","1,607",78,4.6,3.6,4.4,27.78,4.55
2019,Monthly,1,January,County,Petersburg city,"13,043","12,178",865,6.6,5.8,7.1,13.79,-7.04
2019,Monthly,1,January,County,Poquoson city,"6,332","6,139",193,3,2.5,3.3,20,-9.09
2019,Monthly,1,January,County,Portsmouth city,"44,022","41,992","2,030",4.6,4.1,4.9,12.2,-6.12
2019,Monthly,1,January,County,Radford city,"8,439","8,062",377,4.5,3.4,4.5,32.35,0
2019,Monthly,1,January,County,Richmond city,"117,909","113,341","4,568",3.9,3.3,4.2,18.18,-7.14
2019,Monthly,1,January,County,Roanoke city,"48,915","47,227","1,688",3.5,2.9,4,20.69,-12.5
2019,Monthly,1,January,County,Salem city,"12,905","12,498",407,3.2,2.6,3.5,23.08,-8.57
2019,Monthly,1,January,County,Staunton city,"12,147","11,749",398,3.3,2.6,3.5,26.92,-5.71
2019,Monthly,1,January,County,Suffolk city,"44,272","42,692","1,580",3.6,3.1,3.8,16.13,-5.26
2019,Monthly,1,January,County,Virginia Beach city,"231,377","223,802","7,575",3.3,2.8,3.3,17.86,0
2019,Monthly,1,January,County,Waynesboro city,"10,628","10,246",382,3.6,3,4.1,20,-12.2
2019,Monthly,1,January,County,Williamsburg city,"6,663","6,350",313,4.7,3.7,5,27.03,-6
2019,Monthly,1,January,County,Winchester city,"14,644","14,139",505,3.4,2.9,3.4,17.24,0
2019,Monthly,2,February,County,Accomack County,"16,518","15,741",777,4.7,5.4,5.3,-12.96,-11.32
2019,Monthly,2,February,County,Albemarle County,"57,156","55,602","1,554",2.7,3,3,-10,-10
2019,Monthly,2,February,County,Alleghany County,"7,017","6,741",276,3.9,4.4,4.9,-11.36,-20.41
2019,Monthly,2,February,County,Amelia County,"6,283","6,044",239,3.8,4.1,4,-7.32,-5
2019,Monthly,2,February,County,Amherst County,"15,148","14,626",522,3.4,3.6,3.8,-5.56,-10.53
2019,Monthly,2,February,County,Appomattox County,"7,226","6,940",286,4,4.2,4.3,-4.76,-6.98
2019,Monthly,2,February,County,Arlington County,"153,729","150,532","3,197",2.1,2.5,2.2,-16,-4.55
2019,Monthly,2,February,County,Augusta County,"37,448","36,429","1,019",2.7,3,3.1,-10,-12.9
2019,Monthly,2,February,County,Bath County,"2,447","2,373",74,3,3.6,3.1,-16.67,-3.23
2019,Monthly,2,February,County,Bedford County,"38,764","37,534","1,230",3.2,3.3,3.7,-3.03,-13.51
2019,Monthly,2,February,County,Bland County,"2,877","2,787",90,3.1,3.5,3.8,-11.43,-18.42
2019,Monthly,2,February,County,Botetourt County,"17,421","16,932",489,2.8,3.1,3.2,-9.68,-12.5
2019,Monthly,2,February,County,Brunswick County,"6,154","5,794",360,5.8,6,5.8,-3.33,0
2019,Monthly,2,February,County,Buchanan County,"6,805","6,414",391,5.7,6.3,6.4,-9.52,-10.94
2019,Monthly,2,February,County,Buckingham County,"6,455","6,128",327,5.1,5.6,5.7,-8.93,-10.53
2019,Monthly,2,February,County,Campbell County,"26,212","25,314",898,3.4,3.6,4,-5.56,-15
2019,Monthly,2,February,County,Caroline County,"15,274","14,721",553,3.6,3.9,4.3,-7.69,-16.28
2019,Monthly,2,February,County,Carroll County,"13,284","12,713",571,4.3,4.7,4.4,-8.51,-2.27
2019,Monthly,2,February,County,Charles City County,"3,668","3,521",147,4,4.6,4.8,-13.04,-16.67
2019,Monthly,2,February,County,Charlotte County,"5,328","5,132",196,3.7,3.9,4.5,-5.13,-17.78
2019,Monthly,2,February,County,Chesterfield County,"187,639","181,969","5,670",3,3.2,3.3,-6.25,-9.09
2019,Monthly,2,February,County,Clarke County,"7,564","7,345",219,2.9,3.2,3.4,-9.38,-14.71
2019,Monthly,2,February,County,Craig County,"2,315","2,222",93,4,3.8,4.8,5.26,-16.67
2019,Monthly,2,February,County,Culpeper County,"24,509","23,771",738,3,3.3,3.5,-9.09,-14.29
2019,Monthly,2,February,County,Cumberland County,"4,684","4,512",172,3.7,4,4.1,-7.5,-9.76
2019,Monthly,2,February,County,Dickenson County,"4,690","4,443",247,5.3,6.2,6.8,-14.52,-22.06
2019,Monthly,2,February,County,Dinwiddie County,"13,667","13,160",507,3.7,4,4.1,-7.5,-9.76
2019,Monthly,2,February,County,Essex County,"5,553","5,299",254,4.6,4.9,5,-6.12,-8
2019,Monthly,2,February,County,Fairfax County,"633,030","616,948","16,082",2.5,2.9,2.7,-13.79,-7.41
2019,Monthly,2,February,County,Fauquier County,"37,093","36,031","1,062",2.9,3.1,3,-6.45,-3.33
2019,Monthly,2,February,County,Floyd County,"8,336","8,091",245,2.9,3.4,3.2,-14.71,-9.38
2019,Monthly,2,February,County,Fluvanna County,"13,893","13,549",344,2.5,2.8,2.8,-10.71,-10.71
2019,Monthly,2,February,County,Franklin County,"26,405","25,536",869,3.3,3.4,3.5,-2.94,-5.71
2019,Monthly,2,February,County,Frederick County,"48,017","46,680","1,337",2.8,3,3.1,-6.67,-9.68
2019,Monthly,2,February,County,Giles County,"8,076","7,786",290,3.6,4.1,4.1,-12.2,-12.2
2019,Monthly,2,February,County,Gloucester County,"19,539","18,953",586,3,3.2,3.1,-6.25,-3.23
2019,Monthly,2,February,County,Goochland County,"11,212","10,864",348,3.1,3.4,3.4,-8.82,-8.82
2019,Monthly,2,February,County,Grayson County,"8,037","7,757",280,3.5,3.7,4,-5.41,-12.5
2019,Monthly,2,February,County,Greene County,"10,480","10,210",270,2.6,2.7,2.9,-3.7,-10.34
2019,Monthly,2,February,County,Greensville County,"4,353","4,178",175,4,4.2,4.4,-4.76,-9.09
2019,Monthly,2,February,County,Halifax County,"15,633","14,977",656,4.2,4.4,4.7,-4.55,-10.64
2019,Monthly,2,February,County,Hanover County,"59,239","57,654","1,585",2.7,2.9,2.9,-6.9,-6.9
2019,Monthly,2,February,County,Henrico County,"182,264","176,613","5,651",3.1,3.3,3.4,-6.06,-8.82
2019,Monthly,2,February,County,Henry County,"24,019","23,122",897,3.7,4,4.4,-7.5,-15.91
2019,Monthly,2,February,County,Highland County,"1,252","1,213",39,3.1,3,3.7,3.33,-16.22
2019,Monthly,2,February,County,Isle of Wight County,"19,381","18,769",612,3.2,3.3,3.3,-3.03,-3.03
2019,Monthly,2,February,County,James City County,"36,548","35,426","1,122",3.1,3.3,3.5,-6.06,-11.43
2019,Monthly,2,February,County,King and Queen County,"3,865","3,741",124,3.2,3.3,3.4,-3.03,-5.88
2019,Monthly,2,February,County,King George County,"13,370","12,946",424,3.2,3.4,3.5,-5.88,-8.57
2019,Monthly,2,February,County,King William County,"9,183","8,871",312,3.4,3.6,3.2,-5.56,6.25
2019,Monthly,2,February,County,Lancaster County,"5,412","5,010",402,7.4,7.5,7.7,-1.33,-3.9
2019,Monthly,2,February,County,Lee County,"8,295","7,950",345,4.2,4.5,4.9,-6.67,-14.29
2019,Monthly,2,February,County,Loudoun County,"221,800","216,113","5,687",2.6,2.8,2.8,-7.14,-7.14
2019,Monthly,2,February,County,Louisa County,"19,808","19,214",594,3,3.4,3.1,-11.76,-3.23
2019,Monthly,2,February,County,Lunenburg County,"5,368","5,193",175,3.3,3.5,3.9,-5.71,-15.38
2019,Monthly,2,February,County,Madison County,"7,307","7,116",191,2.6,2.7,2.9,-3.7,-10.34
2019,Monthly,2,February,County,Mathews County,"4,139","3,998",141,3.4,3.8,3.3,-10.53,3.03
2019,Monthly,2,February,County,Mecklenburg County,"12,880","12,343",537,4.2,4.7,4.9,-10.64,-14.29
2019,Monthly,2,February,County,Middlesex County,"5,228","5,059",169,3.2,3.4,3,-5.88,6.67
2019,Monthly,2,February,County,Montgomery County,"51,393","49,809","1,584",3.1,3.4,3.3,-8.82,-6.06
2019,Monthly,2,February,County,Nelson County,"7,426","7,194",232,3.1,3.5,3.5,-11.43,-11.43
2019,Monthly,2,February,County,New Kent County,"12,470","12,143",327,2.6,3,3.2,-13.33,-18.75
2019,Monthly,2,February,County,Northampton County,"5,247","4,923",324,6.2,6.6,8.3,-6.06,-25.3
2019,Monthly,2,February,County,Northumberland County,"5,628","5,248",380,6.8,7.5,7.1,-9.33,-4.23
2019,Monthly,2,February,County,Nottoway County,"7,259","7,035",224,3.1,3.4,3.7,-8.82,-16.22
2019,Monthly,2,February,County,Orange County,"17,194","16,623",571,3.3,3.5,3.4,-5.71,-2.94
2019,Monthly,2,February,County,Page County,"11,916","11,226",690,5.8,6.2,6.5,-6.45,-10.77
2019,Monthly,2,February,County,Patrick County,"7,470","7,153",317,4.2,4.4,5.1,-4.55,-17.65
2019,Monthly,2,February,County,Pittsylvania County,"30,333","29,237","1,096",3.6,3.8,4.1,-5.26,-12.2
2019,Monthly,2,February,County,Powhatan County,"14,155","13,743",412,2.9,3.1,3.1,-6.45,-6.45
2019,Monthly,2,February,County,Prince Edward County,"10,487","10,073",414,3.9,4.4,4.4,-11.36,-11.36
2019,Monthly,2,February,County,Prince George County,"15,091","14,546",545,3.6,3.9,4.1,-7.69,-12.2
2019,Monthly,2,February,County,Prince William County,"245,031","237,970","7,061",2.9,3.2,3.2,-9.38,-9.38
2019,Monthly,2,February,County,Pulaski County,"16,424","15,863",561,3.4,4,4,-15,-15
2019,Monthly,2,February,County,Rappahannock County,"3,676","3,565",111,3,3.2,3.1,-6.25,-3.23
2019,Monthly,2,February,County,Richmond County,"4,046","3,900",146,3.6,4.1,4.2,-12.2,-14.29
2019,Monthly,2,February,County,Roanoke County,"49,431","48,055","1,376",2.8,3,3.1,-6.67,-9.68
2019,Monthly,2,February,County,Rockbridge County,"10,618","10,265",353,3.3,3.5,3.6,-5.71,-8.33
2019,Monthly,2,February,County,Rockingham County,"42,481","41,324","1,157",2.7,2.9,3,-6.9,-10
2019,Monthly,2,February,County,Russell County,"11,294","10,718",576,5.1,5.4,5.1,-5.56,0
2019,Monthly,2,February,County,Scott County,"9,148","8,818",330,3.6,3.9,3.8,-7.69,-5.26
2019,Monthly,2,February,County,Shenandoah County,"22,288","21,637",651,2.9,3.1,3.2,-6.45,-9.38
2019,Monthly,2,February,County,Smyth County,"13,670","13,093",577,4.2,4.6,4.5,-8.7,-6.67
2019,Monthly,2,February,County,Southampton County,"9,050","8,795",255,2.8,3.1,3.4,-9.68,-17.65
2019,Monthly,2,February,County,Spotsylvania County,"66,909","64,700","2,209",3.3,3.6,3.6,-8.33,-8.33
2019,Monthly,2,February,County,Stafford County,"71,898","69,673","2,225",3.1,3.5,3.3,-11.43,-6.06
2019,Monthly,2,February,County,Surry County,"3,689","3,547",142,3.8,4.3,3.8,-11.63,0
2019,Monthly,2,February,County,Sussex County,"3,793","3,598",195,5.1,5.4,6.3,-5.56,-19.05
2019,Monthly,2,February,County,Tazewell County,"15,859","15,064",795,5,5.3,5.2,-5.66,-3.85
2019,Monthly,2,February,County,Warren County,"20,387","19,716",671,3.3,3.5,3.6,-5.71,-8.33
2019,Monthly,2,February,County,Washington County,"26,833","25,802","1,031",3.8,4.2,3.9,-9.52,-2.56
2019,Monthly,2,February,County,Westmoreland County,"9,339","8,902",437,4.7,4.8,4.9,-2.08,-4.08
2019,Monthly,2,February,County,Wise County,"13,571","12,900",671,4.9,5.5,5.8,-10.91,-15.52
2019,Monthly,2,February,County,Wythe County,"13,728","13,195",533,3.9,4.2,4.4,-7.14,-11.36
2019,Monthly,2,February,County,York County,"32,761","31,739","1,022",3.1,3.4,3.1,-8.82,0
2019,Monthly,2,February,County,Alexandria city,"100,938","98,600","2,338",2.3,2.8,2.6,-17.86,-11.54
2019,Monthly,2,February,County,Bristol city,"7,218","6,915",303,4.2,4.6,4.2,-8.7,0
2019,Monthly,2,February,County,Buena Vista city,"3,388","3,282",106,3.1,3.4,3.5,-8.82,-11.43
2019,Monthly,2,February,County,Charlottesville city,"26,425","25,741",684,2.6,3,2.7,-13.33,-3.7
2019,Monthly,2,February,County,Chesapeake city,"122,531","118,577","3,954",3.2,3.5,3.3,-8.57,-3.03
2019,Monthly,2,February,County,Colonial Heights city,"8,827","8,506",321,3.6,3.8,3.7,-5.26,-2.7
2019,Monthly,2,February,County,Covington city,"2,418","2,312",106,4.4,4.9,6.7,-10.2,-34.33
2019,Monthly,2,February,County,Danville city,"19,302","18,271","1,031",5.3,5.1,5.8,3.92,-8.62
2019,Monthly,2,February,County,Emporia city,"2,341","2,204",137,5.9,6.1,5.2,-3.28,13.46
2019,Monthly,2,February,County,Fairfax city,"13,412","13,083",329,2.5,2.7,2.5,-7.41,0
2019,Monthly,2,February,County,Falls Church city,"8,559","8,371",188,2.2,2.4,2.3,-8.33,-4.35
2019,Monthly,2,February,County,Franklin city,"3,568","3,416",152,4.3,4.6,5,-6.52,-14
2019,Monthly,2,February,County,Fredericksburg city,"14,139","13,602",537,3.8,4.2,4.1,-9.52,-7.32
2019,Monthly,2,February,County,Galax city,"2,925","2,819",106,3.6,4,3.6,-10,0
2019,Monthly,2,February,County,Hampton city,"64,448","61,642","2,806",4.4,4.8,4.7,-8.33,-6.38
2019,Monthly,2,February,County,Harrisonburg city,"25,447","24,532",915,3.6,3.7,3.9,-2.7,-7.69
2019,Monthly,2,February,County,Hopewell city,"9,693","9,251",442,4.6,5.2,5.7,-11.54,-19.3
2019,Monthly,2,February,County,Lexington city,"2,106","1,998",108,5.1,5.4,5.5,-5.56,-7.27
2019,Monthly,2,February,County,Lynchburg city,"36,660","35,217","1,443",3.9,4.5,4.5,-13.33,-13.33
2019,Monthly,2,February,County,Manassas city,"22,058","21,373",685,3.1,3.3,3.4,-6.06,-8.82
2019,Monthly,2,February,County,Manassas Park city,"9,368","9,087",281,3,3.5,3.3,-14.29,-9.09
2019,Monthly,2,February,County,Martinsville city,"5,522","5,280",242,4.4,4.2,5.6,4.76,-21.43
2019,Monthly,2,February,County,Newport News city,"88,885","85,338","3,547",4,4.3,4.3,-6.98,-6.98
2019,Monthly,2,February,County,Norfolk city,"111,598","107,266","4,332",3.9,4.1,4.2,-4.88,-7.14
2019,Monthly,2,February,County,Norton city,"1,709","1,637",72,4.2,4.6,4.1,-8.7,2.44
2019,Monthly,2,February,County,Petersburg city,"13,085","12,274",811,6.2,6.6,7.2,-6.06,-13.89
2019,Monthly,2,February,County,Poquoson city,"6,362","6,189",173,2.7,3,3,-10,-10
2019,Monthly,2,February,County,Portsmouth city,"44,283","42,346","1,937",4.4,4.6,4.8,-4.35,-8.33
2019,Monthly,2,February,County,Radford city,"8,866","8,536",330,3.7,4.5,4.1,-17.78,-9.76
2019,Monthly,2,February,County,Richmond city,"118,480","114,197","4,283",3.6,3.9,4.1,-7.69,-12.2
2019,Monthly,2,February,County,Roanoke city,"49,237","47,612","1,625",3.3,3.5,3.9,-5.71,-15.38
2019,Monthly,2,February,County,Salem city,"13,007","12,606",401,3.1,3.2,3.5,-3.13,-11.43
2019,Monthly,2,February,County,Staunton city,"12,242","11,884",358,2.9,3.3,3.3,-12.12,-12.12
2019,Monthly,2,February,County,Suffolk city,"44,583","43,062","1,521",3.4,3.6,3.6,-5.56,-5.56
2019,Monthly,2,February,County,Virginia Beach city,"232,646","225,616","7,030",3,3.3,3.2,-9.09,-6.25
2019,Monthly,2,February,County,Waynesboro city,"10,712","10,367",345,3.2,3.6,3.7,-11.11,-13.51
