Adjusted,Adjusted Tooltip,Area,Area Name,Areadesc,Areaname(exclude),Areatype,Benchmark,Date,Datefield,Display MeasureName,Month,MonthNameS,Period,period (periodTAB),Period (Periodtitle),Periodstitle,Periodtitle,Periodtype,periodtype (periodTAB),Periodtype (Periodtitle),Periodyear,periodyear (periodTAB),Prelim,Selected Areaname,Year,year AL&US,Alemp NSA,Allf NSA,Alrate NSA,Alunem NSA,CMCYRate,CMPYRate,Display Table/Graph,Employment,Labor Force,Number of Records,PMCYRate,Unemployment,unemprate,Usemp NSA,Uslf NSA,Usrate NSA,Usunemp NSA
Not Seasonally Adjusted,not adjusted,21,Selma City,Major City,Selma City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,5760,6286,1,0,526,8.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,10,Gadsden City,Major City,Gadsden City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,12778,13517,1,0,739,5.5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,11,Homewood City,Major City,Homewood City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,13556,13975,1,0,419,3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,12,Hoover City,Major City,Hoover City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,43167,44555,1,0,1388,3.1,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,13,Huntsville City,Major City,Huntsville City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,90710,94568,1,0,3858,4.1,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,14,Madison City,Major City,Madison City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,23989,24863,1,0,874,3.5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,15,Mobile City,Major City,Mobile City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,81157,85801,1,0,4644,5.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,4,Bessemer City,Major City,Bessemer City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,9111,9698,1,0,587,6.1,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,5,Birmingham City,Major City,Birmingham City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,86909,91762,1,0,4853,5.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,6,Decatur City,Major City,Decatur City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,24876,25950,1,0,1074,4.1,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,7,Dothan City,Major City,Dothan City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,27978,29268,1,0,1290,4.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,8,Enterprise City,Major City,Enterprise City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,10473,10946,1,0,473,4.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,9,Florence City,Major City,Florence City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,17309,18140,1,0,831,4.6,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,131,Wilcox County,County,Wilcox County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,2491,2812,1,0,321,11.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,133,Winston County,County,Winston County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,9241,9730,1,0,489,5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,0,United States,United States,United States,0,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,153337000,160320000,1,0,6982000,4.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,1,Alabaster City,Major City,Alabaster City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,17268,17837,1,0,569,3.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,2,Anniston City,Major City,Anniston City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,7685,8170,1,0,485,5.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,3,Auburn City,Major City,Auburn City,11,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,,2017,2017,2090373,2186869,4.4,96496,0,0,1,28170,29401,1,0,1231,4.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,119,Sumter County,County,Sumter County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,4659,4986,1,0,327,6.6,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,121,Talladega County,County,Talladega County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,33040,34780,1,0,1740,5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,123,Tallapoosa County,County,Tallapoosa County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,17505,18273,1,0,768,4.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,125,Tuscaloosa County,County,Tuscaloosa County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,96091,100259,1,0,4168,4.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,127,Walker County,County,Walker County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,23738,24996,1,0,1258,5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,129,Washington County,County,Washington County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,6263,6717,1,0,454,6.8,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,107,Pickens County,County,Pickens County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,7333,7748,1,0,415,5.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,109,Pike County,County,Pike County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,14606,15351,1,0,745,4.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,111,Randolph County,County,Randolph County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,9104,9521,1,0,417,4.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,113,Russell County,County,Russell County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,22468,23481,1,0,1013,4.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,115,St. Clair County,County,St. Clair County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,37780,39341,1,0,1561,4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,117,Shelby County,County,Shelby County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,108172,111770,1,0,3598,3.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,95,Marshall County,County,Marshall County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,40616,42240,1,0,1624,3.8,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,97,Mobile County,County,Mobile County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,177819,187560,1,0,9741,5.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,99,Monroe County,County,Monroe County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,6756,7243,1,0,487,6.7,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,101,Montgomery County,County,Montgomery County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,101555,106155,1,0,4600,4.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,103,Morgan County,County,Morgan County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,52986,55252,1,0,2266,4.1,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,105,Perry County,County,Perry County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,3181,3449,1,0,268,7.8,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,83,Limestone County,County,Limestone County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,40016,41691,1,0,1675,4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,85,Lowndes County,County,Lowndes County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,3371,3672,1,0,301,8.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,87,Macon County,County,Macon County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,7460,7916,1,0,456,5.8,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,89,Madison County,County,Madison County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,169711,176562,1,0,6851,3.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,91,Marengo County,County,Marengo County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,7291,7724,1,0,433,5.6,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,93,Marion County,County,Marion County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,11964,12567,1,0,603,4.8,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,71,Jackson County,County,Jackson County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,22088,23198,1,0,1110,4.8,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,73,Jefferson County,County,Jefferson County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,298227,311481,1,0,13254,4.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,75,Lamar County,County,Lamar County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,5523,5764,1,0,241,4.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,77,Lauderdale County,County,Lauderdale County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,40261,42218,1,0,1957,4.6,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,79,Lawrence County,County,Lawrence County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,13015,13690,1,0,675,4.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,81,Lee County,County,Lee County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,70836,73762,1,0,2926,4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,59,Franklin County,County,Franklin County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,13430,14029,1,0,599,4.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,61,Geneva County,County,Geneva County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,10356,10826,1,0,470,4.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,63,Greene County,County,Greene County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,2645,2861,1,0,216,7.5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,65,Hale County,County,Hale County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,5614,5968,1,0,354,5.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,67,Henry County,County,Henry County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,6411,6739,1,0,328,4.9,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,69,Houston County,County,Houston County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,42923,44882,1,0,1959,4.4,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,47,Dallas County,County,Dallas County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,13956,15084,1,0,1128,7.5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,49,DeKalb County,County,DeKalb County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,28357,29688,1,0,1331,4.5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,51,Elmore County,County,Elmore County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,35990,37366,1,0,1376,3.7,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,53,Escambia County,County,Escambia County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,13779,14501,1,0,722,5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,55,Etowah County,County,Etowah County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,41251,43233,1,0,1982,4.6,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,57,Fayette County,County,Fayette County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,6269,6579,1,0,310,4.7,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,35,Conecuh County,County,Conecuh County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,4230,4505,1,0,275,6.1,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,37,Coosa County,County,Coosa County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,4191,4396,1,0,205,4.7,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,39,Covington County,County,Covington County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,14958,15779,1,0,821,5.2,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,41,Crenshaw County,County,Crenshaw County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,6138,6429,1,0,291,4.5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,43,Cullman County,County,Cullman County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,36556,37976,1,0,1420,3.7,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,45,Dale County,County,Dale County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,19120,20014,1,0,894,4.5,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,23,Choctaw County,County,Choctaw County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,4145,4424,1,0,279,6.3,153337000,160320000,4.4,6982000
Not Seasonally Adjusted,not adjusted,25,Clarke County,County,Clarke County,4,2019,AVG 2017,1/1/17,One-Year Change,Jan,,0,0,0,AVG,,1,1,1,1/1/17,2017,0,Display,2017,2017,2090373,2186869,4.4,96496,0,0,1,7107,7765,1,0,658,8.5,153337000,160320000,4.4,6982000
