Area,Year,Month,PeriodType,Period,LaborForce,Employment,Unemployment,UnemploymentRate,SeasonalAdjustment
Bates County,2020,April,3,4,7573,7061,512,6.8,Not seasonally adjusted
Bates County,2020,March,3,3,8028,7650,378,4.7,Not seasonally adjusted
Bates County,2020,February,3,2,8009,7655,354,4.4,Not seasonally adjusted
Bates County,2020,January,3,1,7990,7605,385,4.8,Not seasonally adjusted
Bates County,2019,Annual Averages,1,0,7908,7590,318,4,Not seasonally adjusted
Bates County,2019,December,3,12,7893,7595,298,3.8,Not seasonally adjusted
Bates County,2019,November,3,11,7887,7630,257,3.3,Not seasonally adjusted
Bates County,2019,October,3,10,7989,7758,231,2.9,Not seasonally adjusted
Bates County,2019,September,3,9,7813,7562,251,3.2,Not seasonally adjusted
Bates County,2019,August,3,8,7868,7529,339,4.3,Not seasonally adjusted
Bates County,2019,July,3,7,7991,7608,383,4.8,Not seasonally adjusted
Bates County,2019,June,3,6,7917,7564,353,4.5,Not seasonally adjusted
Bates County,2019,May,3,5,7902,7623,279,3.5,Not seasonally adjusted
Bates County,2019,April,3,4,7918,7653,265,3.3,Not seasonally adjusted
Bates County,2019,March,3,3,7907,7526,381,4.8,Not seasonally adjusted
Bates County,2019,February,3,2,7915,7517,398,5,Not seasonally adjusted
Bates County,2019,January,3,1,7903,7517,386,4.9,Not seasonally adjusted
Benton County,2020,May,3,5,7175,6450,725,10.1,Not seasonally adjusted
Benton County,2020,April,3,4,7184,6486,698,9.7,Not seasonally adjusted
Benton County,2020,March,3,3,7371,6944,427,5.8,Not seasonally adjusted
Benton County,2020,February,3,2,7290,6827,463,6.4,Not seasonally adjusted
Benton County,2020,January,3,1,7253,6818,435,6,Not seasonally adjusted
Benton County,2019,Annual Averages,1,0,7201,6855,346,4.8,Not seasonally adjusted
Benton County,2019,December,3,12,7185,6838,347,4.8,Not seasonally adjusted
Benton County,2019,November,3,11,7210,6878,332,4.6,Not seasonally adjusted
Benton County,2019,October,3,10,7251,6992,259,3.6,Not seasonally adjusted
Benton County,2019,September,3,9,7226,6867,359,5,Not seasonally adjusted
Benton County,2019,August,3,8,6960,6643,317,4.6,Not seasonally adjusted
Benton County,2019,July,3,7,6935,6578,357,5.1,Not seasonally adjusted
Benton County,2019,June,3,6,7306,6958,348,4.8,Not seasonally adjusted
Benton County,2019,May,3,5,7298,7001,297,4.1,Not seasonally adjusted
Benton County,2019,April,3,4,7294,7015,279,3.8,Not seasonally adjusted
Benton County,2019,March,3,3,7318,6898,420,5.7,Not seasonally adjusted
Benton County,2019,February,3,2,7237,6819,418,5.8,Not seasonally adjusted
Benton County,2019,January,3,1,7199,6775,424,5.9,Not seasonally adjusted
Bollinger County,2020,May,3,5,5125,4696,429,8.4,Not seasonally adjusted
Bollinger County,2020,April,3,4,5393,4876,517,9.6,Not seasonally adjusted
Bollinger County,2020,March,3,3,5576,5339,237,4.3,Not seasonally adjusted
Bollinger County,2020,February,3,2,5580,5342,238,4.3,Not seasonally adjusted
Bollinger County,2020,January,3,1,5592,5318,274,4.9,Not seasonally adjusted
Bollinger County,2019,Annual Averages,1,0,5484,5270,214,3.9,Not seasonally adjusted
Bollinger County,2019,December,3,12,5531,5317,214,3.9,Not seasonally adjusted
Bollinger County,2019,November,3,11,5525,5311,214,3.9,Not seasonally adjusted
Bollinger County,2019,October,3,10,5549,5380,169,3,Not seasonally adjusted
Bollinger County,2019,September,3,9,5409,5247,162,3,Not seasonally adjusted
Bollinger County,2019,August,3,8,5395,5167,228,4.2,Not seasonally adjusted
Bollinger County,2019,July,3,7,5370,5134,236,4.4,Not seasonally adjusted
Bollinger County,2019,June,3,6,5501,5254,247,4.5,Not seasonally adjusted
Bollinger County,2019,May,3,5,5511,5316,195,3.5,Not seasonally adjusted
Bollinger County,2019,April,3,4,5493,5324,169,3.1,Not seasonally adjusted
Bollinger County,2019,March,3,3,5497,5263,234,4.3,Not seasonally adjusted
Bollinger County,2019,February,3,2,5530,5273,257,4.6,Not seasonally adjusted
Bollinger County,2019,January,3,1,5496,5259,237,4.3,Not seasonally adjusted
Boone County,2020,May,3,5,93649,87474,6175,6.6,Not seasonally adjusted
Boone County,2020,April,3,4,96279,90019,6260,6.5,Not seasonally adjusted
Boone County,2020,March,3,3,100786,98180,2606,2.6,Not seasonally adjusted
Boone County,2020,February,3,2,99179,96662,2517,2.5,Not seasonally adjusted
Boone County,2020,January,3,1,97338,94248,3090,3.2,Not seasonally adjusted
Boone County,2019,Annual Averages,1,0,98300,95937,2363,2.4,Not seasonally adjusted
Boone County,2019,December,3,12,99481,97069,2412,2.4,Not seasonally adjusted
Boone County,2019,November,3,11,99976,97734,2242,2.2,Not seasonally adjusted
Boone County,2019,October,3,10,99703,97819,1884,1.9,Not seasonally adjusted
Boone County,2019,September,3,9,99063,97222,1841,1.9,Not seasonally adjusted
Boone County,2019,August,3,8,96631,94045,2586,2.7,Not seasonally adjusted
Boone County,2019,July,3,7,97250,94392,2858,2.9,Not seasonally adjusted
Boone County,2019,June,3,6,96112,93576,2536,2.6,Not seasonally adjusted
Boone County,2019,May,3,5,98620,96399,2221,2.3,Not seasonally adjusted
Boone County,2019,April,3,4,98838,96946,1892,1.9,Not seasonally adjusted
Boone County,2019,March,3,3,99258,96638,2620,2.6,Not seasonally adjusted
Boone County,2019,February,3,2,98958,96373,2585,2.6,Not seasonally adjusted
Boone County,2019,January,3,1,95710,93026,2684,2.8,Not seasonally adjusted
Buchanan County,2020,May,3,5,43284,40326,2958,6.8,Not seasonally adjusted
Buchanan County,2020,April,3,4,43384,40220,3164,7.3,Not seasonally adjusted
Buchanan County,2020,March,3,3,45170,43501,1669,3.7,Not seasonally adjusted
Buchanan County,2020,February,3,2,44526,42935,1591,3.6,Not seasonally adjusted
Buchanan County,2020,January,3,1,44618,42874,1744,3.9,Not seasonally adjusted
Buchanan County,2019,Annual Averages,1,0,44669,43301,1368,3.1,Not seasonally adjusted
Buchanan County,2019,December,3,12,44825,43455,1370,3.1,Not seasonally adjusted
Buchanan County,2019,November,3,11,44757,43534,1223,2.7,Not seasonally adjusted
Buchanan County,2019,October,3,10,44832,43685,1147,2.6,Not seasonally adjusted
Buchanan County,2019,September,3,9,44469,43410,1059,2.4,Not seasonally adjusted
Buchanan County,2019,August,3,8,44537,43114,1423,3.2,Not seasonally adjusted
Buchanan County,2019,July,3,7,45581,43984,1597,3.5,Not seasonally adjusted
Buchanan County,2019,June,3,6,45171,43764,1407,3.1,Not seasonally adjusted
Buchanan County,2019,May,3,5,44268,43035,1233,2.8,Not seasonally adjusted
Buchanan County,2019,April,3,4,44419,43229,1190,2.7,Not seasonally adjusted
Buchanan County,2019,March,3,3,44464,42881,1583,3.6,Not seasonally adjusted
Buchanan County,2019,February,3,2,44508,42926,1582,3.6,Not seasonally adjusted
Buchanan County,2019,January,3,1,44190,42589,1601,3.6,Not seasonally adjusted
Butler County,2020,May,3,5,17890,16103,1787,10,Not seasonally adjusted
Butler County,2020,April,3,4,18110,16149,1961,10.8,Not seasonally adjusted
Butler County,2020,March,3,3,18699,17755,944,5,Not seasonally adjusted
Butler County,2020,February,3,2,18123,17296,827,4.6,Not seasonally adjusted
Butler County,2020,January,3,1,18095,17170,925,5.1,Not seasonally adjusted
Butler County,2019,Annual Averages,1,0,17986,17140,846,4.7,Not seasonally adjusted
Butler County,2019,December,3,12,18276,17416,860,4.7,Not seasonally adjusted
Butler County,2019,November,3,11,18002,17313,689,3.8,Not seasonally adjusted
Butler County,2019,October,3,10,17978,17377,601,3.3,Not seasonally adjusted
Butler County,2019,September,3,9,17983,17383,600,3.3,Not seasonally adjusted
Butler County,2019,August,3,8,17771,16935,836,4.7,Not seasonally adjusted
Butler County,2019,July,3,7,17821,16928,893,5,Not seasonally adjusted
Butler County,2019,June,3,6,18287,17105,1182,6.5,Not seasonally adjusted
Butler County,2019,May,3,5,18149,17187,962,5.3,Not seasonally adjusted
Butler County,2019,April,3,4,18029,17095,934,5.2,Not seasonally adjusted
Butler County,2019,March,3,3,17965,17076,889,4.9,Not seasonally adjusted
Butler County,2019,February,3,2,17843,17011,832,4.7,Not seasonally adjusted
Butler County,2019,January,3,1,17731,16855,876,4.9,Not seasonally adjusted
Caldwell County,2020,May,3,5,4316,3925,391,9.1,Not seasonally adjusted
Caldwell County,2020,April,3,4,4374,3963,411,9.4,Not seasonally adjusted
Caldwell County,2020,March,3,3,4452,4266,186,4.2,Not seasonally adjusted
Caldwell County,2020,February,3,2,4442,4271,171,3.8,Not seasonally adjusted
Caldwell County,2020,January,3,1,4416,4243,173,3.9,Not seasonally adjusted
Caldwell County,2019,Annual Averages,1,0,4369,4230,139,3.2,Not seasonally adjusted
Caldwell County,2019,December,3,12,4368,4228,140,3.2,Not seasonally adjusted
Caldwell County,2019,November,3,11,4381,4249,132,3,Not seasonally adjusted
Caldwell County,2019,October,3,10,4436,4332,104,2.3,Not seasonally adjusted
Caldwell County,2019,September,3,9,4304,4206,98,2.3,Not seasonally adjusted
Caldwell County,2019,August,3,8,4327,4186,141,3.3,Not seasonally adjusted
Caldwell County,2019,July,3,7,4395,4233,162,3.7,Not seasonally adjusted
Caldwell County,2019,June,3,6,4349,4206,143,3.3,Not seasonally adjusted
Caldwell County,2019,May,3,5,4388,4258,130,3,Not seasonally adjusted
Caldwell County,2019,April,3,4,4389,4279,110,2.5,Not seasonally adjusted
Caldwell County,2019,March,3,3,4367,4198,169,3.9,Not seasonally adjusted
Caldwell County,2019,February,3,2,4366,4193,173,4,Not seasonally adjusted
Caldwell County,2019,January,3,1,4354,4194,160,3.7,Not seasonally adjusted
Callaway County,2020,May,3,5,20815,19540,1275,6.1,Not seasonally adjusted
Callaway County,2020,April,3,4,20669,19244,1425,6.9,Not seasonally adjusted
Callaway County,2020,March,3,3,21597,20853,744,3.4,Not seasonally adjusted
Callaway County,2020,February,3,2,21433,20691,742,3.5,Not seasonally adjusted
Callaway County,2020,January,3,1,21452,20634,818,3.8,Not seasonally adjusted
Callaway County,2019,Annual Averages,1,0,21383,20758,625,2.9,Not seasonally adjusted
Callaway County,2019,December,3,12,21220,20573,647,3,Not seasonally adjusted
Callaway County,2019,November,3,11,21355,20778,577,2.7,Not seasonally adjusted
Callaway County,2019,October,3,10,21366,20893,473,2.2,Not seasonally adjusted
Callaway County,2019,September,3,9,21251,20786,465,2.2,Not seasonally adjusted
Callaway County,2019,August,3,8,21541,20827,714,3.3,Not seasonally adjusted
Callaway County,2019,July,3,7,21803,21075,728,3.3,Not seasonally adjusted
Callaway County,2019,June,3,6,21527,20848,679,3.2,Not seasonally adjusted
Callaway County,2019,May,3,5,21366,20788,578,2.7,Not seasonally adjusted
Callaway County,2019,April,3,4,21314,20839,475,2.2,Not seasonally adjusted
Callaway County,2019,March,3,3,21370,20676,694,3.2,Not seasonally adjusted
Callaway County,2019,February,3,2,21289,20553,736,3.5,Not seasonally adjusted
Callaway County,2019,January,3,1,21193,20463,730,3.4,Not seasonally adjusted
Camden County,2020,May,3,5,18237,16355,1882,10.3,Not seasonally adjusted
Camden County,2020,April,3,4,18844,16329,2515,13.3,Not seasonally adjusted
Camden County,2020,March,3,3,18536,17384,1152,6.2,Not seasonally adjusted
Camden County,2020,February,3,2,17790,16561,1229,6.9,Not seasonally adjusted
Camden County,2020,January,3,1,17850,16492,1358,7.6,Not seasonally adjusted
Camden County,2019,Annual Averages,1,0,18861,18013,848,4.5,Not seasonally adjusted
Camden County,2019,December,3,12,18301,17164,1137,6.2,Not seasonally adjusted
Camden County,2019,November,3,11,18275,17406,869,4.8,Not seasonally adjusted
Camden County,2019,October,3,10,18600,17926,674,3.6,Not seasonally adjusted
Camden County,2019,September,3,9,19198,18539,659,3.4,Not seasonally adjusted
Camden County,2019,August,3,8,20003,19238,765,3.8,Not seasonally adjusted
Camden County,2019,July,3,7,20653,19936,717,3.5,Not seasonally adjusted
Camden County,2019,June,3,6,20392,19698,694,3.4,Not seasonally adjusted
Camden County,2019,May,3,5,19104,18396,708,3.7,Not seasonally adjusted
Camden County,2019,April,3,4,18216,17562,654,3.6,Not seasonally adjusted
Camden County,2019,March,3,3,18073,17089,984,5.4,Not seasonally adjusted
Camden County,2019,February,3,2,17822,16678,1144,6.4,Not seasonally adjusted
Camden County,2019,January,3,1,17697,16522,1175,6.6,Not seasonally adjusted
Cape Girardeau County,2020,May,3,5,37830,34471,3359,8.9,Not seasonally adjusted
Cape Girardeau County,2020,April,3,4,39440,35694,3746,9.5,Not seasonally adjusted
Cape Girardeau County,2020,March,3,3,41710,40172,1538,3.7,Not seasonally adjusted
Cape Girardeau County,2020,February,3,2,41330,39999,1331,3.2,Not seasonally adjusted
Cape Girardeau County,2020,January,3,1,41213,39747,1466,3.6,Not seasonally adjusted
Cape Girardeau County,2019,Annual Averages,1,0,40851,39654,1197,2.9,Not seasonally adjusted
Cape Girardeau County,2019,December,3,12,41392,40164,1228,3,Not seasonally adjusted
Cape Girardeau County,2019,November,3,11,41300,40080,1220,3,Not seasonally adjusted
Cape Girardeau County,2019,October,3,10,41182,40133,1049,2.5,Not seasonally adjusted
Cape Girardeau County,2019,September,3,9,40816,39793,1023,2.5,Not seasonally adjusted
Cape Girardeau County,2019,August,3,8,40517,39136,1381,3.4,Not seasonally adjusted
Cape Girardeau County,2019,July,3,7,40166,38781,1385,3.4,Not seasonally adjusted
Cape Girardeau County,2019,June,3,6,41220,39927,1293,3.1,Not seasonally adjusted
Cape Girardeau County,2019,May,3,5,40845,39742,1103,2.7,Not seasonally adjusted
Cape Girardeau County,2019,April,3,4,40558,39623,935,2.3,Not seasonally adjusted
Cape Girardeau County,2019,March,3,3,40745,39485,1260,3.1,Not seasonally adjusted
Cape Girardeau County,2019,February,3,2,40829,39594,1235,3,Not seasonally adjusted
Cape Girardeau County,2019,January,3,1,40638,39386,1252,3.1,Not seasonally adjusted
Carroll County,2020,May,3,5,4637,4341,296,6.4,Not seasonally adjusted
Carroll County,2020,April,3,4,4768,4425,343,7.2,Not seasonally adjusted
Carroll County,2020,March,3,3,4847,4657,190,3.9,Not seasonally adjusted
Carroll County,2020,February,3,2,4897,4724,173,3.5,Not seasonally adjusted
Carroll County,2020,January,3,1,4872,4684,188,3.9,Not seasonally adjusted
Carroll County,2019,Annual Averages,1,0,4808,4653,155,3.2,Not seasonally adjusted
Carroll County,2019,December,3,12,4714,4543,171,3.6,Not seasonally adjusted
Carroll County,2019,November,3,11,4741,4573,168,3.5,Not seasonally adjusted
Carroll County,2019,October,3,10,4842,4699,143,3,Not seasonally adjusted
Carroll County,2019,September,3,9,4624,4512,112,2.4,Not seasonally adjusted
Carroll County,2019,August,3,8,4555,4402,153,3.4,Not seasonally adjusted
Carroll County,2019,July,3,7,4571,4400,171,3.7,Not seasonally adjusted
Carroll County,2019,June,3,6,4572,4413,159,3.5,Not seasonally adjusted
Carroll County,2019,May,3,5,4740,4608,132,2.8,Not seasonally adjusted
Carroll County,2019,April,3,4,4875,4755,120,2.5,Not seasonally adjusted
Carroll County,2019,March,3,3,5206,5026,180,3.5,Not seasonally adjusted
Carroll County,2019,February,3,2,5191,5004,187,3.6,Not seasonally adjusted
Carroll County,2019,January,3,1,5067,4900,167,3.3,Not seasonally adjusted
Carter County,2020,May,3,5,2505,2291,214,8.5,Not seasonally adjusted
Carter County,2020,April,3,4,2509,2299,210,8.4,Not seasonally adjusted
Carter County,2020,March,3,3,2627,2464,163,6.2,Not seasonally adjusted
Carter County,2020,February,3,2,2554,2388,166,6.5,Not seasonally adjusted
Carter County,2020,January,3,1,2569,2411,158,6.2,Not seasonally adjusted
Carter County,2019,Annual Averages,1,0,2546,2421,125,4.9,Not seasonally adjusted
Carter County,2019,December,3,12,2554,2432,122,4.8,Not seasonally adjusted
Carter County,2019,November,3,11,2514,2413,101,4,Not seasonally adjusted
Carter County,2019,October,3,10,2557,2462,95,3.7,Not seasonally adjusted
Carter County,2019,September,3,9,2575,2483,92,3.6,Not seasonally adjusted
Carter County,2019,August,3,8,2633,2504,129,4.9,Not seasonally adjusted
Carter County,2019,July,3,7,2539,2411,128,5,Not seasonally adjusted
Carter County,2019,June,3,6,2613,2466,147,5.6,Not seasonally adjusted
Carter County,2019,May,3,5,2589,2468,121,4.7,Not seasonally adjusted
Carter County,2019,April,3,4,2548,2418,130,5.1,Not seasonally adjusted
Carter County,2019,March,3,3,2526,2376,150,5.9,Not seasonally adjusted
Carter County,2019,February,3,2,2480,2338,142,5.7,Not seasonally adjusted
Carter County,2019,January,3,1,2429,2286,143,5.9,Not seasonally adjusted
Cass County,2020,May,3,5,52161,47924,4237,8.1,Not seasonally adjusted
Cass County,2020,April,3,4,52490,47895,4595,8.8,Not seasonally adjusted
Cass County,2020,March,3,3,55668,53607,2061,3.7,Not seasonally adjusted
Cass County,2020,February,3,2,55265,53354,1911,3.5,Not seasonally adjusted
Cass County,2020,January,3,1,55160,52948,2212,4,Not seasonally adjusted
Cass County,2019,Annual Averages,1,0,54895,53239,1656,3,Not seasonally adjusted
Cass County,2019,December,3,12,55207,53529,1678,3,Not seasonally adjusted
Cass County,2019,November,3,11,55217,53720,1497,2.7,Not seasonally adjusted
Cass County,2019,October,3,10,55186,53887,1299,2.4,Not seasonally adjusted
Cass County,2019,September,3,9,54836,53566,1270,2.3,Not seasonally adjusted
Cass County,2019,August,3,8,55038,53335,1703,3.1,Not seasonally adjusted
Cass County,2019,July,3,7,55783,53813,1970,3.5,Not seasonally adjusted
Cass County,2019,June,3,6,55362,53663,1699,3.1,Not seasonally adjusted
Cass County,2019,May,3,5,54457,52991,1466,2.7,Not seasonally adjusted
Cass County,2019,April,3,4,54247,52913,1334,2.5,Not seasonally adjusted
Cass County,2019,March,3,3,54495,52542,1953,3.6,Not seasonally adjusted
Cass County,2019,February,3,2,54493,52509,1984,3.6,Not seasonally adjusted
Cass County,2019,January,3,1,54413,52394,2019,3.7,Not seasonally adjusted
Cedar County,2020,May,3,5,5645,5354,291,5.2,Not seasonally adjusted
Cedar County,2020,April,3,4,5702,5417,285,5,Not seasonally adjusted
Cedar County,2020,March,3,3,5940,5707,233,3.9,Not seasonally adjusted
Cedar County,2020,February,3,2,5823,5599,224,3.8,Not seasonally adjusted
Cedar County,2020,January,3,1,5875,5615,260,4.4,Not seasonally adjusted
Cedar County,2019,Annual Averages,1,0,5764,5550,214,3.7,Not seasonally adjusted
Cedar County,2019,December,3,12,5750,5547,203,3.5,Not seasonally adjusted
Cedar County,2019,November,3,11,5770,5559,211,3.7,Not seasonally adjusted
Cedar County,2019,October,3,10,5878,5700,178,3,Not seasonally adjusted
Cedar County,2019,September,3,9,5760,5593,167,2.9,Not seasonally adjusted
Cedar County,2019,August,3,8,5576,5350,226,4.1,Not seasonally adjusted
Cedar County,2019,July,3,7,5711,5447,264,4.6,Not seasonally adjusted
Cedar County,2019,June,3,6,5781,5547,234,4,Not seasonally adjusted
Cedar County,2019,May,3,5,5825,5628,197,3.4,Not seasonally adjusted
Cedar County,2019,April,3,4,5855,5684,171,2.9,Not seasonally adjusted
Cedar County,2019,March,3,3,5787,5540,247,4.3,Not seasonally adjusted
Cedar County,2019,February,3,2,5745,5507,238,4.1,Not seasonally adjusted
Cedar County,2019,January,3,1,5729,5501,228,4,Not seasonally adjusted
Chariton County,2020,May,3,5,3667,3502,165,4.5,Not seasonally adjusted
Chariton County,2020,April,3,4,3763,3567,196,5.2,Not seasonally adjusted
Chariton County,2020,March,3,3,3874,3719,155,4,Not seasonally adjusted
Chariton County,2020,February,3,2,3805,3658,147,3.9,Not seasonally adjusted
