Area,Labor Force,Employed,Unemployed,Unemployment Rate,Month,Year
Clear Creek County,"6,067","5,775",292,4.80%,March,"2,020"
Conejos County,"3,926","3,584",342,8.70%,March,"2,020"
Costilla County,"1,768","1,646",122,6.90%,March,"2,020"
Crowley County,"1,457","1,337",120,8.20%,March,"2,020"
Custer County,"1,932","1,807",125,6.50%,March,"2,020"
Delta County,"13,571","12,494","1,077",7.90%,March,"2,020"
Denver County,"419,778","397,597","22,181",5.30%,March,"2,020"
Dolores County,"1,056",978,78,7.40%,March,"2,020"
Douglas County,"194,435","185,731","8,704",4.50%,March,"2,020"
Eagle County,"37,336","35,908","1,428",3.80%,March,"2,020"
El Paso County,"344,111","322,757","21,354",6.20%,March,"2,020"
Elbert County,"14,979","14,289",690,4.60%,March,"2,020"
Fremont County,"14,611","13,297","1,314",9.00%,March,"2,020"
Garfield County,"32,461","30,504","1,957",6.00%,March,"2,020"
Gilpin County,"3,771","3,618",153,4.10%,March,"2,020"
Grand County,"9,823","9,414",409,4.20%,March,"2,020"
Gunnison County,"11,441","10,979",462,4.00%,March,"2,020"
Hinsdale County,354,329,25,7.10%,March,"2,020"
Huerfano County,"2,394","2,074",320,13.40%,March,"2,020"
Jackson County,905,849,56,6.20%,March,"2,020"
Jefferson County,"336,565","320,104","16,461",4.90%,March,"2,020"
Kiowa County,841,816,25,3.00%,March,"2,020"
Kit Carson County,"3,811","3,666",145,3.80%,March,"2,020"
La Plata County,"30,298","28,595","1,703",5.60%,March,"2,020"
Lake County,"5,080","4,894",186,3.70%,March,"2,020"
Larimer County,"204,452","194,807","9,645",4.70%,March,"2,020"
Las Animas County,"6,347","5,863",484,7.60%,March,"2,020"
Lincoln County,"2,143","2,023",120,5.60%,March,"2,020"
Logan County,"10,235","9,756",479,4.70%,March,"2,020"
Mesa County,"76,111","70,786","5,325",7.00%,March,"2,020"
Mineral County,519,500,19,3.70%,March,"2,020"
Moffat County,"7,173","6,594",579,8.10%,March,"2,020"
Montezuma County,"12,364","11,131","1,233",10.00%,March,"2,020"
Montrose County,"20,922","19,344","1,578",7.50%,March,"2,020"
Morgan County,"15,269","14,484",785,5.10%,March,"2,020"
Otero County,"7,966","7,365",601,7.50%,March,"2,020"
Ouray County,"2,251","2,095",156,6.90%,March,"2,020"
Park County,"11,157","10,642",515,4.60%,March,"2,020"
Phillips County,"2,197","2,127",70,3.20%,March,"2,020"
Pitkin County,"11,069","10,579",490,4.40%,March,"2,020"
Prowers County,"5,872","5,583",289,4.90%,March,"2,020"
Pueblo County,"76,817","70,952","5,865",7.60%,March,"2,020"
Rio Blanco County,"2,900","2,686",214,7.40%,March,"2,020"
Rio Grande County,"5,063","4,579",484,9.60%,March,"2,020"
Routt County,"16,423","15,758",665,4.00%,March,"2,020"
Saguache County,"3,346","3,043",303,9.10%,March,"2,020"
San Juan County,520,487,33,6.30%,March,"2,020"
San Miguel County,"6,323","6,100",223,3.50%,March,"2,020"
Sedgwick County,"1,135","1,088",47,4.10%,March,"2,020"
Summit County,"24,690","23,952",738,3.00%,March,"2,020"
Teller County,"12,884","12,141",743,5.80%,March,"2,020"
Washington County,"2,541","2,438",103,4.10%,March,"2,020"
Weld County,"167,757","159,140","8,617",5.10%,March,"2,020"
Yuma County,"5,077","4,896",181,3.60%,March,"2,020"
Adams County,"268,896","234,939","33,957",12.60%,April,"2,020"
Alamosa County,"7,564","6,836",728,9.60%,April,"2,020"
Arapahoe County,"359,691","314,916","44,775",12.40%,April,"2,020"
Archuleta County,"6,338","5,300","1,038",16.40%,April,"2,020"
Baca County,"1,823","1,771",52,2.90%,April,"2,020"
Bent County,"1,646","1,560",86,5.20%,April,"2,020"
Boulder County,"192,996","174,179","18,817",9.70%,April,"2,020"
Broomfield County,"39,035","34,714","4,321",11.10%,April,"2,020"
Chaffee County,"8,768","7,597","1,171",13.40%,April,"2,020"
Cheyenne County,"1,022",997,25,2.40%,April,"2,020"
Clear Creek County,"6,219","5,237",982,15.80%,April,"2,020"
Conejos County,"3,616","3,308",308,8.50%,April,"2,020"
Costilla County,"1,619","1,484",135,8.30%,April,"2,020"
Crowley County,"1,258","1,173",85,6.80%,April,"2,020"
Custer County,"1,777","1,643",134,7.50%,April,"2,020"
Delta County,"12,642","11,318","1,324",10.50%,April,"2,020"
Denver County,"415,800","360,065","55,735",13.40%,April,"2,020"
Dolores County,"1,047",912,135,12.90%,April,"2,020"
Douglas County,"187,087","168,270","18,817",10.10%,April,"2,020"
Eagle County,"37,139","29,349","7,790",21.00%,April,"2,020"
El Paso County,"332,426","290,857","41,569",12.50%,April,"2,020"
Elbert County,"14,325","13,236","1,089",7.60%,April,"2,020"
Fremont County,"13,176","11,460","1,716",13.00%,April,"2,020"
Garfield County,"29,489","25,456","4,033",13.70%,April,"2,020"
Gilpin County,"4,272","3,278",994,23.30%,April,"2,020"
Grand County,"9,172","7,388","1,784",19.50%,April,"2,020"
Gunnison County,"10,567","8,844","1,723",16.30%,April,"2,020"
Hinsdale County,292,265,27,9.20%,April,"2,020"
Huerfano County,"2,181","1,905",276,12.70%,April,"2,020"
Jackson County,874,809,65,7.40%,April,"2,020"
Jefferson County,"329,784","289,971","39,813",12.10%,April,"2,020"
Kiowa County,842,820,22,2.60%,April,"2,020"
Kit Carson County,"3,666","3,516",150,4.10%,April,"2,020"
La Plata County,"28,608","24,692","3,916",13.70%,April,"2,020"
Lake County,"4,791","3,967",824,17.20%,April,"2,020"
Larimer County,"201,200","178,807","22,393",11.10%,April,"2,020"
Las Animas County,"5,760","5,141",619,10.70%,April,"2,020"
Lincoln County,"1,960","1,837",123,6.30%,April,"2,020"
Logan County,"9,346","8,676",670,7.20%,April,"2,020"
Mesa County,"74,253","64,875","9,378",12.60%,April,"2,020"
Mineral County,463,412,51,11.00%,April,"2,020"
Moffat County,"6,259","5,586",673,10.80%,April,"2,020"
Montezuma County,"11,180","9,819","1,361",12.20%,April,"2,020"
Montrose County,"19,548","17,150","2,398",12.30%,April,"2,020"
Morgan County,"14,107","13,127",980,6.90%,April,"2,020"
Otero County,"7,204","6,640",564,7.80%,April,"2,020"
Ouray County,"2,190","1,774",416,19.00%,April,"2,020"
Park County,"10,770","9,684","1,086",10.10%,April,"2,020"
Phillips County,"2,241","2,155",86,3.80%,April,"2,020"
Pitkin County,"11,495","8,781","2,714",23.60%,April,"2,020"
Prowers County,"5,470","5,191",279,5.10%,April,"2,020"
Pueblo County,"73,254","64,675","8,579",11.70%,April,"2,020"
Rio Blanco County,"2,605","2,409",196,7.50%,April,"2,020"
Rio Grande County,"4,848","4,321",527,10.90%,April,"2,020"
Routt County,"15,692","12,843","2,849",18.20%,April,"2,020"
Saguache County,"3,152","2,926",226,7.20%,April,"2,020"
San Juan County,443,379,64,14.40%,April,"2,020"
San Miguel County,"5,969","4,605","1,364",22.90%,April,"2,020"
Sedgwick County,"1,081","1,038",43,4.00%,April,"2,020"
Summit County,"23,562","18,471","5,091",21.60%,April,"2,020"
Teller County,"12,835","10,901","1,934",15.10%,April,"2,020"
Washington County,"2,440","2,348",92,3.80%,April,"2,020"
Weld County,"164,491","148,146","16,345",9.90%,April,"2,020"
Yuma County,"5,225","5,053",172,3.30%,April,"2,020"
Adams County,"278,584","270,063","8,521",3.10%,January,"2,020"
Alamosa County,"8,428","8,097",331,3.90%,January,"2,020"
Arapahoe County,"372,450","362,251","10,199",2.70%,January,"2,020"
Archuleta County,"6,673","6,435",238,3.60%,January,"2,020"
Baca County,"2,086","2,044",42,2.00%,January,"2,020"
Bent County,"1,839","1,785",54,2.90%,January,"2,020"
Boulder County,"196,326","191,678","4,648",2.40%,January,"2,020"
Broomfield County,"40,970","39,968","1,002",2.40%,January,"2,020"
Chaffee County,"9,533","9,270",263,2.80%,January,"2,020"
Cheyenne County,"1,178","1,159",19,1.60%,January,"2,020"
Clear Creek County,"6,155","6,015",140,2.30%,January,"2,020"
Conejos County,"4,010","3,847",163,4.10%,January,"2,020"
Costilla County,"1,846","1,770",76,4.10%,January,"2,020"
Crowley County,"1,514","1,442",72,4.80%,January,"2,020"
Custer County,"1,988","1,924",64,3.20%,January,"2,020"
Delta County,"14,247","13,662",585,4.10%,January,"2,020"
Denver County,"426,054","414,195","11,859",2.80%,January,"2,020"
Dolores County,"1,119","1,075",44,3.90%,January,"2,020"
Douglas County,"198,184","193,584","4,600",2.30%,January,"2,020"
Eagle County,"39,414","38,614",800,2.00%,January,"2,020"
El Paso County,"343,516","332,208","11,308",3.30%,January,"2,020"
Elbert County,"15,418","15,060",358,2.30%,January,"2,020"
Fremont County,"14,862","14,131",731,4.90%,January,"2,020"
Garfield County,"33,557","32,496","1,061",3.20%,January,"2,020"
Gilpin County,"3,854","3,764",90,2.30%,January,"2,020"
Grand County,"10,470","10,234",236,2.30%,January,"2,020"
Gunnison County,"11,766","11,514",252,2.10%,January,"2,020"
Hinsdale County,352,338,14,4.00%,January,"2,020"
Huerfano County,"2,414","2,235",179,7.40%,January,"2,020"
Jackson County,918,894,24,2.60%,January,"2,020"
Jefferson County,"342,203","333,361","8,842",2.60%,January,"2,020"
Kiowa County,936,923,13,1.40%,January,"2,020"
Kit Carson County,"4,277","4,197",80,1.90%,January,"2,020"
La Plata County,"31,340","30,448",892,2.80%,January,"2,020"
Lake County,"5,363","5,257",106,2.00%,January,"2,020"
Larimer County,"207,424","202,150","5,274",2.50%,January,"2,020"
Las Animas County,"6,434","6,189",245,3.80%,January,"2,020"
Lincoln County,"2,317","2,248",69,3.00%,January,"2,020"
Logan County,"10,851","10,565",286,2.60%,January,"2,020"
Mesa County,"75,380","72,294","3,086",4.10%,January,"2,020"
Mineral County,566,553,13,2.30%,January,"2,020"
Moffat County,"7,401","7,105",296,4.00%,January,"2,020"
Montezuma County,"12,512","11,834",678,5.40%,January,"2,020"
Montrose County,"21,684","20,951",733,3.40%,January,"2,020"
Morgan County,"16,310","15,879",431,2.60%,January,"2,020"
Otero County,"8,356","8,010",346,4.10%,January,"2,020"
Ouray County,"2,334","2,258",76,3.30%,January,"2,020"
Park County,"11,350","11,065",285,2.50%,January,"2,020"
Phillips County,"2,505","2,462",43,1.70%,January,"2,020"
Pitkin County,"11,476","11,198",278,2.40%,January,"2,020"
Prowers County,"6,237","6,074",163,2.60%,January,"2,020"
Pueblo County,"76,303","73,071","3,232",4.20%,January,"2,020"
Rio Blanco County,"2,940","2,830",110,3.70%,January,"2,020"
Rio Grande County,"5,330","5,055",275,5.20%,January,"2,020"
Routt County,"17,397","17,036",361,2.10%,January,"2,020"
Saguache County,"3,539","3,374",165,4.70%,January,"2,020"
San Juan County,525,508,17,3.20%,January,"2,020"
San Miguel County,"6,613","6,497",116,1.80%,January,"2,020"
Sedgwick County,"1,240","1,211",29,2.30%,January,"2,020"
Summit County,"26,192","25,777",415,1.60%,January,"2,020"
Teller County,"12,831","12,433",398,3.10%,January,"2,020"
Washington County,"2,814","2,752",62,2.20%,January,"2,020"
Weld County,"171,078","166,391","4,687",2.70%,January,"2,020"
Yuma County,"5,700","5,593",107,1.90%,January,"2,020"
Adams County,"280,046","270,960","9,086",3.20%,February,"2,020"
Alamosa County,"8,605","8,244",361,4.20%,February,"2,020"
Arapahoe County,"374,347","363,908","10,439",2.80%,February,"2,020"
Archuleta County,"6,636","6,388",248,3.70%,February,"2,020"
Baca County,"2,072","2,027",45,2.20%,February,"2,020"
Bent County,"1,820","1,769",51,2.80%,February,"2,020"
Boulder County,"199,780","194,891","4,889",2.40%,February,"2,020"
Broomfield County,"41,160","40,085","1,075",2.60%,February,"2,020"
Chaffee County,"9,564","9,303",261,2.70%,February,"2,020"
Cheyenne County,"1,162","1,143",19,1.60%,February,"2,020"
Clear Creek County,"6,206","6,046",160,2.60%,February,"2,020"
Conejos County,"4,093","3,905",188,4.60%,February,"2,020"
Costilla County,"1,873","1,794",79,4.20%,February,"2,020"
Crowley County,"1,505","1,436",69,4.60%,February,"2,020"
Custer County,"2,003","1,937",66,3.30%,February,"2,020"
Delta County,"14,193","13,601",592,4.20%,February,"2,020"
Denver County,"428,190","416,025","12,165",2.80%,February,"2,020"
Dolores County,"1,128","1,087",41,3.60%,February,"2,020"
Douglas County,"199,198","194,365","4,833",2.40%,February,"2,020"
Eagle County,"39,182","38,375",807,2.10%,February,"2,020"
El Paso County,"347,369","335,470","11,899",3.40%,February,"2,020"
Elbert County,"15,501","15,131",370,2.40%,February,"2,020"
Fremont County,"14,723","13,965",758,5.10%,February,"2,020"
Garfield County,"33,479","32,365","1,114",3.30%,February,"2,020"
Gilpin County,"3,874","3,789",85,2.20%,February,"2,020"
Grand County,"10,365","10,133",232,2.20%,February,"2,020"
Gunnison County,"12,014","11,747",267,2.20%,February,"2,020"
Hinsdale County,362,350,12,3.30%,February,"2,020"
Huerfano County,"2,403","2,212",191,7.90%,February,"2,020"
Jackson County,988,957,31,3.10%,February,"2,020"
Jefferson County,"344,089","335,034","9,055",2.60%,February,"2,020"
Kiowa County,927,914,13,1.40%,February,"2,020"
Kit Carson County,"4,208","4,124",84,2.00%,February,"2,020"
La Plata County,"31,478","30,517",961,3.10%,February,"2,020"
Lake County,"5,359","5,250",109,2.00%,February,"2,020"
Larimer County,"209,210","203,683","5,527",2.60%,February,"2,020"
Las Animas County,"6,531","6,258",273,4.20%,February,"2,020"
Lincoln County,"2,289","2,219",70,3.10%,February,"2,020"
Logan County,"10,814","10,538",276,2.60%,February,"2,020"
Mesa County,"76,746","73,580","3,166",4.10%,February,"2,020"
Mineral County,534,519,15,2.80%,February,"2,020"
Moffat County,"7,329","7,014",315,4.30%,February,"2,020"
Montezuma County,"12,668","11,955",713,5.60%,February,"2,020"
Montrose County,"21,634","20,860",774,3.60%,February,"2,020"
Morgan County,"16,145","15,692",453,2.80%,February,"2,020"
Otero County,"8,364","7,990",374,4.50%,February,"2,020"
Ouray County,"2,332","2,248",84,3.60%,February,"2,020"
Park County,"11,473","11,178",295,2.60%,February,"2,020"
Phillips County,"2,472","2,431",41,1.70%,February,"2,020"
Pitkin County,"11,478","11,195",283,2.50%,February,"2,020"
Prowers County,"6,277","6,111",166,2.60%,February,"2,020"
Pueblo County,"76,588","73,284","3,304",4.30%,February,"2,020"
Rio Blanco County,"2,976","2,867",109,3.70%,February,"2,020"
Rio Grande County,"5,321","5,039",282,5.30%,February,"2,020"
Routt County,"17,311","16,946",365,2.10%,February,"2,020"
Saguache County,"3,538","3,366",172,4.90%,February,"2,020"
San Juan County,536,518,18,3.40%,February,"2,020"
San Miguel County,"6,617","6,503",114,1.70%,February,"2,020"
Sedgwick County,"1,216","1,188",28,2.30%,February,"2,020"
Summit County,"26,002","25,594",408,1.60%,February,"2,020"
Teller County,"13,018","12,609",409,3.10%,February,"2,020"
Washington County,"2,792","2,726",66,2.40%,February,"2,020"
Weld County,"172,414","167,500","4,914",2.90%,February,"2,020"
Yuma County,"5,600","5,494",106,1.90%,February,"2,020"
